ticker,FLT US Equity,FLT US Equity,FLT US Equity,FLT US Equity,FLT US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2012-06-22,35.0,36.64,37.042,38.5208,33.5091,DOWN,0
2012-06-25,34.43,34.8,36.342,38.4384,33.5422,DOWN,0
2012-06-26,34.39,34.21,35.574,38.3646,33.5758,DOWN,0
2012-06-27,34.09,34.19,34.874,38.264,33.6068,DOWN,0
2012-06-28,34.01,34.0,34.384,38.1708,33.6368,UP,1
2012-06-29,35.04,34.5,34.392,38.1018,33.6699,DOWN,0
2012-07-02,34.95,35.24,34.496,38.0284,33.7004,UP,1
2012-07-03,35.6,34.83,34.738,37.9678,33.7329,DOWN,0
2012-07-05,35.29,35.55,34.978,37.8922,33.7682,DOWN,0
2012-07-06,34.84,34.88,35.144,37.7876,33.8031,UP,1
2012-07-09,35.37,34.94,35.21,37.695,33.8463,DOWN,0
2012-07-10,35.29,35.44,35.278,37.5992,33.8915,UP,1
2012-07-11,35.68,35.19,35.294,37.5218,33.9369,UP,1
2012-07-12,36.14,35.43,35.464,37.4288,33.9865,UP,1
2012-07-13,36.47,36.05,35.79,37.3488,34.0335,DOWN,0
2012-07-16,35.96,36.47,35.908,37.255,34.0792,UP,1
2012-07-17,36.44,36.18,36.138,37.1784,34.1302,DOWN,0
2012-07-18,36.28,36.33,36.258,37.0988,34.1804,UP,1
2012-07-19,36.34,36.25,36.298,37.0146,34.2331,DOWN,0
2012-07-20,36.01,36.0,36.206,36.9174,34.2767,DOWN,0
2012-07-23,35.48,35.58,36.11,36.8364,34.3153,DOWN,0
2012-07-24,35.47,35.5,35.916,36.7522,34.3525,UP,1
2012-07-25,35.77,35.52,35.814,36.6808,34.3924,UP,1
2012-07-26,36.52,36.25,35.85,36.627,34.435,UP,1
2012-07-27,37.27,36.61,36.102,36.5922,34.4813,DOWN,0
2012-07-30,36.98,37.27,36.402,36.552,34.5251,DOWN,0
2012-07-31,36.92,36.83,36.692,36.5356,34.5692,DOWN,0
2012-08-01,36.39,36.97,36.816,36.5034,34.6107,DOWN,0
2012-08-02,35.78,36.2,36.668,36.4662,34.6533,UP,1
2012-08-03,36.07,36.19,36.428,36.4306,34.695,DOWN,0
