ticker,TSLA US Equity,TSLA US Equity,TSLA US Equity,TSLA US Equity,TSLA US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2016-11-30,12.627,12.733,12.8651,13.1367,14.2689,DOWN,0
2016-12-01,12.125,12.55,12.7149,13.1056,14.2739,DOWN,0
2016-12-02,12.098,12.192,12.5125,13.0723,14.2789,UP,1
2016-12-05,12.453,12.167,12.3883,13.0448,14.2819,DOWN,0
2016-12-06,12.39,12.368,12.3387,13.014,14.2848,UP,1
2016-12-07,12.877,12.41,12.3887,12.9971,14.2895,DOWN,0
2016-12-08,12.819,12.803,12.5275,12.9784,14.2911,DOWN,0
2016-12-09,12.812,12.725,12.6703,12.9671,14.2917,UP,1
2016-12-12,12.829,12.853,12.7453,12.9516,14.2919,UP,1
2016-12-13,13.21,12.879,12.9093,12.9309,14.2958,UP,1
2016-12-14,13.246,13.249,12.9832,12.9139,14.2993,DOWN,0
2016-12-15,13.172,13.227,13.0537,12.8994,14.2999,UP,1
2016-12-16,13.499,13.205,13.1912,12.9014,14.3004,UP,1
2016-12-19,13.515,13.499,13.3285,12.9096,14.2995,UP,1
2016-12-20,13.919,13.537,13.4704,12.92,14.3016,DOWN,0
2016-12-21,13.847,13.897,13.5905,12.9301,14.3013,UP,1
2016-12-22,13.897,13.881,13.7355,12.9394,14.3023,UP,1
2016-12-23,14.223,13.867,13.8801,12.9569,14.3043,UP,1
2016-12-27,14.635,14.325,14.1041,12.9876,14.3057,UP,1
2016-12-28,14.649,14.769,14.2501,13.0219,14.3062,DOWN,0
2016-12-29,14.312,14.571,14.3432,13.0427,14.3038,DOWN,0
2016-12-30,14.246,14.42,14.4131,13.0562,14.2996,UP,1
2017-01-03,14.466,14.324,14.4617,13.0801,14.2943,UP,1
2017-01-04,15.133,14.317,14.5612,13.1159,14.2905,DOWN,0
2017-01-05,15.117,15.095,14.6547,13.1479,14.288,UP,1
2017-01-06,15.267,15.129,14.8457,13.1835,14.2902,UP,1
2017-01-09,15.419,15.265,15.0803,13.2222,14.2914,DOWN,0
2017-01-10,15.325,15.467,15.252,13.2567,14.2912,DOWN,0
2017-01-11,15.315,15.271,15.2885,13.2964,14.2911,DOWN,0
2017-01-12,15.306,15.271,15.3264,13.3388,14.292,UP,1
2017-01-13,15.85,15.333,15.4429,13.4015,14.2947,DOWN,0
2017-01-17,15.705,15.78,15.5003,13.4649,14.294,UP,1
2017-01-18,15.891,15.777,15.6135,13.5328,14.2911,UP,1
2017-01-19,16.251,16.483,15.8005,13.6037,14.2872,UP,1
2017-01-20,16.315,16.364,16.0024,13.6724,14.2803,UP,1
2017-01-23,16.595,16.39,16.1513,13.7444,14.2776,UP,1
2017-01-24,16.974,16.667,16.4051,13.8305,14.2791,DOWN,0
2017-01-25,16.965,17.154,16.6199,13.9226,14.2806,DOWN,0
2017-01-26,16.834,16.953,16.7365,14.0079,14.2821,UP,1
2017-01-27,16.863,16.759,16.8461,14.1032,14.2816,DOWN,0
2017-01-30,16.709,16.835,16.8689,14.1924,14.2812,UP,1
2017-01-31,16.795,16.616,16.8332,14.283,14.2804,DOWN,0
2017-02-01,16.616,16.87,16.7635,14.3638,14.2788,UP,1
2017-02-02,16.77,16.556,16.7507,14.4525,14.2802,DOWN,0
2017-02-03,16.755,16.794,16.7291,14.5416,14.2807,UP,1
2017-02-06,17.185,16.733,16.8243,14.6304,14.2838,DOWN,0
2017-02-07,17.165,17.213,16.8983,14.7162,14.2851,UP,1
2017-02-08,17.472,17.157,17.0695,14.8034,14.2885,UP,1
2017-02-09,17.947,17.75,17.3048,14.9009,14.2936,UP,1
2017-02-10,17.949,17.986,17.5435,15.0071,14.2995,UP,1
2017-02-13,18.707,18.049,17.8479,15.1287,14.3105,UP,1
2017-02-14,18.732,18.602,18.1612,15.2608,14.3239,DOWN,0
2017-02-15,18.651,18.667,18.3969,15.3919,14.3366,DOWN,0
2017-02-16,17.93,18.507,18.3936,15.5014,14.3488,UP,1
2017-02-17,18.149,17.72,18.4336,15.6166,14.3653,UP,1
2017-02-21,18.493,18.363,18.3908,15.7289,14.3873,DOWN,0
2017-02-22,18.234,18.687,18.2912,15.8372,14.4068,DOWN,0
2017-02-23,17.066,17.6,17.9743,15.9223,14.4225,UP,1
2017-02-24,17.133,16.844,17.8149,16.0083,14.4386,DOWN,0
2017-02-27,16.415,16.545,17.4683,16.0725,14.451,UP,1
2017-02-28,16.666,16.279,17.1029,16.1409,14.4653,UP,1
2017-03-01,16.668,16.945,16.7897,16.2108,14.4794,UP,1
2017-03-02,16.699,16.647,16.7163,16.2748,14.4935,UP,1
2017-03-03,16.771,16.716,16.6439,16.3399,14.5091,DOWN,0
2017-03-06,16.747,16.527,16.7103,16.3964,14.5225,DOWN,0
2017-03-07,16.573,16.795,16.6916,16.451,14.5336,DOWN,0
2017-03-08,16.458,16.467,16.6496,16.5022,14.5424,DOWN,0
2017-03-09,16.327,16.509,16.5752,16.5443,14.552,DOWN,0
2017-03-10,16.246,16.414,16.4701,16.5765,14.5606,UP,1
2017-03-13,16.411,16.321,16.4029,16.6117,14.5695,UP,1
2017-03-14,17.2,16.407,16.5284,16.6695,14.5804,DOWN,0
2017-03-15,17.049,17.133,16.6465,16.7255,14.5913,UP,1
2017-03-16,17.47,17.493,16.8752,16.7856,14.6043,DOWN,0
2017-03-17,17.433,17.6,17.1127,16.8316,14.6182,UP,1
2017-03-20,17.461,17.373,17.3227,16.8785,14.6326,DOWN,0
2017-03-21,16.712,17.522,17.2251,16.9074,14.6431,UP,1
2017-03-22,17.001,16.771,17.2155,16.9391,14.6546,DOWN,0
2017-03-23,16.985,17.026,17.1185,16.9723,14.662,UP,1
