ticker,GRMN US Equity,GRMN US Equity,GRMN US Equity,GRMN US Equity,GRMN US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2006-09-18,44.37,43.75,43.612,46.038,40.8905,DOWN,0
2006-09-19,43.12,44.0,43.654,45.9224,40.9655,UP,1
2006-09-20,44.44,43.4,43.882,45.786,41.0429,UP,1
2006-09-21,44.64,44.73,44.014,45.6947,41.1185,DOWN,0
2006-09-22,43.87,44.69,44.088,45.5942,41.1924,UP,1
2006-09-25,45.06,44.3,44.226,45.5227,41.2692,UP,1
2006-09-26,45.34,45.03,44.67,45.4369,41.3489,UP,1
2006-09-27,47.37,45.6,45.256,45.3724,41.4398,UP,1
2006-09-28,48.54,47.13,46.036,45.3325,41.5304,UP,1
2006-09-29,48.78,48.36,47.018,45.336,41.6155,DOWN,0
2006-10-02,47.93,48.75,47.592,45.3411,41.6964,DOWN,0
2006-10-03,47.14,48.09,47.952,45.282,41.7766,UP,1
2006-10-04,48.95,47.1,48.268,45.2567,41.8688,UP,1
2006-10-05,49.5,49.04,48.46,45.259,41.9629,UP,1
2006-10-06,49.74,49.59,48.652,45.3249,42.0581,UP,1
2006-10-09,50.4,49.54,49.146,45.4081,42.1532,UP,1
2006-10-10,50.66,50.22,49.85,45.4714,42.2357,DOWN,0
2006-10-11,50.2,50.3,50.1,45.5754,42.3153,UP,1
2006-10-12,50.77,50.58,50.354,45.7094,42.4031,UP,1
2006-10-13,51.04,50.91,50.614,45.8431,42.4941,DOWN,0
2006-10-16,50.95,51.19,50.724,45.9952,42.5867,DOWN,0
2006-10-17,50.7,50.6,50.732,46.1257,42.6744,DOWN,0
2006-10-18,49.57,51.42,50.606,46.2454,42.7538,DOWN,0
2006-10-19,49.4,49.4,50.332,46.3759,42.837,DOWN,0
2006-10-20,48.95,49.58,49.914,46.482,42.9219,UP,1
2006-10-23,49.88,50.98,49.7,46.5909,43.0043,UP,1
2006-10-24,50.62,50.0,49.684,46.7313,43.0901,UP,1
2006-10-25,52.91,51.14,50.352,46.8955,43.1928,UP,1
2006-10-26,54.87,54.31,51.446,47.0665,43.3073,DOWN,0
2006-10-27,52.89,54.49,52.234,47.1917,43.4125,DOWN,0
2006-10-30,52.56,52.95,52.77,47.3189,43.518,UP,1
2006-10-31,53.41,52.99,53.328,47.4631,43.6315,DOWN,0
2006-11-01,44.98,46.56,51.742,47.4451,43.7028,UP,1
2006-11-02,46.503,45.6,50.0686,47.4769,43.7831,UP,1
2006-11-03,46.57,46.74,48.8046,47.5315,43.8664,UP,1
2006-11-06,47.19,47.4,47.7306,47.5905,43.9498,DOWN,0
2006-11-07,47.04,47.35,46.4566,47.6253,44.024,UP,1
2006-11-08,47.51,46.75,46.9626,47.6693,44.104,DOWN,0
2006-11-09,47.09,47.79,47.08,47.6761,44.1813,DOWN,0
2006-11-10,46.28,47.17,47.022,47.6665,44.2521,UP,1
2006-11-13,46.7,46.25,46.924,47.6613,44.3271,UP,1
2006-11-14,48.35,46.5,47.186,47.6723,44.4133,UP,1
2006-11-15,49.05,48.29,47.494,47.7497,44.503,UP,1
2006-11-16,50.5,49.485,48.176,47.9079,44.5945,DOWN,0
2006-11-17,50.13,50.34,48.946,48.0467,44.6852,DOWN,0
2006-11-20,48.99,49.66,49.404,48.1829,44.7734,DOWN,0
2006-11-21,48.62,49.0,49.458,48.2971,44.8628,UP,1
2006-11-22,49.28,48.88,49.504,48.4167,44.9574,DOWN,0
2006-11-24,49.02,48.83,49.208,48.5175,45.0384,DOWN,0
2006-11-27,48.77,50.01,48.936,48.6229,45.116,DOWN,0
2006-11-28,48.6,48.84,48.858,48.7075,45.189,UP,1
2006-11-29,50.24,49.6,49.182,48.8499,45.2726,UP,1
2006-11-30,50.89,50.25,49.504,48.9789,45.3623,DOWN,0
2006-12-01,49.96,50.5,49.692,49.0853,45.4483,UP,1
2006-12-04,50.22,50.47,49.982,49.2123,45.5361,UP,1
2006-12-05,50.84,51.22,50.43,49.3279,45.6253,UP,1
2006-12-06,50.97,50.75,50.576,49.4405,45.7174,DOWN,0
2006-12-07,49.6,49.74,50.318,49.4851,45.8015,UP,1
2006-12-08,49.72,49.58,50.27,49.5087,45.8826,UP,1
2006-12-11,50.25,50.315,50.276,49.5381,45.958,UP,1
2006-12-12,51.44,50.25,50.396,49.6083,46.0432,UP,1
2006-12-13,52.72,51.6,50.746,49.7199,46.1326,UP,1
2006-12-14,53.44,53.0,51.514,49.8097,46.2181,UP,1
2006-12-15,54.76,53.39,52.522,49.9149,46.3069,UP,1
2006-12-18,55.37,54.9,53.546,50.0275,46.3957,DOWN,0
2006-12-19,55.04,54.85,54.266,50.1203,46.4863,DOWN,0
2006-12-20,54.57,54.53,54.636,50.1985,46.5722,UP,1
2006-12-21,54.67,54.45,54.882,50.2879,46.657,UP,1
2006-12-22,55.16,54.8,54.962,50.3757,46.7459,DOWN,0
2006-12-26,54.95,54.91,54.878,50.4539,46.834,UP,1
2006-12-27,55.23,55.33,54.916,50.5395,46.9219,UP,1
2006-12-28,56.25,55.55,55.252,50.6505,47.0106,DOWN,0
2006-12-29,55.66,56.18,55.45,50.7723,47.0973,UP,1
2007-01-03,55.67,55.87,55.552,50.8977,47.183,DOWN,0
2007-01-04,55.06,55.43,55.574,51.0199,47.2597,DOWN,0
2007-01-05,54.88,54.65,55.504,51.1199,47.3316,DOWN,0
2007-01-08,54.0,54.53,55.054,51.1875,47.3996,DOWN,0
2007-01-09,51.93,52.0,54.308,51.1679,47.4598,UP,1
2007-01-10,52.3,51.09,53.634,51.1165,47.5174,DOWN,0
2007-01-11,52.04,52.88,53.03,51.0995,47.5672,UP,1
2007-01-12,52.3,51.85,52.514,51.0943,47.625,DOWN,0
2007-01-16,52.11,52.1,52.136,51.0683,47.6821,UP,1
2007-01-17,52.24,51.62,52.198,51.2135,47.7458,DOWN,0
2007-01-18,50.13,51.87,51.764,51.286,47.7979,DOWN,0
2007-01-19,49.55,49.87,51.266,51.3456,47.8428,DOWN,0
2007-01-22,49.29,49.52,50.664,51.3876,47.8864,UP,1
2007-01-23,50.06,49.36,50.254,51.448,47.9327,UP,1
2007-01-24,50.43,50.42,49.892,51.5064,47.9788,DOWN,0
2007-01-25,49.68,50.25,49.802,51.5582,48.0215,DOWN,0
2007-01-26,49.49,49.56,49.79,51.6224,48.0632,UP,1
2007-01-29,49.91,49.49,49.914,51.6866,48.1062,DOWN,0
2007-01-30,49.19,49.97,49.74,51.7034,48.1415,UP,1
2007-01-31,50.22,49.85,49.698,51.7268,48.1751,DOWN,0
2007-02-01,49.7,50.38,49.702,51.7108,48.2087,UP,1
2007-02-02,51.15,49.9,50.034,51.7312,48.2446,DOWN,0
2007-02-05,50.91,51.15,50.234,51.7696,48.2791,UP,1
2007-02-06,50.95,51.0,50.586,51.8162,48.315,UP,1
2007-02-07,51.7,51.1,50.882,51.8646,48.3585,UP,1
2007-02-08,53.15,51.54,51.572,51.9472,48.4091,DOWN,0
2007-02-09,52.26,53.17,51.794,52.017,48.4527,DOWN,0
2007-02-12,51.84,51.52,51.98,52.0818,48.494,UP,1
2007-02-13,52.71,52.1,52.332,52.1312,48.5369,UP,1
2007-02-14,57.0,58.25,53.392,52.2534,48.606,DOWN,0
2007-02-15,56.5,56.9,54.062,52.3842,48.67,DOWN,0
2007-02-16,55.77,56.4,54.764,52.4952,48.729,UP,1
