ticker,MET US Equity,MET US Equity,MET US Equity,MET US Equity,MET US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2001-03-13,28.2312,27.6252,28.3363,28.8006,23.899,DOWN,0
2001-03-14,25.6201,25.1746,27.782,28.6892,23.9391,UP,1
2001-03-15,25.8429,25.9766,27.217,28.6001,23.9798,DOWN,0
2001-03-16,25.3082,25.7092,26.4988,28.4847,24.015,DOWN,0
2001-03-19,24.7557,25.2637,25.9516,28.3983,24.0496,DOWN,0
2001-03-20,24.2389,24.9518,25.1532,28.3206,24.0772,UP,1
2001-03-21,24.6666,24.1943,24.9625,28.228,24.109,DOWN,0
2001-03-22,23.2141,24.5062,24.4367,28.0885,24.134,UP,1
2001-03-23,24.5062,23.526,24.2763,27.9849,24.1643,UP,1
2001-03-26,24.6844,24.729,24.262,27.8994,24.1967,UP,1
2001-03-27,24.827,24.4617,24.3797,27.8434,24.2272,UP,1
2001-03-28,24.9963,24.9518,24.4456,27.792,24.2612,UP,1
2001-03-29,25.3261,24.9518,24.868,27.7426,24.2951,UP,1
2001-03-30,26.7786,25.7538,25.3225,27.7157,24.3398,UP,1
2001-04-02,27.0014,26.6449,25.7859,27.7021,24.3857,DOWN,0
2001-04-03,26.1726,27.0459,26.055,27.6407,24.4272,DOWN,0
2001-04-04,25.9855,25.9499,26.2528,27.5734,24.468,UP,1
2001-04-05,26.7341,26.0657,26.5344,27.5077,24.5179,DOWN,0
2001-04-06,26.44,26.5113,26.4667,27.4428,24.5676,UP,1
2001-04-09,26.6895,26.44,26.4043,27.3906,24.6156,DOWN,0
2001-04-10,26.6895,26.7341,26.5077,27.3332,24.663,DOWN,0
2001-04-11,25.932,26.6004,26.497,27.255,24.7072,UP,1
2001-04-12,26.6004,26.1548,26.4703,27.2021,24.7516,UP,1
2001-04-16,26.9568,26.6004,26.5736,27.1442,24.7989,DOWN,0
2001-04-17,26.8588,26.8232,26.6075,27.086,24.8383,DOWN,0
2001-04-18,26.7341,27.3578,26.6164,27.0192,24.8785,DOWN,0
2001-04-19,26.4132,26.5558,26.7127,26.9649,24.9154,DOWN,0
2001-04-20,25.8875,26.4132,26.5701,26.8843,24.9507,DOWN,0
2001-04-23,25.7627,26.1103,26.3313,26.8203,24.982,DOWN,0
2001-04-24,25.3973,25.7627,26.039,26.7499,25.0115,UP,1
2001-04-25,25.4865,25.3973,25.7894,26.6695,25.0435,UP,1
2001-04-26,25.7449,25.7984,25.6558,26.6084,25.0795,UP,1
2001-04-27,25.9142,25.7538,25.6611,26.5474,25.118,DOWN,0
2001-04-30,25.8429,25.932,25.6772,26.5029,25.1589,UP,1
2001-05-01,26.2885,25.7538,25.8554,26.4557,25.1973,DOWN,0
2001-05-02,25.8786,26.2885,25.9338,26.4136,25.2362,DOWN,0
2001-05-03,25.7984,25.6112,25.9445,26.378,25.2744,UP,1
2001-05-04,26.3776,25.4419,26.0372,26.368,25.3152,DOWN,0
2001-05-07,26.0479,26.333,26.0782,26.3482,25.3539,DOWN,0
2001-05-08,25.4865,26.0568,25.9178,26.3051,25.3888,UP,1
2001-05-09,25.7538,25.4865,25.8928,26.2689,25.4263,DOWN,0
2001-05-10,25.7003,25.8875,25.8732,26.2331,25.4612,UP,1
2001-05-11,25.8073,25.8429,25.7591,26.1967,25.4975,UP,1
2001-05-14,26.1994,25.932,25.7894,26.1534,25.5374,UP,1
2001-05-15,26.7786,26.4222,26.0479,26.1195,25.5808,UP,1
2001-05-16,27.5361,27.4024,26.4043,26.1069,25.6249,UP,1
2001-05-17,27.848,27.5985,26.8339,26.096,25.6701,UP,1
2001-05-18,27.8569,27.8925,27.2438,26.0798,25.7163,DOWN,0
