ticker,HD US Equity,HD US Equity,HD US Equity,HD US Equity,HD US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-09-18,55.063,54.625,56.4098,55.0875,53.73,DOWN,0
2000-09-19,53.0,55.0,56.394,54.5125,53.64,DOWN,0
2000-09-20,53.0,53.5,56.3811,54.1625,53.5475,UP,1
2000-09-21,55.0,53.125,56.3786,54.0625,53.5,UP,1
2000-09-22,55.938,54.75,56.3773,54.4,53.495,DOWN,0
2000-09-25,54.625,55.938,56.3596,54.3125,53.4588,DOWN,0
2000-09-26,53.375,54.438,56.3298,54.3875,53.3888,UP,1
2000-09-27,54.75,54.938,56.2999,54.7375,53.3363,UP,1
2000-09-28,55.0,54.25,56.2665,54.7375,53.2938,DOWN,0
2000-09-29,52.938,54.125,56.2196,54.1375,53.1913,DOWN,0
2000-10-02,52.563,53.938,56.1601,53.725,53.1,UP,1
2000-10-03,53.75,52.938,56.0997,53.8,53.055,UP,1
2000-10-04,55.563,53.813,56.0492,53.9625,53.0663,DOWN,0
2000-10-05,53.75,54.0,55.9987,53.7125,53.07,DOWN,0
2000-10-06,51.063,51.25,55.9329,53.3375,52.9963,DOWN,0
2000-10-09,50.875,51.063,55.8635,53.0,52.96,DOWN,0
2000-10-10,50.688,51.125,55.7909,52.3875,52.9388,DOWN,0
2000-10-11,48.938,50.188,55.7035,51.0625,52.8775,DOWN,0
2000-10-12,34.875,37.25,55.5417,47.2875,52.5125,UP,1
2000-10-13,36.313,35.438,55.3893,44.3375,52.2038,UP,1
2000-10-16,37.688,36.938,55.234,41.7,51.8775,DOWN,0
2000-10-17,35.125,37.5,55.0837,38.5875,51.48,UP,1
2000-10-18,36.5,35.25,54.9574,36.1,51.07,UP,1
2000-10-19,38.625,37.625,54.8355,36.85,50.6825,UP,1
2000-10-20,39.438,38.625,54.7327,37.475,50.3688,UP,1
2000-10-23,40.563,40.625,54.618,38.05,50.0613,DOWN,0
2000-10-24,39.25,41.313,54.4983,38.875,49.6663,DOWN,0
2000-10-25,38.375,38.75,54.3824,39.25,49.3638,UP,1
2000-10-26,38.938,38.5,54.2718,39.3125,49.1225,UP,1
2000-10-27,39.375,38.75,54.158,39.3,48.8838,UP,1
2000-10-30,40.938,39.75,54.053,39.375,48.675,UP,1
2000-10-31,43.0,42.5,53.9655,40.125,48.5175,UP,1
2000-11-01,44.063,43.0,53.8765,41.2625,48.375,DOWN,0
2000-11-02,42.75,43.75,53.7869,42.025,48.2025,DOWN,0
2000-11-03,41.25,42.5,53.6931,42.4,48.0188,UP,1
2000-11-06,41.313,41.688,53.6097,42.475,47.835,UP,1
2000-11-07,41.375,42.0,53.5359,42.15,47.6625,DOWN,0
2000-11-08,41.25,41.938,53.4553,41.5875,47.4938,DOWN,0
2000-11-09,38.813,40.0,53.3581,40.8,47.3025,DOWN,0
2000-11-10,36.25,37.0,53.2612,39.8,47.0663,UP,1
2000-11-13,37.375,35.5,53.165,39.0125,46.8425,UP,1
2000-11-14,39.188,40.0,53.0509,38.575,46.6238,UP,1
2000-11-15,39.625,40.0,52.9453,38.25,46.4038,DOWN,0
2000-11-16,39.188,39.688,52.8387,38.325,46.1775,DOWN,0
2000-11-17,38.813,39.375,52.7272,38.8375,45.895,UP,1
2000-11-20,38.875,38.813,52.6266,39.1375,45.5875,DOWN,0
2000-11-21,38.25,39.0,52.5128,38.95,45.235,DOWN,0
2000-11-22,36.75,38.25,52.4028,38.375,44.875,UP,1
2000-11-24,37.5,38.5,52.2925,38.0375,44.515,UP,1
2000-11-27,38.75,39.438,52.1859,38.025,44.205,UP,1
2000-11-28,39.563,39.0,52.0822,38.1625,43.895,UP,1
2000-11-29,40.0,40.125,51.9834,38.5125,43.635,DOWN,0
2000-11-30,39.188,39.75,51.8931,39.0,43.3588,DOWN,0
2000-12-01,38.938,39.25,51.8153,39.2875,43.0375,UP,1
2000-12-04,40.75,39.0,51.7503,39.6875,42.7338,UP,1
2000-12-05,43.625,40.625,51.7003,40.5,42.5138,UP,1
2000-12-06,45.063,45.75,51.6516,41.5125,42.3475,DOWN,0
2000-12-07,44.938,45.063,51.6109,42.6625,42.1513,UP,1
2000-12-08,47.25,45.938,51.5822,44.325,41.9963,DOWN,0
2000-12-11,45.125,45.938,51.5237,45.2,41.84,DOWN,0
2000-12-12,45.0,44.5,51.4612,45.475,41.6888,UP,1
