ticker,FTNT US Equity,FTNT US Equity,FTNT US Equity,FTNT US Equity,FTNT US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2011-09-21,3.504,3.5,3.614,3.9793,4.151,DOWN,0
2011-09-22,3.32,3.386,3.5216,3.9358,4.1512,DOWN,0
2011-09-23,3.25,3.29,3.4456,3.8929,4.1511,UP,1
2011-09-26,3.506,3.27,3.4116,3.8556,4.1519,DOWN,0
2011-09-27,3.47,3.554,3.41,3.8189,4.1526,DOWN,0
2011-09-28,3.392,3.476,3.3876,3.7796,4.1536,DOWN,0
2011-09-29,3.36,3.456,3.3956,3.7603,4.1549,DOWN,0
2011-09-30,3.36,3.316,3.4176,3.7447,4.156,DOWN,0
2011-10-03,3.306,3.324,3.3776,3.7265,4.1566,UP,1
2011-10-04,3.326,3.248,3.3488,3.7107,4.1572,UP,1
2011-10-05,3.406,3.322,3.3516,3.696,4.1582,UP,1
2011-10-06,3.574,3.41,3.3944,3.6883,4.1601,UP,1
2011-10-07,3.588,3.576,3.44,3.6808,4.1622,UP,1
2011-10-10,3.712,3.624,3.5212,3.6738,4.1651,DOWN,0
2011-10-11,3.654,3.634,3.5868,3.6659,4.1671,DOWN,0
2011-10-12,3.544,3.676,3.6144,3.6563,4.169,UP,1
2011-10-13,3.714,3.504,3.6424,3.6462,4.1715,UP,1
2011-10-14,3.962,3.764,3.7172,3.6423,4.1752,DOWN,0
2011-10-17,3.854,3.956,3.7456,3.6409,4.1783,UP,1
2011-10-18,3.93,3.874,3.8008,3.6475,4.1814,DOWN,0
2011-10-19,3.7,3.928,3.832,3.6447,4.1824,DOWN,0
2011-10-20,3.644,3.722,3.818,3.6449,4.1824,DOWN,0
2011-10-21,3.528,3.698,3.7312,3.6376,4.1818,UP,1
2011-10-24,3.824,3.616,3.7252,3.6353,4.1833,UP,1
2011-10-25,4.292,4.044,3.7976,3.6387,4.1868,DOWN,0
2011-10-26,4.156,4.124,3.8888,3.6406,4.1895,UP,1
2011-10-27,4.346,4.258,4.0292,3.6441,4.193,UP,1
2011-10-28,4.612,4.344,4.246,3.6616,4.1976,DOWN,0
2011-10-31,4.612,4.584,4.4036,3.6836,4.202,DOWN,0
2011-11-01,4.514,4.378,4.448,3.7049,4.2062,UP,1
2011-11-02,4.592,4.55,4.5352,3.7228,4.2114,UP,1
2011-11-03,5.0,4.746,4.666,3.7514,4.2189,DOWN,0
2011-11-04,4.938,4.916,4.7312,3.7802,4.2261,DOWN,0
2011-11-07,4.792,4.932,4.7672,3.8016,4.2328,UP,1
2011-11-08,4.842,4.808,4.8328,3.8222,4.24,DOWN,0
2011-11-09,4.654,4.752,4.8452,3.84,4.2435,UP,1
2011-11-10,4.994,4.728,4.844,3.8634,4.2496,DOWN,0
2011-11-11,4.912,5.022,4.8388,3.8854,4.2556,DOWN,0
2011-11-14,4.904,4.948,4.8612,3.9099,4.2609,UP,1
2011-11-15,5.152,4.978,4.9232,3.9401,4.267,DOWN,0
2011-11-16,5.108,5.124,5.014,3.9669,4.273,DOWN,0
2011-11-17,4.896,5.11,4.9944,3.991,4.278,DOWN,0
2011-11-18,4.856,4.944,4.9832,4.0176,4.2819,DOWN,0
2011-11-21,4.738,4.786,4.95,4.0425,4.2857,DOWN,0
2011-11-22,4.72,4.704,4.8636,4.067,4.2891,DOWN,0
2011-11-23,4.564,4.654,4.7548,4.0838,4.2918,DOWN,0
2011-11-25,4.558,4.53,4.6872,4.0993,4.2943,UP,1
2011-11-28,4.706,4.69,4.6572,4.1208,4.2975,DOWN,0
2011-11-29,4.626,4.66,4.6348,4.1398,4.3001,UP,1
2011-11-30,4.798,4.77,4.6504,4.1662,4.3039,UP,1
2011-12-01,4.804,4.76,4.6984,4.1922,4.3072,UP,1
2011-12-02,4.878,4.856,4.7624,4.2234,4.311,UP,1
2011-12-05,5.12,4.954,4.8452,4.2608,4.3157,DOWN,0
2011-12-06,4.914,4.972,4.9028,4.2889,4.3205,DOWN,0
2011-12-07,4.734,4.894,4.89,4.3142,4.3242,DOWN,0
2011-12-08,4.69,4.688,4.8672,4.3402,4.3273,UP,1
2011-12-09,4.908,4.82,4.8732,4.3711,4.3311,DOWN,0
2011-12-12,4.79,4.804,4.8072,4.3997,4.3346,DOWN,0
2011-12-13,4.662,4.83,4.7568,4.4268,4.3381,DOWN,0
2011-12-14,4.432,4.612,4.6964,4.449,4.3401,DOWN,0
2011-12-15,4.37,4.474,4.6324,4.4682,4.3408,UP,1
2011-12-16,4.434,4.382,4.5376,4.4854,4.3413,DOWN,0
2011-12-19,4.316,4.442,4.4428,4.5,4.3414,DOWN,0
2011-12-20,4.272,4.414,4.3648,4.5112,4.3411,DOWN,0
2011-12-21,4.01,4.24,4.2804,4.5183,4.3395,UP,1
2011-12-22,4.124,4.012,4.2312,4.5299,4.3391,UP,1
2011-12-23,4.166,4.142,4.1776,4.539,4.3384,UP,1
2011-12-27,4.228,4.152,4.16,4.5443,4.3377,UP,1
2011-12-28,4.268,4.236,4.1592,4.5526,4.338,UP,1
2011-12-29,4.332,4.268,4.2236,4.5606,4.3391,UP,1
2011-12-30,4.362,4.348,4.2712,4.5738,4.3402,DOWN,0
2012-01-03,4.154,4.442,4.2688,4.584,4.3398,DOWN,0
2012-01-04,4.022,4.11,4.2276,4.5939,4.338,UP,1
2012-01-05,4.04,4.03,4.182,4.5982,4.3371,UP,1
2012-01-06,4.082,4.034,4.132,4.594,4.337,DOWN,0
2012-01-09,4.034,4.088,4.0664,4.5916,4.3363,DOWN,0
2012-01-10,3.98,4.104,4.0316,4.5843,4.3347,UP,1
2012-01-11,4.124,4.036,4.052,4.5745,4.3341,UP,1
2012-01-12,4.212,4.25,4.0864,4.5665,4.3335,DOWN,0
