ticker,MCHP US Equity,MCHP US Equity,MCHP US Equity,MCHP US Equity,MCHP US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2005-05-18,14.95,14.94,13.5805,14.722,13.3128,DOWN,0
2005-05-19,14.885,15.0,13.5843,14.808,13.3361,UP,1
2005-05-20,14.995,14.795,13.5892,14.899,13.3613,DOWN,0
2005-05-23,14.985,14.975,13.5972,14.963,13.3889,DOWN,0
2005-05-24,14.965,14.9,13.6039,14.956,13.4153,DOWN,0
2005-05-25,14.775,14.965,13.6103,14.921,13.4443,UP,1
2005-05-26,15.0,14.85,13.6198,14.944,13.4842,DOWN,0
2005-05-27,14.84,14.97,13.6295,14.913,13.5239,DOWN,0
2005-05-31,14.825,14.875,13.6377,14.881,13.5615,UP,1
2005-06-01,14.995,14.9,13.6454,14.887,13.605,UP,1
2005-06-02,15.035,14.95,13.6521,14.939,13.6519,DOWN,0
2005-06-03,14.96,15.05,13.6573,14.931,13.6961,DOWN,0
2005-06-06,14.935,14.925,13.6632,14.95,13.7396,DOWN,0
2005-06-07,14.92,14.97,13.668,14.969,13.7828,DOWN,0
2005-06-08,14.755,15.055,13.6719,14.921,13.8214,UP,1
2005-06-09,14.945,14.7925,13.678,14.903,13.8562,DOWN,0
2005-06-10,14.72,15.09,13.6843,14.855,13.8905,UP,1
2005-06-13,14.81,14.72,13.6917,14.83,13.9338,DOWN,0
2005-06-14,14.795,14.865,13.6988,14.805,13.9795,DOWN,0
2005-06-15,14.78,14.855,13.7072,14.81,14.0243,UP,1
2005-06-16,15.215,15.155,13.7173,14.864,14.0805,UP,1
2005-06-17,15.34,15.375,13.7269,14.988,14.1297,DOWN,0
2005-06-20,15.115,15.22,13.734,15.049,14.1736,UP,1
2005-06-21,15.24,15.02,13.7471,15.138,14.2221,DOWN,0
2005-06-22,15.215,15.18,13.7593,15.225,14.2678,DOWN,0
