ticker,ROL US Equity,ROL US Equity,ROL US Equity,ROL US Equity,ROL US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2013-02-25,7.1911,7.3689,6.7978,7.3422,7.0485,UP,1
2013-02-26,7.2652,7.2178,6.8025,7.2806,7.0607,UP,1
2013-02-27,7.283,7.2622,6.8074,7.2687,7.0737,DOWN,0
2013-02-28,7.2622,7.28,6.8121,7.2681,7.0875,DOWN,0
2013-03-01,7.1941,7.2267,6.8167,7.2391,7.0993,DOWN,0
2013-03-04,7.1437,7.1733,6.8213,7.2296,7.1078,UP,1
2013-03-05,7.2267,7.1881,6.826,7.2219,7.1191,DOWN,0
2013-03-06,7.197,7.2504,6.8304,7.2047,7.1295,UP,1
2013-03-07,7.2089,7.197,6.8351,7.1941,7.1426,UP,1
2013-03-08,7.2741,7.2711,6.8407,7.2101,7.1555,DOWN,0
2013-03-11,7.1911,7.2504,6.8454,7.2196,7.1685,UP,1
2013-03-12,7.2059,7.197,6.8502,7.2154,7.1823,UP,1
2013-03-13,7.2652,7.2207,6.855,7.229,7.1995,DOWN,0
2013-03-14,7.2652,7.2652,6.8595,7.2403,7.2142,DOWN,0
2013-03-15,7.2059,7.2474,6.8642,7.2267,7.2235,DOWN,0
2013-03-18,7.1526,7.117,6.8682,7.219,7.2308,UP,1
2013-03-19,7.1793,7.1881,6.8728,7.2136,7.2377,UP,1
2013-03-20,7.2207,7.1881,6.8774,7.2047,7.2451,DOWN,0
2013-03-21,7.1733,7.1911,6.8826,7.1864,7.2514,DOWN,0
2013-03-22,7.1704,7.1852,6.8874,7.1793,7.2558,UP,1
2013-03-25,7.2237,7.2059,6.8923,7.1935,7.2607,UP,1
2013-03-26,7.2504,7.2207,6.8967,7.2077,7.2661,DOWN,0
2013-03-27,7.2059,7.1881,6.9014,7.2047,7.2694,UP,1
2013-03-28,7.2741,7.2178,6.9061,7.2249,7.2752,DOWN,0
2013-04-01,7.2415,7.2385,6.9108,7.2391,7.2807,DOWN,0
2013-04-02,7.2296,7.2859,6.915,7.2403,7.2834,DOWN,0
2013-04-03,6.9363,7.2207,6.918,7.1775,7.2807,UP,1
2013-04-04,6.963,6.9541,6.9206,7.1289,7.276,DOWN,0
2013-04-05,6.8504,6.8859,6.9226,7.0441,7.2686,UP,1
2013-04-08,6.9007,6.8681,6.9246,6.976,7.2601,DOWN,0
2013-04-09,6.8652,6.9274,6.926,6.9031,7.2501,UP,1
2013-04-10,6.9126,6.8919,6.9281,6.8984,7.2421,UP,1
2013-04-11,6.9867,6.8563,6.9316,6.9031,7.2353,DOWN,0
2013-04-12,6.9807,6.9659,6.935,6.9292,7.2297,DOWN,0
2013-04-15,6.7348,6.957,6.9371,6.896,7.2179,UP,1
2013-04-16,6.7941,6.8148,6.9396,6.8818,7.2065,DOWN,0
2013-04-17,6.6933,6.7556,6.941,6.8379,7.1931,DOWN,0
2013-04-18,6.6756,6.6963,6.9421,6.7757,7.1783,UP,1
2013-04-19,6.8178,6.6993,6.943,6.7431,7.1665,UP,1
