ticker,CVX US Equity,CVX US Equity,CVX US Equity,CVX US Equity,CVX US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2001-02-07,41.675,42.16,42.5155,41.63,40.8563,UP,1
2001-02-08,42.13,41.68,42.5141,41.729,40.8501,UP,1
2001-02-09,42.945,42.555,42.513,42.076,40.8509,UP,1
2001-02-12,43.265,43.0,42.5083,42.472,40.895,DOWN,0
2001-02-13,43.0,42.82,42.5104,42.603,40.9362,DOWN,0
2001-02-14,42.925,43.145,42.5093,42.853,40.9685,DOWN,0
2001-02-15,42.7,42.5,42.4995,42.967,40.9925,UP,1
2001-02-16,43.275,43.025,42.4976,43.033,41.0398,DOWN,0
2001-02-20,43.25,43.15,42.4929,43.03,41.0998,DOWN,0
2001-02-21,42.965,43.25,42.4809,43.023,41.1523,UP,1
2001-02-22,43.04,43.2,42.4665,43.046,41.1999,DOWN,0
2001-02-23,42.23,43.04,42.4524,42.952,41.2295,UP,1
2001-02-26,42.28,42.0,42.4366,42.753,41.257,UP,1
2001-02-27,42.85,42.3,42.4174,42.673,41.2915,DOWN,0
2001-02-28,42.83,42.955,42.3959,42.646,41.3575,UP,1
2001-03-01,43.42,42.83,42.378,42.722,41.4434,UP,1
2001-03-02,44.225,43.5,42.3667,43.121,41.5204,UP,1
2001-03-05,45.19,44.375,42.3644,43.703,41.6136,UP,1
2001-03-06,45.225,45.195,42.3634,44.178,41.7337,UP,1
2001-03-07,45.69,45.5,42.3585,44.75,41.8637,UP,1
2001-03-08,46.475,45.695,42.3557,45.361,41.987,DOWN,0
2001-03-09,46.39,46.475,42.3546,45.794,42.0867,DOWN,0
2001-03-12,46.055,46.37,42.3492,45.967,42.1771,DOWN,0
2001-03-13,45.31,46.04,42.3428,45.984,42.2258,DOWN,0
2001-03-14,44.765,44.575,42.3382,45.799,42.2768,DOWN,0
2001-03-15,44.35,44.765,42.3317,45.374,42.3044,DOWN,0
2001-03-16,43.75,43.8,42.3193,44.846,42.3531,UP,1
2001-03-19,44.53,44.05,42.3145,44.541,42.435,UP,1
2001-03-20,45.315,44.7,42.3146,44.542,42.5263,DOWN,0
2001-03-21,44.84,45.045,42.3127,44.557,42.61,DOWN,0
2001-03-22,43.75,44.75,42.2993,44.437,42.6825,DOWN,0
2001-03-23,43.35,43.35,42.2851,44.357,42.7482,DOWN,0
2001-03-26,43.22,43.9,42.2698,44.095,42.7982,UP,1
2001-03-27,43.915,43.625,42.2594,43.815,42.8672,DOWN,0
2001-03-28,43.3,43.23,42.2437,43.507,42.9232,DOWN,0
2001-03-29,43.21,42.9,42.2304,43.399,42.9849,UP,1
2001-03-30,43.9,43.56,42.2167,43.509,43.0685,DOWN,0
2001-04-02,43.435,43.9,42.2011,43.552,43.1441,DOWN,0
2001-04-03,43.0,43.31,42.1842,43.369,43.2078,UP,1
2001-04-04,43.85,43.0,42.175,43.479,43.2892,UP,1
2001-04-05,44.84,44.35,42.1736,43.805,43.3872,DOWN,0
2001-04-06,44.61,44.25,42.1685,43.947,43.4476,UP,1
2001-04-09,45.75,44.875,42.1733,44.41,43.5363,UP,1
2001-04-10,46.4,45.95,42.181,45.09,43.6493,DOWN,0
2001-04-11,45.4,45.9,42.1861,45.4,43.7387,UP,1
2001-04-12,45.9,45.4,42.1945,45.612,43.8239,UP,1
2001-04-16,46.9,46.0,42.2101,46.07,43.9292,DOWN,0
2001-04-17,46.625,46.8,42.2266,46.245,44.0375,UP,1
2001-04-18,46.73,46.225,42.2482,46.311,44.1464,DOWN,0
2001-04-19,46.375,46.38,42.2653,46.506,44.227,UP,1
2001-04-20,46.625,46.375,42.2922,46.651,44.326,UP,1
