ticker,NDSN US Equity,NDSN US Equity,NDSN US Equity,NDSN US Equity,NDSN US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2001-02-21,14.0313,14.625,13.9419,14.9563,14.5066,DOWN,0
2001-02-22,13.7891,13.9844,13.9574,14.6203,14.4836,DOWN,0
2001-02-23,13.5625,13.7969,13.9724,14.2453,14.4611,UP,1
2001-02-26,13.8438,13.5625,13.9905,14.0203,14.4723,DOWN,0
2001-02-27,13.3125,13.5625,14.0032,13.7078,14.4717,UP,1
2001-02-28,13.9688,13.4922,14.0172,13.6953,14.4852,DOWN,0
2001-03-01,13.8125,13.9375,14.0325,13.7,14.5038,DOWN,0
2001-03-02,13.8125,13.7969,14.0439,13.75,14.5319,UP,1
2001-03-05,14.0,13.9063,14.0576,13.7813,14.5495,UP,1
2001-03-06,14.4688,14.0938,14.0743,14.0125,14.5889,DOWN,0
2001-03-07,14.25,14.4688,14.0918,14.0688,14.6152,DOWN,0
2001-03-08,14.25,14.25,14.107,14.1563,14.6302,DOWN,0
2001-03-09,13.625,14.1875,14.1171,14.1188,14.637,DOWN,0
2001-03-12,13.4375,13.7188,14.1267,14.0063,14.6383,UP,1
2001-03-13,14.0,13.4063,14.1397,13.9125,14.6239,DOWN,0
2001-03-14,13.5,13.5313,14.1522,13.7625,14.6389,UP,1
2001-03-15,13.5938,13.5156,14.1598,13.6313,14.6458,DOWN,0
2001-03-16,13.0938,13.5938,14.1646,13.525,14.6095,DOWN,0
2001-03-19,12.75,13.375,14.1668,13.3875,14.5752,DOWN,0
2001-03-20,12.4375,12.6875,14.1665,13.075,14.5383,DOWN,0
2001-03-21,12.2188,12.5625,14.164,12.8188,14.4927,DOWN,0
2001-03-22,11.5938,12.3438,14.1587,12.4188,14.4339,UP,1
2001-03-23,12.0313,11.9063,14.1557,12.2063,14.3808,UP,1
2001-03-26,12.0938,12.2969,14.1537,12.075,14.325,UP,1
2001-03-27,12.5,12.0,14.1536,12.0875,14.2675,DOWN,0
2001-03-28,12.0938,12.5,14.1513,12.0625,14.2113,UP,1
2001-03-29,12.2188,12.0938,14.1473,12.1875,14.1631,UP,1
2001-03-30,13.0,12.2188,14.1462,12.3813,14.1256,DOWN,0
2001-04-02,12.2188,12.3125,14.1387,12.4063,14.0669,UP,1
2001-04-03,12.4688,12.2188,14.1366,12.4,14.0175,DOWN,0
2001-04-04,12.2188,12.3125,14.1331,12.425,13.957,UP,1
2001-04-05,13.25,12.2734,14.1361,12.6313,13.9252,DOWN,0
2001-04-06,12.9063,12.7188,14.1382,12.6125,13.8864,DOWN,0
2001-04-09,12.75,12.905,14.14,12.7188,13.8402,UP,1
2001-04-10,13.435,12.755,14.1445,12.912,13.8057,DOWN,0
2001-04-11,12.65,13.22,14.145,12.9983,13.755,UP,1
2001-04-12,13.1,12.635,14.1445,12.9683,13.7245,DOWN,0
2001-04-16,12.96,13.1,14.1462,12.979,13.6843,DOWN,0
2001-04-17,12.825,12.81,14.1419,12.994,13.6458,DOWN,0
2001-04-18,12.505,12.6375,14.1412,12.808,13.5909,UP,1
2001-04-19,13.25,12.9,14.1409,12.928,13.5428,UP,1
2001-04-20,13.51,13.24,14.1422,13.01,13.4961,DOWN,0
2001-04-23,13.0,13.455,14.1398,13.018,13.4511,UP,1
2001-04-24,13.045,12.945,14.1374,13.062,13.397,UP,1
2001-04-25,14.135,13.435,14.1402,13.388,13.3628,DOWN,0
2001-04-26,13.775,13.45,14.1407,13.493,13.3208,UP,1
2001-04-27,14.355,13.775,14.1425,13.662,13.2986,DOWN,0
2001-04-30,13.455,14.35,14.1361,13.753,13.2589,UP,1
2001-05-01,14.01,14.3,14.1318,13.946,13.2397,UP,1
2001-05-02,14.02,14.075,14.1271,13.923,13.2226,DOWN,0
2001-05-03,13.33,14.02,14.1214,13.834,13.2086,UP,1
2001-05-04,14.075,13.33,14.1218,13.778,13.2143,DOWN,0
2001-05-07,13.8,14.0,14.1176,13.847,13.2191,DOWN,0
2001-05-08,13.335,13.875,14.1118,13.712,13.2089,DOWN,0
2001-05-09,13.305,13.305,14.1075,13.569,13.2088,DOWN,0
2001-05-10,12.69,13.625,14.0997,13.441,13.1832,UP,1
2001-05-11,13.195,12.875,14.0941,13.265,13.1708,DOWN,0
2001-05-14,12.71,13.2,14.0886,13.047,13.1488,DOWN,0
2001-05-15,12.67,12.875,14.0819,12.914,13.1222,UP,1
2001-05-16,13.32,12.715,14.0779,12.917,13.0992,UP,1
2001-05-17,13.885,13.115,14.0746,13.156,13.0919,DOWN,0
2001-05-18,13.25,13.555,14.067,13.167,13.0719,UP,1
2001-05-21,13.975,13.5,14.0634,13.42,13.0789,UP,1
2001-05-22,14.155,14.075,14.0593,13.717,13.0933,DOWN,0
2001-05-23,13.215,14.08,14.05,13.696,13.0776,UP,1
2001-05-24,14.085,13.22,14.0423,13.736,13.0893,DOWN,0
2001-05-25,13.09,13.785,14.0304,13.704,13.0792,DOWN,0
2001-05-29,12.675,13.1,14.0165,13.444,13.0708,UP,1
2001-05-30,12.75,12.755,14.0012,13.163,13.0708,DOWN,0
2001-05-31,12.725,12.7,13.9845,13.065,13.0766,UP,1
2001-06-01,13.39,12.725,13.9739,12.926,13.1,UP,1
2001-06-04,13.505,13.4,13.9643,13.009,13.1382,DOWN,0
2001-06-05,13.325,13.23,13.9542,13.139,13.1641,DOWN,0
2001-06-06,12.925,13.2,13.9427,13.174,13.1807,UP,1
2001-06-07,13.7,13.2,13.9343,13.369,13.2047,DOWN,0
2001-06-08,12.975,13.7,13.9247,13.286,13.2223,UP,1
2001-06-11,13.0,12.975,13.9144,13.185,13.238,UP,1
