ticker,OTIS US Equity,OTIS US Equity,OTIS US Equity,OTIS US Equity,OTIS US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2021-06-03,79.14,78.25,78.572,74.4942,66.8805,UP,1
2021-06-04,79.87,79.25,78.804,74.7482,66.9626,DOWN,0
2021-06-07,79.61,80.4,79.06,74.9832,67.0461,UP,1
2021-06-08,80.85,79.76,79.548,75.2194,67.1355,DOWN,0
2021-06-09,80.75,80.79,80.044,75.4362,67.2211,DOWN,0
2021-06-10,80.42,81.05,80.3,75.6498,67.3042,UP,1
2021-06-11,80.54,80.85,80.434,75.8916,67.3854,UP,1
2021-06-14,80.8,80.57,80.672,76.1224,67.4685,UP,1
2021-06-15,80.99,80.97,80.7,76.3576,67.5573,DOWN,0
2021-06-16,80.63,81.01,80.676,76.5758,67.6425,DOWN,0
2021-06-17,80.47,80.92,80.686,76.7926,67.7304,DOWN,0
2021-06-18,79.5,79.76,80.478,76.9944,67.8076,UP,1
2021-06-21,81.04,80.09,80.526,77.2002,67.8861,UP,1
2021-06-22,81.37,81.04,80.602,77.4146,67.9837,DOWN,0
2021-06-23,80.82,81.64,80.64,77.6086,68.0804,UP,1
2021-06-24,81.37,80.89,80.82,77.828,68.1841,UP,1
2021-06-25,81.65,81.51,81.25,78.0416,68.2819,UP,1
2021-06-28,81.66,81.6,81.374,78.2632,68.3907,UP,1
2021-06-29,82.08,81.69,81.516,78.4842,68.5004,DOWN,0
2021-06-30,81.77,81.85,81.706,78.7102,68.6093,UP,1
2021-07-01,82.08,82.19,81.848,78.931,68.7182,UP,1
2021-07-02,82.66,82.19,82.05,79.1652,68.8326,DOWN,0
2021-07-06,82.25,82.27,82.168,79.3846,68.9386,UP,1
2021-07-07,84.08,82.86,82.568,79.5408,69.0546,DOWN,0
2021-07-08,83.09,82.92,82.832,79.6226,69.173,UP,1
2021-07-09,83.82,83.84,83.18,79.739,69.2872,DOWN,0
