ticker,NEE US Equity,NEE US Equity,NEE US Equity,NEE US Equity,NEE US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2005-04-27,10.2525,10.125,9.1433,10.3415,10.0533,DOWN,0
2005-04-28,10.1725,10.2525,9.1545,10.2995,10.0572,UP,1
2005-04-29,10.205,10.1725,9.1657,10.262,10.0614,UP,1
2005-05-02,10.23,10.205,9.1768,10.2185,10.0669,DOWN,0
2005-05-03,10.19,10.1675,9.1876,10.21,10.0742,DOWN,0
2005-05-04,10.19,10.19,9.1985,10.1975,10.0843,DOWN,0
2005-05-05,10.105,10.1625,9.2093,10.184,10.0941,DOWN,0
2005-05-06,10.095,10.1,9.2203,10.162,10.1003,UP,1
2005-05-09,10.15,10.1125,9.2299,10.146,10.104,UP,1
2005-05-10,10.1925,10.1,9.2399,10.1465,10.1095,UP,1
2005-05-11,10.3,10.2025,9.2503,10.1685,10.1143,DOWN,0
2005-05-12,10.1825,10.295,9.2596,10.184,10.1197,DOWN,0
2005-05-13,10.0075,10.2325,9.2677,10.1665,10.1201,UP,1
2005-05-16,10.055,10.025,9.2759,10.1475,10.1189,UP,1
2005-05-17,10.075,10.0075,9.284,10.124,10.1159,DOWN,0
2005-05-18,10.0275,10.1325,9.2918,10.0695,10.1126,UP,1
2005-05-19,10.075,10.0275,9.2999,10.048,10.1146,UP,1
2005-05-20,10.1075,10.12,9.3084,10.068,10.116,DOWN,0
2005-05-23,10.1025,10.125,9.3166,10.0775,10.1185,UP,1
2005-05-24,10.12,10.125,9.3252,10.0865,10.1173,DOWN,0
2005-05-25,10.0775,10.135,9.3332,10.0965,10.1149,DOWN,0
2005-05-26,10.075,10.13,9.3408,10.0965,10.1154,UP,1
2005-05-27,10.2075,10.075,9.3491,10.1165,10.117,DOWN,0
2005-05-31,10.1625,10.2225,9.3577,10.1285,10.1185,UP,1
2005-06-01,10.2175,10.1025,9.3662,10.148,10.1226,DOWN,0
2005-06-02,10.1675,10.1625,9.3745,10.166,10.1289,UP,1
2005-06-03,10.1775,10.1925,9.3825,10.1865,10.1362,UP,1
2005-06-06,10.18,10.165,9.3906,10.181,10.1423,UP,1
2005-06-07,10.1975,10.2175,9.3991,10.188,10.1489,UP,1
2005-06-08,10.2775,10.25,9.4079,10.2,10.16,DOWN,0
2005-06-09,10.1925,10.1325,9.416,10.205,10.1651,UP,1
2005-06-10,10.2475,10.1925,9.4245,10.219,10.1693,UP,1
2005-06-13,10.2725,10.2225,9.4331,10.2375,10.1741,UP,1
2005-06-14,10.31,10.3575,9.4418,10.26,10.1782,DOWN,0
2005-06-15,10.19,10.3225,9.4498,10.2425,10.1803,UP,1
2005-06-16,10.2225,10.2475,9.4577,10.2485,10.1832,UP,1
2005-06-17,10.37,10.3225,9.4665,10.273,10.1882,DOWN,0
2005-06-20,10.3175,10.315,9.4748,10.282,10.1929,DOWN,0
2005-06-21,10.26,10.3025,9.4829,10.272,10.1935,UP,1
2005-06-22,10.3925,10.315,9.4914,10.3125,10.1948,UP,1
2005-06-23,10.4425,10.3925,9.5006,10.3565,10.1986,DOWN,0
2005-06-24,10.35,10.45,9.5094,10.3525,10.2032,UP,1
2005-06-27,10.45,10.3225,9.5186,10.379,10.2125,UP,1
2005-06-28,10.5925,10.4875,9.5291,10.4455,10.2217,UP,1
2005-06-29,10.6,10.625,9.5397,10.487,10.2289,DOWN,0
2005-06-30,10.515,10.6,9.55,10.5015,10.2351,UP,1
2005-07-01,10.6725,10.56,9.5608,10.566,10.2409,UP,1
2005-07-05,10.7475,10.6725,9.5721,10.6255,10.248,DOWN,0
2005-07-06,10.545,10.7375,9.5824,10.616,10.2499,UP,1
2005-07-07,10.6725,10.5125,9.5932,10.6305,10.2587,UP,1
2005-07-08,10.835,10.72,9.605,10.6945,10.2704,UP,1
2005-07-11,10.975,10.88,9.6178,10.755,10.2864,DOWN,0
2005-07-12,10.9525,10.965,9.6302,10.796,10.3014,UP,1
2005-07-13,11.0,10.95,9.6427,10.887,10.3168,DOWN,0
2005-07-14,10.9575,11.085,9.6547,10.944,10.3321,DOWN,0
2005-07-15,10.865,10.93,9.6663,10.95,10.3456,UP,1
2005-07-18,10.885,10.8925,9.678,10.932,10.3612,DOWN,0
2005-07-19,10.8375,10.91,9.6894,10.909,10.3761,UP,1
2005-07-20,10.965,10.8,9.7015,10.902,10.3924,DOWN,0
2005-07-21,10.6925,10.95,9.7121,10.849,10.4024,UP,1
2005-07-22,10.805,10.63,9.7233,10.837,10.4125,DOWN,0
2005-07-25,10.7175,10.7875,9.7344,10.8035,10.4232,DOWN,0
2005-07-26,10.685,10.7,9.745,10.773,10.4367,DOWN,0
2005-07-27,10.6725,10.71,9.7555,10.7145,10.4491,UP,1
2005-07-28,10.79,10.6975,9.7664,10.734,10.4634,DOWN,0
2005-07-29,10.78,10.775,9.7777,10.729,10.4784,DOWN,0
2005-08-01,10.625,10.8025,9.7882,10.7105,10.4894,UP,1
2005-08-02,10.825,10.675,9.7994,10.7385,10.5038,UP,1
2005-08-03,10.8675,10.825,9.811,10.7775,10.5191,DOWN,0
2005-08-04,10.715,10.8,9.8221,10.7625,10.531,DOWN,0
2005-08-05,10.525,10.6475,9.8324,10.7115,10.5399,DOWN,0
2005-08-08,10.35,10.51,9.8418,10.6565,10.5454,UP,1
2005-08-09,10.45,10.3675,9.8511,10.5815,10.5503,DOWN,0
2005-08-10,10.37,10.51,9.86,10.482,10.5544,UP,1
2005-08-11,10.3725,10.3875,9.8683,10.4135,10.5575,UP,1
2005-08-12,10.4125,10.325,9.8769,10.391,10.5624,UP,1
2005-08-15,10.455,10.37,9.8862,10.412,10.568,DOWN,0
2005-08-16,10.2975,10.4375,9.8946,10.3815,10.5703,DOWN,0
2005-08-17,10.1825,10.23,9.9024,10.344,10.57,UP,1
2005-08-18,10.225,10.1875,9.911,10.3145,10.569,DOWN,0
2005-08-19,10.225,10.25,9.9186,10.277,10.5696,UP,1
2005-08-22,10.6025,10.285,9.9273,10.3065,10.5767,UP,1
2005-08-23,10.85,10.65,9.9375,10.417,10.5883,DOWN,0
2005-08-24,10.7025,10.785,9.9466,10.521,10.5961,UP,1
2005-08-25,10.81,10.775,9.956,10.638,10.6085,DOWN,0
2005-08-26,10.78,10.7675,9.9655,10.749,10.6197,UP,1
2005-08-29,10.875,10.6875,9.975,10.8035,10.6298,DOWN,0
2005-08-30,10.7875,10.825,9.9836,10.791,10.6392,DOWN,0
2005-08-31,10.7725,10.8,9.9922,10.805,10.6494,UP,1
2005-09-01,11.015,10.7875,10.0022,10.846,10.6619,UP,1
2005-09-02,11.0275,11.0,10.0124,10.8955,10.6736,UP,1
2005-09-06,11.24,11.09,10.0234,10.9685,10.6914,UP,1
2005-09-07,11.2575,11.2725,10.0348,11.0625,10.7075,DOWN,0
2005-09-08,11.1675,11.2125,10.0449,11.1415,10.719,UP,1
2005-09-09,11.45,11.1925,10.0566,11.2285,10.736,DOWN,0
2005-09-12,11.345,11.525,10.0678,11.292,10.7526,UP,1
2005-09-13,11.3725,11.4175,10.0792,11.3185,10.7666,UP,1
2005-09-14,11.425,11.425,10.0915,11.352,10.7802,UP,1
2005-09-15,11.4475,11.4825,10.1048,11.408,10.7982,UP,1
2005-09-16,11.5,11.5075,10.1185,11.418,10.8148,DOWN,0
2005-09-19,11.465,11.475,10.1321,11.442,10.8274,DOWN,0
2005-09-20,11.3575,11.38,10.1445,11.439,10.835,DOWN,0
2005-09-21,11.2475,11.3575,10.1557,11.4035,10.8409,DOWN,0
2005-09-22,11.1575,11.2,10.1667,11.3455,10.8441,UP,1
2005-09-23,11.3075,11.19,10.1785,11.307,10.8511,DOWN,0
2005-09-26,11.2525,11.3,10.1899,11.2645,10.8588,UP,1
2005-09-27,11.335,11.3,10.2012,11.26,10.8678,UP,1
2005-09-28,11.7,11.475,10.2136,11.3505,10.8851,UP,1
2005-09-29,11.9125,11.6125,10.2268,11.5015,10.904,DOWN,0
2005-09-30,11.9,11.875,10.2396,11.62,10.9282,UP,1
2005-10-03,11.96,11.8625,10.2527,11.7615,10.9513,DOWN,0
2005-10-04,11.725,11.875,10.2646,11.8395,10.9714,DOWN,0
2005-10-05,11.4725,11.6575,10.275,11.794,10.9872,DOWN,0
2005-10-06,11.38,11.415,10.2846,11.6875,11.0014,UP,1
2005-10-07,11.43,11.4375,10.2943,11.5935,11.0141,DOWN,0
2005-10-10,11.2825,11.415,10.3033,11.458,11.0242,UP,1
2005-10-11,11.34,11.325,10.3131,11.381,11.0385,DOWN,0
2005-10-12,11.23,11.3625,10.3221,11.3325,11.0466,DOWN,0
2005-10-13,11.0475,11.1875,10.3299,11.266,11.0502,UP,1
2005-10-14,11.0625,11.1175,10.338,11.1925,11.0572,UP,1
2005-10-17,11.125,11.0375,10.3469,11.161,11.0692,DOWN,0
2005-10-18,10.8825,11.0875,10.3552,11.0695,11.0798,DOWN,0
2005-10-19,10.855,10.8,10.3638,10.9945,11.0879,DOWN,0
2005-10-20,10.5775,10.825,10.3716,10.9005,11.0921,UP,1
2005-10-21,10.63,10.65,10.379,10.814,11.0972,UP,1
2005-10-24,10.87,10.7025,10.3877,10.763,11.1064,DOWN,0
2005-10-25,10.78,10.87,10.3958,10.7425,11.1129,DOWN,0
2005-10-26,10.65,10.78,10.4037,10.7015,11.1199,DOWN,0
2005-10-27,10.5275,10.5025,10.4108,10.6915,11.1268,UP,1
2005-10-28,10.7375,10.5875,10.4187,10.713,11.137,UP,1
2005-10-31,10.765,10.7,10.4268,10.692,11.1478,DOWN,0
2005-11-01,10.555,10.6375,10.4333,10.647,11.1469,UP,1
2005-11-02,10.565,10.505,10.44,10.63,11.1412,DOWN,0
2005-11-03,10.475,10.5875,10.446,10.6195,11.1367,UP,1
2005-11-04,10.5225,10.8125,10.452,10.5765,11.1309,DOWN,0
2005-11-07,10.34,10.56,10.4571,10.4915,11.1221,DOWN,0
2005-11-08,10.295,10.345,10.4624,10.4395,11.1105,UP,1
2005-11-09,10.42,10.3225,10.4675,10.4105,11.1032,UP,1
2005-11-10,10.4275,10.45,10.4727,10.401,11.0963,UP,1
2005-11-11,10.4425,10.4525,10.4777,10.385,11.0848,DOWN,0
2005-11-14,10.2675,10.425,10.4811,10.3705,11.0696,DOWN,0
2005-11-15,10.2075,10.25,10.4836,10.353,11.049,UP,1
2005-11-16,10.385,10.2525,10.4866,10.346,11.0315,UP,1
2005-11-17,10.6325,10.4925,10.4906,10.387,11.0208,UP,1
2005-11-18,10.7925,10.7425,10.4947,10.457,11.0076,DOWN,0
2005-11-21,10.7425,10.8,10.4989,10.552,10.9956,DOWN,0
2005-11-22,10.72,10.67,10.5026,10.6545,10.9825,UP,1
2005-11-23,10.7825,10.6625,10.5068,10.734,10.9697,UP,1
2005-11-25,10.845,10.76,10.5116,10.7765,10.9577,DOWN,0
2005-11-28,10.775,10.805,10.5163,10.773,10.9432,UP,1
2005-11-29,10.795,10.7975,10.5202,10.7835,10.9297,DOWN,0
2005-11-30,10.5975,10.8075,10.5233,10.759,10.9145,UP,1
2005-12-01,10.6475,10.65,10.5266,10.732,10.9026,DOWN,0
2005-12-02,10.6175,10.6,10.5299,10.6865,10.8918,DOWN,0
2005-12-05,10.46,10.68,10.5331,10.6235,10.8748,DOWN,0
2005-12-06,10.3925,10.4675,10.5366,10.543,10.8576,DOWN,0
2005-12-07,10.375,10.3925,10.5404,10.4985,10.8384,UP,1
2005-12-08,10.3875,10.35,10.5434,10.4465,10.8121,UP,1
2005-12-09,10.565,10.435,10.5464,10.436,10.7852,DOWN,0
2005-12-12,10.5075,10.595,10.5494,10.4455,10.7574,UP,1
2005-12-13,10.7175,10.4725,10.5526,10.5105,10.7325,UP,1
2005-12-14,10.75,10.695,10.5568,10.5855,10.713,DOWN,0
2005-12-15,10.635,10.8125,10.5601,10.635,10.6962,UP,1
2005-12-16,10.7375,10.635,10.5632,10.6695,10.6834,DOWN,0
2005-12-19,10.69,10.8,10.5655,10.706,10.6686,DOWN,0
2005-12-20,10.6125,10.6425,10.5676,10.685,10.6552,DOWN,0
2005-12-21,10.4375,10.6225,10.5699,10.6225,10.6371,DOWN,0
2005-12-22,10.34,10.4375,10.5714,10.5635,10.6193,DOWN,0
2005-12-23,10.265,10.325,10.5729,10.469,10.6037,UP,1
2005-12-27,10.285,10.265,10.5734,10.388,10.5881,UP,1
2005-12-28,10.3975,10.3375,10.5744,10.345,10.5736,UP,1
2005-12-29,10.43,10.4375,10.5763,10.3435,10.5645,DOWN,0
2005-12-30,10.39,10.41,10.5776,10.3535,10.5552,UP,1
2006-01-03,10.515,10.465,10.5797,10.4035,10.554,DOWN,0
2006-01-04,10.515,10.525,10.5822,10.4495,10.5517,UP,1
2006-01-05,10.5425,10.4625,10.5857,10.4785,10.5451,UP,1
2006-01-06,10.555,10.535,10.5894,10.5035,10.5406,DOWN,0
2006-01-09,10.51,10.525,10.5926,10.5275,10.5378,DOWN,0
2006-01-10,10.4975,10.445,10.5957,10.524,10.5372,DOWN,0
2006-01-11,10.4275,10.5175,10.5993,10.5065,10.531,DOWN,0
2006-01-12,10.385,10.4275,10.6015,10.475,10.5234,UP,1
2006-01-13,10.4225,10.43,10.6035,10.4485,10.5208,UP,1
2006-01-17,10.485,10.3925,10.6057,10.4435,10.5192,UP,1
2006-01-18,10.655,10.5025,10.6085,10.475,10.5228,UP,1
2006-01-19,10.81,10.6525,10.6121,10.5515,10.5285,DOWN,0
2006-01-20,10.69,10.8,10.6151,10.6125,10.5355,DOWN,0
