ticker,LCID US Equity,LCID US Equity,LCID US Equity,LCID US Equity,LCID US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2021-12-22,38.7,37.91,38.954,39.8985,27.1754,DOWN,0
2021-12-23,37.64,38.52,38.472,40.1995,27.2294,UP,1
2021-12-27,38.64,37.17,38.198,40.4921,27.2888,DOWN,0
2021-12-28,36.98,37.78,37.996,40.7501,27.3302,DOWN,0
2021-12-29,36.97,36.725,37.786,40.9827,27.3596,UP,1
2021-12-30,38.75,36.68,37.796,41.2631,27.4058,DOWN,0
2021-12-31,38.05,38.24,37.878,41.5393,27.4616,UP,1
2022-01-03,40.93,38.55,38.336,41.8687,27.5318,DOWN,0
2022-01-04,39.41,40.75,38.822,42.1747,27.5981,DOWN,0
2022-01-05,36.68,38.68,38.764,42.3713,27.6613,UP,1
2022-01-06,38.22,36.45,38.658,42.6081,27.7396,UP,1
2022-01-07,41.98,37.505,39.444,42.9073,27.8293,DOWN,0
2022-01-10,41.72,40.63,39.602,43.0321,27.9228,UP,1
2022-01-11,45.47,41.81,40.814,43.2017,28.0434,DOWN,0
2022-01-12,45.43,45.74,42.564,43.3797,28.153,DOWN,0
2022-01-13,41.41,45.73,43.202,43.5053,28.2442,UP,1
2022-01-14,42.22,40.975,43.25,43.6188,28.3364,DOWN,0
2022-01-18,39.21,40.68,42.748,43.6606,28.4174,UP,1
2022-01-19,40.03,39.48,41.66,43.6252,28.4953,DOWN,0
2022-01-20,38.72,41.51,40.318,43.4812,28.5748,DOWN,0
2022-01-21,37.75,39.03,39.586,43.3406,28.6477,DOWN,0
2022-01-24,37.75,36.14,38.692,43.2806,28.7216,DOWN,0
2022-01-25,35.46,36.63,37.942,43.0902,28.7888,DOWN,0
2022-01-26,33.41,36.29,36.618,42.8798,28.8454,DOWN,0
2022-01-27,28.7,33.85,34.614,42.5562,28.8802,DOWN,0
2022-01-28,27.15,28.0579,32.494,41.9888,28.9154,UP,1
2022-01-31,29.39,28.115,30.822,41.5256,28.9647,UP,1
2022-02-01,29.96,30.525,29.722,41.1838,29.0168,DOWN,0
2022-02-02,27.68,29.225,28.576,40.6332,29.063,DOWN,0
2022-02-03,26.95,26.5,28.226,40.1498,29.0983,UP,1
2022-02-04,27.55,26.98,28.306,39.652,29.1377,DOWN,0
2022-02-07,26.97,27.61,27.822,39.14,29.1698,UP,1
2022-02-08,27.43,26.8,27.316,38.6542,29.1876,UP,1
2022-02-09,28.83,27.77,27.546,38.1296,29.2181,DOWN,0
2022-02-10,27.91,27.65,27.738,37.6282,29.2424,DOWN,0
2022-02-11,25.84,27.525,27.396,37.1222,29.2613,UP,1
2022-02-14,27.44,25.812,27.49,36.7028,29.293,UP,1
2022-02-15,28.87,28.11,27.778,36.3348,29.3378,UP,1
2022-02-16,29.0,28.335,27.812,36.0176,29.387,DOWN,0
2022-02-17,28.11,28.44,27.852,35.7022,29.4316,DOWN,0
2022-02-18,26.59,27.825,28.002,35.3396,29.4698,DOWN,0
2022-02-22,25.51,25.765,27.616,35.1194,29.5009,DOWN,0
2022-02-23,23.97,25.765,26.636,34.8456,29.5276,UP,1
2022-02-24,25.28,22.012,25.892,34.5682,29.561,UP,1
2022-02-25,26.35,25.44,25.54,34.2778,29.6037,UP,1
2022-02-28,28.98,26.74,26.018,34.0412,29.6624,DOWN,0
2022-03-01,24.99,24.485,25.914,33.74,29.6976,DOWN,0
2022-03-02,24.58,24.72,26.036,33.4314,29.729,DOWN,0
2022-03-03,22.63,24.49,25.506,33.1242,29.7452,DOWN,0
