ticker,D US Equity,D US Equity,D US Equity,D US Equity,D US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2011-01-10,42.44,42.94,42.3002,43.006,42.6048,DOWN,0
2011-01-11,42.33,42.61,42.3059,42.844,42.5822,DOWN,0
2011-01-12,42.26,42.56,42.3109,42.69,42.5776,UP,1
2011-01-13,42.61,42.27,42.3184,42.574,42.5734,UP,1
2011-01-14,42.98,42.9,42.3242,42.524,42.5756,DOWN,0
2011-01-18,42.98,42.92,42.33,42.632,42.5646,DOWN,0
2011-01-19,42.97,43.0,42.3364,42.76,42.554,UP,1
2011-01-20,43.37,42.95,42.345,42.982,42.5596,DOWN,0
2011-01-21,43.35,43.39,42.3544,43.13,42.5652,UP,1
2011-01-24,43.58,43.28,42.3643,43.25,42.5772,DOWN,0
2011-01-25,43.57,43.58,42.3732,43.368,42.5918,DOWN,0
2011-01-26,43.55,43.64,42.3826,43.484,42.6056,UP,1
2011-01-27,43.79,43.47,42.3941,43.568,42.619,DOWN,0
2011-01-28,43.39,43.63,42.4039,43.576,42.631,UP,1
2011-01-31,43.54,43.48,42.4157,43.568,42.6528,UP,1
2011-02-01,43.78,43.7,42.4282,43.61,42.6724,DOWN,0
2011-02-02,43.51,43.55,42.4386,43.602,42.6874,UP,1
2011-02-03,43.69,43.42,42.4503,43.582,42.701,DOWN,0
2011-02-04,43.61,43.68,42.4616,43.626,42.7234,DOWN,0
2011-02-07,43.42,43.38,42.4698,43.602,42.7512,UP,1
2011-02-08,43.54,43.52,42.4782,43.554,42.7852,DOWN,0
2011-02-09,43.54,43.5,42.4902,43.56,42.8238,UP,1
2011-02-10,43.9,43.51,42.5026,43.602,42.8712,UP,1
2011-02-11,44.12,43.75,42.5167,43.704,42.9126,DOWN,0
2011-02-14,43.68,44.12,42.5261,43.756,42.9442,UP,1
2011-02-15,43.74,43.6,42.5325,43.796,42.9706,UP,1
2011-02-16,44.09,43.77,42.5445,43.906,43.0116,UP,1
2011-02-17,44.18,44.06,42.5565,43.962,43.0572,UP,1
2011-02-18,44.37,44.15,42.5773,44.012,43.108,DOWN,0
2011-02-22,44.29,44.08,42.5977,44.134,43.1584,UP,1
2011-02-23,44.64,44.3,42.6113,44.314,43.2188,UP,1
2011-02-24,44.74,44.64,42.626,44.444,43.2726,UP,1
2011-02-25,45.0,44.84,42.6418,44.608,43.3326,UP,1
2011-02-28,45.63,45.04,42.6622,44.86,43.4108,DOWN,0
2011-03-01,45.57,45.72,42.6851,45.116,43.476,DOWN,0
2011-03-02,44.79,44.99,42.7027,45.146,43.5204,UP,1
2011-03-03,45.53,45.13,42.7268,45.304,43.5724,UP,1
2011-03-04,45.54,45.58,42.7524,45.412,43.624,DOWN,0
2011-03-07,45.42,45.58,42.7833,45.37,43.674,UP,1
2011-03-08,46.14,45.59,42.8163,45.484,43.7376,UP,1
2011-03-09,46.34,46.0,42.8518,45.794,43.8066,DOWN,0
2011-03-10,45.66,46.0,42.8839,45.82,43.8614,DOWN,0
2011-03-11,45.51,45.49,42.9187,45.814,43.9128,DOWN,0
2011-03-14,45.16,45.14,42.9488,45.762,43.958,DOWN,0
2011-03-15,44.73,44.28,42.9776,45.48,43.9982,DOWN,0
2011-03-16,43.72,44.74,43.0033,44.956,44.0176,DOWN,0
2011-03-17,43.61,44.18,43.0227,44.546,44.027,UP,1
