ticker,AAL US Equity,AAL US Equity,AAL US Equity,AAL US Equity,AAL US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2015-06-05,41.72,42.13,42.995,47.7838,45.6527,DOWN,0
2015-06-08,39.86,41.07,42.131,47.5557,45.649,UP,1
2015-06-09,40.325,38.8,41.441,47.309,45.6531,UP,1
2015-06-10,40.43,40.21,40.901,47.0448,45.656,DOWN,0
2015-06-11,40.02,40.79,40.471,46.7896,45.659,UP,1
2015-06-12,40.705,39.84,40.268,46.5949,45.6671,DOWN,0
2015-06-15,40.07,40.35,40.31,46.4128,45.6725,DOWN,0
2015-06-16,39.48,40.13,40.141,46.2408,45.674,UP,1
2015-06-17,39.88,39.27,40.031,46.0885,45.679,UP,1
2015-06-18,39.975,39.8,40.022,45.9132,45.6764,UP,1
2015-06-19,41.56,40.3,40.193,45.7876,45.6885,UP,1
2015-06-22,43.03,42.92,40.785,45.6936,45.7113,DOWN,0
2015-06-23,42.725,42.98,41.434,45.5923,45.7357,DOWN,0
2015-06-24,42.24,42.7,41.906,45.4887,45.7557,DOWN,0
2015-06-25,42.24,42.65,42.359,45.3785,45.7771,DOWN,0
2015-06-26,41.44,42.44,42.335,45.2425,45.7914,DOWN,0
2015-06-29,39.75,40.77,41.679,45.0737,45.7997,UP,1
2015-06-30,39.935,40.2,41.121,44.8772,45.8111,DOWN,0
2015-07-01,38.8,40.65,40.433,44.626,45.8198,UP,1
2015-07-02,39.03,39.02,39.791,44.3786,45.825,UP,1
2015-07-06,39.73,39.09,39.449,44.1442,45.8364,UP,1
2015-07-07,40.675,39.93,39.634,43.9036,45.8495,DOWN,0
2015-07-08,39.31,40.3,39.509,43.6524,45.8629,UP,1
2015-07-09,39.67,39.84,39.683,43.422,45.8834,UP,1
2015-07-10,41.21,40.51,40.119,43.2686,45.9128,UP,1
2015-07-13,42.42,41.96,40.657,43.1513,45.9443,DOWN,0
2015-07-14,42.06,42.04,40.934,43.0047,45.9785,DOWN,0
2015-07-15,41.54,41.39,41.38,42.8565,46.0066,DOWN,0
2015-07-16,41.39,41.81,41.724,42.7442,46.0384,UP,1
2015-07-17,41.4,41.45,41.762,42.6313,46.068,DOWN,0
2015-07-20,40.55,41.55,41.388,42.4611,46.0988,UP,1
2015-07-21,40.9,40.5,41.156,42.2983,46.1336,UP,1
2015-07-22,41.43,40.96,41.134,42.134,46.1596,UP,1
2015-07-23,42.61,42.78,41.378,42.0092,46.198,DOWN,0
2015-07-24,39.63,43.0,41.024,41.832,46.2257,UP,1
2015-07-27,40.14,39.63,40.942,41.6585,46.2614,UP,1
2015-07-28,41.17,40.18,40.996,41.5086,46.3074,DOWN,0
2015-07-29,40.73,41.09,40.856,41.3432,46.3571,DOWN,0
2015-07-30,40.27,40.58,40.388,41.1916,46.4156,DOWN,0
2015-07-31,40.1,40.53,40.482,41.1324,46.4585,UP,1
