ticker,DDOG US Equity,DDOG US Equity,DDOG US Equity,DDOG US Equity,DDOG US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2022-03-07,130.11,144.44,149.042,152.2888,140.9499,DOWN,0
2022-03-08,127.13,129.99,142.474,151.2242,141.1408,UP,1
2022-03-09,142.83,133.15,138.144,150.4114,141.4062,DOWN,0
2022-03-10,140.16,139.63,136.484,149.6662,141.6591,DOWN,0
2022-03-11,127.02,142.43,133.45,148.6124,141.837,DOWN,0
2022-03-14,118.76,127.0,131.18,147.409,141.9693,UP,1
2022-03-15,120.94,120.355,129.942,146.2656,142.1187,UP,1
2022-03-16,132.24,123.96,127.824,145.6338,142.3205,UP,1
2022-03-17,137.74,131.29,127.34,145.2334,142.5512,UP,1
2022-03-18,145.76,136.44,131.088,145.2382,142.8366,DOWN,0
2022-03-21,140.14,142.89,135.364,145.1632,143.095,UP,1
2022-03-22,148.65,142.19,140.906,145.2604,143.3852,DOWN,0
2022-03-23,146.44,145.5,143.746,145.2626,143.655,UP,1
2022-03-24,152.21,147.94,146.64,145.3348,143.9574,DOWN,0
2022-03-25,146.84,152.0,146.856,145.345,144.2191,UP,1
2022-03-28,149.35,146.36,148.698,145.6294,144.4885,UP,1
2022-03-29,155.41,153.96,150.05,145.972,144.7793,DOWN,0
2022-03-30,149.66,153.0,150.694,146.3278,145.0446,UP,1
2022-03-31,151.47,150.73,150.546,146.739,145.3101,UP,1
2022-04-01,153.5,150.98,151.878,147.2088,145.5688,UP,1
2022-04-04,156.56,154.03,153.32,147.829,145.8353,DOWN,0
2022-04-05,146.9,156.85,151.618,148.0456,146.0581,DOWN,0
2022-04-06,137.27,142.43,149.14,148.2882,146.2217,DOWN,0
2022-04-07,137.24,136.11,146.294,148.4722,146.3753,DOWN,0
2022-04-08,134.29,134.79,142.452,148.595,146.5145,UP,1
2022-04-11,135.09,131.63,138.158,148.5576,146.6597,UP,1
2022-04-12,135.5,140.0,135.878,148.3454,146.805,UP,1
2022-04-13,142.87,134.95,136.998,148.2472,146.9833,DOWN,0
2022-04-14,136.04,142.67,136.758,148.124,147.1431,DOWN,0
2022-04-18,131.11,135.0,136.122,147.9858,147.2758,UP,1
2022-04-19,137.28,131.43,136.56,147.7262,147.4299,DOWN,0
2022-04-20,131.62,138.58,135.784,147.3062,147.5446,DOWN,0
2022-04-21,121.82,133.65,131.574,146.708,147.6171,DOWN,0
2022-04-22,118.4,123.41,128.046,145.966,147.6736,UP,1
2022-04-25,121.68,118.49,126.16,144.9076,147.7414,DOWN,0
2022-04-26,119.35,121.61,122.574,143.9466,147.7994,UP,1
2022-04-27,120.44,122.61,120.338,143.0684,147.8686,UP,1
2022-04-28,128.47,124.09,121.668,142.258,147.9876,DOWN,0
2022-04-29,120.78,126.51,122.144,141.1952,148.0741,DOWN,0
2022-05-02,120.2,119.94,121.848,140.283,148.1519,DOWN,0
2022-05-03,114.89,119.07,120.956,139.4004,148.2022,UP,1
2022-05-04,119.0,116.07,120.668,138.6016,148.2596,DOWN,0
2022-05-05,111.87,118.0,117.348,137.8502,148.277,DOWN,0
2022-05-06,110.0,109.75,115.192,136.853,148.276,DOWN,0
2022-05-09,97.53,105.1,110.658,135.5754,148.2075,UP,1
2022-05-10,98.31,101.35,107.342,134.3194,148.1501,DOWN,0
2022-05-11,97.87,96.13,103.116,133.0774,148.0914,UP,1
2022-05-12,98.83,95.5,100.508,131.7644,148.0283,UP,1
2022-05-13,108.86,103.15,100.28,130.9724,148.0164,DOWN,0
2022-05-16,97.19,106.83,100.212,130.0724,147.9489,DOWN,0
2022-05-17,95.05,100.38,99.56,129.3712,147.866,DOWN,0
2022-05-18,88.07,94.13,97.6,128.59,147.7329,UP,1
2022-05-19,96.525,89.83,97.139,127.6639,147.6409,DOWN,0
2022-05-20,94.79,98.52,94.325,126.7565,147.4525,DOWN,0
2022-05-23,93.93,94.53,93.673,126.0947,147.2625,DOWN,0
2022-05-24,85.81,91.93,91.825,125.4357,147.0416,UP,1
2022-05-25,88.73,84.69,91.957,124.7915,146.8587,UP,1
2022-05-26,89.63,83.21,90.578,123.9393,146.6658,UP,1
2022-05-27,98.07,91.02,91.234,123.1459,146.5048,DOWN,0
2022-05-31,95.39,98.16,91.526,122.1385,146.3043,UP,1
2022-06-01,97.5,96.84,93.864,121.2857,146.1242,UP,1
2022-06-02,110.08,97.39,98.134,120.5143,146.0096,DOWN,0
2022-06-03,105.44,106.82,101.296,119.6943,145.8734,DOWN,0
2022-06-06,103.16,108.38,102.314,118.7133,145.7271,UP,1
2022-06-07,108.06,101.58,104.848,117.9377,145.6116,DOWN,0
2022-06-08,107.35,106.56,106.818,117.0977,145.4859,DOWN,0
2022-06-09,103.64,107.33,105.53,116.0623,145.3267,DOWN,0
2022-06-10,96.2,100.895,103.682,114.9931,145.1295,DOWN,0
2022-06-13,86.14,90.63,100.278,113.6865,144.9037,UP,1
2022-06-14,87.11,87.45,96.088,112.3587,144.6651,UP,1
2022-06-15,89.35,86.13,92.488,111.0145,144.4287,DOWN,0
2022-06-16,81.99,85.48,88.158,109.7163,144.1496,UP,1
2022-06-17,85.63,82.31,86.044,108.6835,143.8989,UP,1
2022-06-21,90.31,88.0,86.878,107.7449,143.665,UP,1
2022-06-22,91.09,88.5,87.674,106.8809,143.4302,UP,1
2022-06-23,100.6,92.54,89.924,106.1911,143.2464,UP,1
2022-06-24,107.48,102.54,95.022,105.6307,143.0859,DOWN,0
2022-06-27,105.2,106.16,98.936,104.8773,142.9074,DOWN,0
2022-06-28,97.32,104.8,100.338,104.1029,142.7083,UP,1
2022-06-29,98.37,97.1,101.794,103.4481,142.524,DOWN,0
2022-06-30,95.24,97.08,100.722,102.6073,142.3096,UP,1
2022-07-01,101.05,95.25,99.436,101.9959,142.1193,UP,1
2022-07-05,108.38,100.92,100.072,101.7271,141.9405,DOWN,0
2022-07-06,108.03,108.85,102.214,101.5197,141.765,DOWN,0
2022-07-07,107.7,107.53,104.08,101.2401,141.5922,UP,1
2022-07-08,108.29,105.3,106.69,101.0189,141.4068,DOWN,0
2022-07-11,104.01,106.41,107.282,100.6903,141.1834,DOWN,0
2022-07-12,97.32,104.69,105.07,100.0673,140.9325,UP,1
2022-07-13,97.34,95.26,102.932,99.5985,140.6826,DOWN,0
2022-07-14,93.78,96.3,100.148,99.0701,140.4415,DOWN,0
2022-07-15,93.6,94.65,97.21,98.6443,140.2225,DOWN,0
2022-07-18,91.04,95.37,94.616,98.0851,139.987,UP,1
2022-07-19,92.96,92.85,93.744,97.7069,139.745,UP,1
2022-07-20,100.88,96.23,94.452,97.5245,139.526,UP,1
2022-07-21,101.23,100.37,95.942,97.5985,139.3466,DOWN,0
2022-07-22,93.79,100.9,95.98,97.5081,139.1061,DOWN,0
2022-07-25,90.49,94.0,95.87,97.3605,138.842,DOWN,0
2022-07-26,85.72,89.35,94.422,97.0983,138.5601,UP,1
2022-07-27,94.06,90.19,93.058,96.8023,138.3288,UP,1
2022-07-28,95.72,93.32,91.956,96.7729,138.0976,UP,1
2022-07-29,102.01,98.5,93.6,96.9121,137.8797,UP,1
2022-08-01,103.45,99.8,96.192,97.2197,137.6175,UP,1
2022-08-02,106.37,101.1,100.322,97.4166,137.3826,UP,1
2022-08-03,112.42,107.18,103.994,97.7692,137.1723,DOWN,0
2022-08-04,110.49,103.26,106.948,98.1004,136.9376,UP,1
2022-08-05,113.29,106.2,109.204,98.65,136.7144,DOWN,0
2022-08-08,112.98,113.29,111.11,99.135,136.485,DOWN,0
2022-08-09,109.76,110.95,111.788,99.5376,136.2292,UP,1
2022-08-10,117.76,116.46,112.856,99.9314,136.0061,DOWN,0
