ticker,SYK US Equity,SYK US Equity,SYK US Equity,SYK US Equity,SYK US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-10-27,22.5938,22.5313,19.3833,22.3813,21.5231,UP,1
2000-10-30,23.1875,22.7188,19.4027,22.5938,21.5375,UP,1
2000-10-31,23.5625,23.25,19.4223,22.875,21.5531,UP,1
2000-11-01,23.7188,23.625,19.4413,23.1188,21.5813,UP,1
2000-11-02,24.375,23.8125,19.4651,23.4875,21.6225,UP,1
2000-11-03,24.7813,24.6875,19.491,23.925,21.685,UP,1
2000-11-06,25.625,24.6875,19.5209,24.4125,21.7588,DOWN,0
2000-11-07,25.0,25.75,19.5496,24.7,21.8113,DOWN,0
2000-11-08,24.9375,24.75,19.5784,24.9438,21.8775,DOWN,0
2000-11-09,24.6563,24.625,19.6063,25.0,21.9256,DOWN,0
2000-11-10,24.4063,24.4688,19.6495,24.925,21.9656,DOWN,0
2000-11-13,23.75,24.125,19.6892,24.55,21.9881,UP,1
2000-11-14,24.3438,23.8125,19.7303,24.4188,22.0313,DOWN,0
2000-11-15,24.3438,24.4688,19.7705,24.3,22.0822,DOWN,0
2000-11-16,23.625,24.3438,19.8076,24.0938,22.105,UP,1
2000-11-17,24.4375,23.625,19.8475,24.1,22.1353,UP,1
2000-11-20,24.5625,24.3125,19.887,24.2625,22.1781,UP,1
2000-11-21,25.5,24.5938,19.9286,24.4938,22.2384,UP,1
2000-11-22,26.125,25.4375,19.9721,24.85,22.3184,DOWN,0
2000-11-24,25.9688,26.0938,20.0192,25.3188,22.4103,UP,1
2000-11-27,26.3125,25.9063,20.0714,25.6938,22.5203,DOWN,0
2000-11-28,25.75,25.375,20.1191,25.9313,22.6241,UP,1
2000-11-29,26.5,25.6875,20.1684,26.1313,22.7472,UP,1
2000-11-30,26.6563,26.375,20.218,26.2375,22.8772,DOWN,0
2000-12-01,26.1875,26.5313,20.2646,26.2813,23.0034,DOWN,0
2000-12-04,25.99,25.875,20.3156,26.2168,23.1245,DOWN,0
2000-12-05,25.965,26.25,20.3695,26.2598,23.2419,UP,1
2000-12-06,27.0,27.95,20.4309,26.3598,23.3897,DOWN,0
2000-12-07,25.5,26.875,20.483,26.1285,23.4875,UP,1
2000-12-08,26.255,25.8,20.5389,26.142,23.5861,DOWN,0
2000-12-11,26.125,26.5,20.597,26.169,23.6792,DOWN,0
2000-12-12,25.745,26.2,20.6526,26.125,23.7891,UP,1
2000-12-13,26.025,25.555,20.714,25.93,23.8996,DOWN,0
2000-12-14,25.745,25.75,20.7704,25.979,24.0226,DOWN,0
2000-12-15,25.625,25.95,20.826,25.853,24.1301,UP,1
2000-12-18,26.175,25.625,20.8864,25.863,24.2305,DOWN,0
2000-12-19,25.71,25.8,20.9491,25.856,24.3153,DOWN,0
2000-12-20,24.78,25.95,21.0093,25.607,24.3709,DOWN,0
2000-12-21,24.175,24.78,21.0626,25.293,24.4319,UP,1
2000-12-22,24.725,24.45,21.1196,25.113,24.5039,DOWN,0
2000-12-26,24.475,24.6,21.1746,24.773,24.5734,UP,1
2000-12-27,25.125,24.435,21.2315,24.656,24.6615,DOWN,0
2000-12-28,25.0,25.375,21.2827,24.7,24.7753,UP,1
2000-12-29,25.295,25.125,21.3287,24.924,24.8168,DOWN,0
2001-01-02,24.3,24.75,21.3727,24.839,24.8491,UP,1
2001-01-03,24.625,24.45,21.4166,24.869,24.8916,DOWN,0
2001-01-04,23.2,24.625,21.4508,24.484,24.9131,DOWN,0
2001-01-05,22.845,23.2,21.4816,24.053,24.9268,DOWN,0
2001-01-08,22.62,22.45,21.5123,23.518,24.9292,UP,1
2001-01-09,22.965,22.925,21.5449,23.251,24.9379,UP,1
2001-01-10,23.525,23.15,21.5807,23.031,24.9565,UP,1
2001-01-11,23.665,23.4,21.6153,23.124,24.9661,DOWN,0
2001-01-12,22.885,23.665,21.6486,23.132,24.9525,DOWN,0
2001-01-16,22.805,22.885,21.6803,23.169,24.9343,UP,1
2001-01-17,23.03,22.925,21.7083,23.182,24.9074,DOWN,0
2001-01-18,22.1,23.2,21.7313,22.897,24.8537,DOWN,0
2001-01-19,22.055,22.1,21.7553,22.575,24.7823,UP,1
2001-01-22,22.905,22.0,21.7839,22.579,24.7404,UP,1
2001-01-23,22.955,23.0,21.8136,22.609,24.7008,UP,1
2001-01-24,23.545,22.55,21.8464,22.712,24.6786,UP,1
2001-01-25,23.98,23.545,21.8813,23.088,24.67,UP,1
2001-01-26,24.14,23.75,21.918,23.505,24.6778,DOWN,0
2001-01-29,23.475,24.375,21.9507,23.619,24.6605,DOWN,0
2001-01-30,23.25,22.875,21.9796,23.678,24.6386,DOWN,0
2001-01-31,22.6,23.25,22.0116,23.489,24.6181,DOWN,0
2001-02-01,22.5,22.75,22.0423,23.193,24.5793,UP,1
2001-02-02,22.615,22.5,22.0702,22.888,24.5404,UP,1
2001-02-05,23.19,22.55,22.0937,22.831,24.4942,DOWN,0
2001-02-06,23.075,23.0,22.1159,22.796,24.4332,UP,1
2001-02-07,23.75,23.025,22.1445,23.026,24.3888,UP,1
2001-02-08,23.805,23.75,22.1721,23.287,24.3387,UP,1
2001-02-09,23.85,23.75,22.2011,23.534,24.3007,UP,1
2001-02-12,24.985,24.05,22.2363,23.893,24.2704,DOWN,0
2001-02-13,24.85,24.9,22.2706,24.248,24.2342,UP,1
2001-02-14,24.875,24.925,22.3047,24.473,24.208,DOWN,0
2001-02-15,24.85,25.0,22.3377,24.682,24.1852,UP,1
2001-02-16,25.0,24.75,22.3742,24.912,24.1659,UP,1
2001-02-20,25.115,24.875,22.411,24.938,24.1282,UP,1
2001-02-21,25.91,25.075,22.4506,25.15,24.1364,UP,1
2001-02-22,26.775,25.91,22.4945,25.53,24.1468,UP,1
2001-02-23,26.97,26.575,22.5394,25.954,24.1637,UP,1
2001-02-26,27.625,26.97,22.5844,26.479,24.2013,DOWN,0
2001-02-27,27.595,27.625,22.6308,26.975,24.2327,UP,1
2001-02-28,28.075,27.75,22.6801,27.408,24.2793,UP,1
2001-03-01,28.5,28.075,22.7287,27.753,24.3368,DOWN,0
2001-03-02,27.955,28.5,22.775,27.95,24.3724,UP,1
2001-03-05,28.0,27.85,22.8249,28.025,24.4182,DOWN,0
2001-03-06,27.475,27.875,22.8715,28.001,24.4721,DOWN,0
2001-03-07,26.945,27.25,22.9174,27.775,24.5275,UP,1
2001-03-08,27.81,26.995,22.9685,27.637,24.5892,UP,1
2001-03-09,27.82,27.69,23.0214,27.61,24.6561,DOWN,0
2001-03-12,26.4,27.45,23.0606,27.29,24.6816,DOWN,0
2001-03-13,26.39,26.4,23.0977,27.073,24.7094,DOWN,0
2001-03-14,26.13,26.2,23.1338,26.91,24.7261,UP,1
2001-03-15,26.5,26.18,23.1707,26.648,24.7701,DOWN,0
2001-03-16,26.385,26.125,23.208,26.361,24.8053,DOWN,0
2001-03-19,26.185,26.385,23.2448,26.318,24.865,DOWN,0
2001-03-20,25.85,26.6,23.2826,26.21,24.9251,DOWN,0
2001-03-21,25.7,25.55,23.3169,26.124,24.9867,DOWN,0
2001-03-22,24.0,25.325,23.3444,25.624,25.0074,UP,1
2001-03-23,24.85,24.005,23.378,25.317,25.0339,UP,1
2001-03-26,25.985,24.85,23.4167,25.277,25.0803,UP,1
2001-03-27,26.5,25.985,23.4573,25.407,25.1526,DOWN,0
2001-03-28,25.97,24.75,23.4964,25.461,25.2159,UP,1
2001-03-29,26.1,25.975,23.5331,25.881,25.2773,UP,1
2001-03-30,26.125,26.2,23.5636,26.136,25.3578,DOWN,0
2001-04-02,25.605,26.4,23.5874,26.06,25.4288,DOWN,0
2001-04-03,24.905,25.55,23.6052,25.741,25.4688,UP,1
2001-04-04,25.07,24.955,23.6249,25.561,25.5111,UP,1
2001-04-05,25.825,25.1,23.6445,25.506,25.5567,DOWN,0
2001-04-06,25.715,25.7,23.6684,25.424,25.5914,UP,1
2001-04-09,26.195,25.775,23.6964,25.542,25.6325,DOWN,0
