ticker,DG US Equity,DG US Equity,DG US Equity,DG US Equity,DG US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2011-04-08,31.82,32.56,32.102,29.2378,29.2747,DOWN,0
2011-04-11,31.63,31.96,32.108,29.3024,29.2874,UP,1
2011-04-12,31.81,31.6,32.024,29.3824,29.3019,DOWN,0
2011-04-13,31.73,31.9,31.9,29.44,29.3186,DOWN,0
2011-04-14,31.45,31.69,31.688,29.5164,29.3381,UP,1
2011-04-15,31.49,31.58,31.622,29.5972,29.3549,DOWN,0
2011-04-18,31.49,31.35,31.594,29.6776,29.3723,DOWN,0
2011-04-19,31.36,31.49,31.504,29.7468,29.3891,DOWN,0
2011-04-20,31.0,31.57,31.358,29.8068,29.4043,UP,1
2011-04-21,31.17,31.16,31.302,29.872,29.422,UP,1
2011-04-25,31.96,31.22,31.396,29.9582,29.4411,UP,1
2011-04-26,32.2,32.07,31.538,30.0574,29.4648,UP,1
2011-04-27,32.88,32.17,31.842,30.178,29.4907,UP,1
2011-04-28,33.05,32.82,32.252,30.3004,29.5148,DOWN,0
2011-04-29,32.59,33.18,32.536,30.3594,29.5287,UP,1
2011-05-02,33.06,32.57,32.756,30.4302,29.5486,UP,1
2011-05-03,33.18,32.98,32.952,30.5088,29.5681,DOWN,0
2011-05-04,32.72,33.06,32.92,30.5936,29.5841,DOWN,0
2011-05-05,32.51,32.72,32.812,30.6844,29.6021,UP,1
2011-05-06,32.95,32.68,32.884,30.7764,29.622,UP,1
2011-05-09,33.01,32.89,32.874,30.8766,29.6402,UP,1
2011-05-10,33.09,33.11,32.856,30.9734,29.6572,UP,1
2011-05-11,33.42,33.13,32.996,31.0762,29.6775,UP,1
2011-05-12,33.71,33.31,33.236,31.185,29.6985,DOWN,0
2011-05-13,33.39,33.65,33.324,31.2932,29.7219,UP,1
2011-05-16,33.49,33.3,33.42,31.3936,29.7434,UP,1
2011-05-17,33.62,33.43,33.526,31.508,29.764,UP,1
2011-05-18,34.06,33.76,33.654,31.6286,29.7876,DOWN,0
2011-05-19,33.61,34.21,33.634,31.7408,29.8052,UP,1
2011-05-20,33.63,33.58,33.682,31.8512,29.8254,DOWN,0
2011-05-23,32.9,33.5,33.564,31.9328,29.8427,DOWN,0
2011-05-24,32.75,33.04,33.39,32.0148,29.8581,UP,1
2011-05-25,33.16,32.7,33.21,32.1004,29.8771,UP,1
2011-05-26,33.89,33.27,33.266,32.1826,29.9044,UP,1
2011-05-27,34.66,34.0,33.472,32.2808,29.9327,UP,1
2011-05-31,35.07,34.75,33.906,32.3852,29.9642,DOWN,0
2011-06-01,31.81,32.75,33.718,32.4138,29.9779,UP,1
2011-06-02,31.97,32.01,33.48,32.4364,29.991,DOWN,0
2011-06-03,31.84,31.81,33.07,32.461,30.0032,UP,1
2011-06-06,32.25,31.69,32.588,32.4814,30.0195,UP,1
2011-06-07,32.43,32.39,32.06,32.499,30.0344,DOWN,0
2011-06-08,32.31,32.45,32.16,32.5154,30.0552,UP,1
2011-06-09,32.7,32.24,32.306,32.559,30.0786,DOWN,0
2011-06-10,32.57,32.69,32.452,32.5796,30.0992,UP,1
2011-06-13,33.02,32.79,32.606,32.613,30.1218,UP,1
2011-06-14,33.45,33.24,32.81,32.651,30.1486,DOWN,0
2011-06-15,33.36,33.22,33.02,32.6862,30.1785,DOWN,0
2011-06-16,33.18,33.36,33.116,32.7052,30.2079,UP,1
2011-06-17,33.89,33.28,33.38,32.736,30.2372,UP,1
2011-06-20,34.27,33.65,33.63,32.7712,30.2651,UP,1
2011-06-21,34.4,34.47,33.82,32.8228,30.2969,DOWN,0
2011-06-22,33.98,34.37,33.944,32.8698,30.3268,DOWN,0
2011-06-23,33.57,33.15,34.022,32.905,30.3563,DOWN,0
2011-06-24,33.44,33.59,33.932,32.9392,30.3868,DOWN,0
2011-06-27,33.09,33.28,33.696,32.972,30.415,UP,1
2011-06-28,33.46,33.37,33.508,33.0114,30.4452,DOWN,0
2011-06-29,33.42,33.26,33.396,33.05,30.4753,UP,1
2011-06-30,33.89,33.66,33.46,33.1006,30.5074,UP,1
2011-07-01,34.0,33.92,33.572,33.1606,30.539,UP,1
2011-07-05,34.09,34.1,33.772,33.219,30.5724,UP,1
2011-07-06,34.1,34.09,33.9,33.2618,30.6039,UP,1
2011-07-07,34.13,34.14,34.042,33.3004,30.6359,DOWN,0
