ticker,SBUX US Equity,SBUX US Equity,SBUX US Equity,SBUX US Equity,SBUX US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2001-02-13,6.0781,6.1953,5.0463,6.1359,5.6817,DOWN,0
2001-02-14,5.9844,6.0938,5.0569,6.0859,5.6908,UP,1
2001-02-15,6.1563,6.0156,5.0677,6.1016,5.7017,DOWN,0
2001-02-16,6.1172,6.0625,5.0784,6.1172,5.7084,DOWN,0
2001-02-20,6.0391,6.1563,5.0877,6.075,5.7142,DOWN,0
2001-02-21,5.9844,5.9922,5.0966,6.0563,5.7169,DOWN,0
2001-02-22,5.9219,6.0469,5.1056,6.0438,5.7181,UP,1
2001-02-23,5.9609,5.9219,5.1145,6.0047,5.7272,UP,1
2001-02-26,5.9766,5.9609,5.1241,5.9766,5.7344,UP,1
2001-02-27,6.0313,5.9688,5.1334,5.975,5.7448,DOWN,0
2001-02-28,5.9531,6.0469,5.1429,5.9688,5.755,DOWN,0
2001-03-01,5.9453,5.9375,5.1523,5.9734,5.7692,DOWN,0
2001-03-02,5.9375,6.0,5.1612,5.9688,5.7791,DOWN,0
2001-03-05,5.8359,5.9375,5.1701,5.9406,5.783,UP,1
2001-03-06,5.8438,5.8516,5.1801,5.9031,5.7898,DOWN,0
2001-03-07,5.7734,5.8516,5.1902,5.8672,5.793,UP,1
2001-03-08,5.9453,5.7969,5.2012,5.8672,5.7988,DOWN,0
2001-03-09,5.8906,5.9453,5.213,5.8578,5.8041,DOWN,0
2001-03-12,5.6172,5.8594,5.2217,5.8141,5.8058,DOWN,0
2001-03-13,5.5938,5.6563,5.231,5.7641,5.8067,DOWN,0
2001-03-14,5.4063,5.4688,5.2398,5.6906,5.8042,UP,1
2001-03-15,5.4609,5.4844,5.2464,5.5938,5.8083,UP,1
2001-03-16,5.4766,5.3262,5.2526,5.5109,5.8097,UP,1
2001-03-19,5.5391,5.4766,5.2587,5.4953,5.8177,DOWN,0
2001-03-20,5.4063,5.5547,5.2627,5.4578,5.8214,DOWN,0
2001-03-21,5.1172,5.4141,5.2661,5.4,5.8177,DOWN,0
2001-03-22,5.0078,5.2188,5.2677,5.3094,5.8134,UP,1
2001-03-23,5.1094,5.0938,5.2716,5.2359,5.8056,UP,1
2001-03-26,5.2031,5.1719,5.2755,5.1688,5.7989,DOWN,0
2001-03-27,5.0859,5.2656,5.2786,5.1047,5.7888,UP,1
2001-03-28,5.1484,5.0703,5.2832,5.1109,5.7797,UP,1
2001-03-29,5.2422,5.1406,5.287,5.1578,5.7725,UP,1
2001-03-30,5.3047,5.2578,5.2915,5.1969,5.765,UP,1
2001-04-02,5.375,5.3203,5.2967,5.2313,5.7567,DOWN,0
2001-04-03,5.2188,5.3438,5.301,5.2578,5.748,DOWN,0
2001-04-04,5.1172,5.1563,5.3046,5.2516,5.7344,DOWN,0
2001-04-05,5.1172,5.1953,5.308,5.2266,5.7283,DOWN,0
2001-04-06,4.6563,5.0234,5.3087,5.0969,5.7144,UP,1
2001-04-09,4.8288,4.6875,5.3104,4.9876,5.6969,UP,1
2001-04-10,5.0,4.875,5.3134,4.9439,5.6738,UP,1
2001-04-11,5.0313,5.0512,5.3159,4.9267,5.6525,DOWN,0
2001-04-12,4.7475,4.8813,5.3162,4.8527,5.6226,UP,1
2001-04-16,4.8213,4.755,5.3164,4.8858,5.5964,UP,1
2001-04-17,4.8725,4.8175,5.3171,4.8945,5.5742,UP,1
2001-04-18,5.1888,4.9262,5.3192,4.9322,5.5581,DOWN,0
2001-04-19,5.16,5.1838,5.3209,4.958,5.5366,DOWN,0
2001-04-20,5.0287,5.0738,5.3221,5.0142,5.5125,DOWN,0
2001-04-23,4.875,5.0363,5.3227,5.025,5.4884,DOWN,0
2001-04-24,4.7138,4.9188,5.3201,4.9933,5.4619,UP,1
2001-04-25,4.9662,4.7625,5.3201,4.9487,5.4362,DOWN,0
2001-04-26,4.96,5.0363,5.32,4.9087,5.4139,DOWN,0
2001-04-27,4.645,4.625,5.318,4.832,5.3871,UP,1
2001-04-30,4.8375,4.7475,5.3172,4.8245,5.3607,UP,1
2001-05-01,5.005,4.8375,5.3172,4.8828,5.3385,DOWN,0
2001-05-02,4.9275,5.03,5.3169,4.875,5.3162,DOWN,0
2001-05-03,4.7375,4.89,5.3158,4.8305,5.2913,UP,1
2001-05-04,4.7475,4.525,5.3147,4.851,5.2678,DOWN,0
2001-05-07,4.7175,4.7475,5.3133,4.827,5.2429,DOWN,0
2001-05-08,4.6475,4.815,5.3116,4.7555,5.2164,UP,1
