ticker,MA US Equity,MA US Equity,MA US Equity,MA US Equity,MA US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2007-10-08,16.236,16.3,15.9258,14.2399,12.9348,UP,1
2007-10-09,16.269,16.325,16.12,14.2361,12.9674,UP,1
2007-10-10,16.482,16.248,16.2776,14.2441,13.0019,DOWN,0
2007-10-11,16.184,16.531,16.2834,14.2678,13.0347,UP,1
2007-10-12,16.321,16.263,16.2984,14.309,13.0687,DOWN,0
2007-10-15,15.791,16.321,16.2094,14.3623,13.098,DOWN,0
2007-10-16,15.56,15.639,16.0676,14.3982,13.1263,DOWN,0
2007-10-17,15.461,15.8,15.8634,14.4189,13.1544,DOWN,0
2007-10-18,15.372,15.325,15.701,14.4303,13.183,DOWN,0
2007-10-19,15.16,15.325,15.4688,14.4509,13.2082,DOWN,0
2007-10-22,14.659,14.999,15.2424,14.4673,13.231,UP,1
2007-10-23,14.833,14.936,15.097,14.4908,13.2546,DOWN,0
2007-10-24,14.73,14.8,14.9508,14.5184,13.2754,UP,1
2007-10-25,15.138,14.701,14.904,14.563,13.2987,UP,1
2007-10-26,15.703,15.399,15.0126,14.6171,13.3245,UP,1
2007-10-29,15.735,15.91,15.2278,14.6578,13.3505,DOWN,0
2007-10-30,15.715,15.806,15.4042,14.6963,13.3761,UP,1
2007-10-31,18.991,17.75,16.2564,14.7958,13.4166,DOWN,0
2007-11-01,18.947,18.606,17.0183,14.8851,13.4601,UP,1
2007-11-02,19.004,19.175,17.6785,14.9806,13.5026,DOWN,0
2007-11-05,18.593,18.561,18.2501,15.0728,13.5417,UP,1
2007-11-06,19.94,19.246,19.0951,15.1951,13.5872,UP,1
2007-11-07,19.948,19.9,19.2865,15.3298,13.6312,DOWN,0
2007-11-08,19.144,20.002,19.3258,15.4459,13.673,UP,1
2007-11-09,19.3,18.5,19.385,15.5669,13.7153,DOWN,0
2007-11-12,18.188,19.083,19.304,15.6567,13.7513,UP,1
2007-11-13,18.881,18.342,19.0922,15.7578,13.7904,DOWN,0
2007-11-14,18.677,19.423,18.838,15.8603,13.828,DOWN,0
2007-11-15,18.488,18.5,18.7068,15.9605,13.8645,DOWN,0
2007-11-16,18.487,18.6,18.5442,16.0698,13.9014,DOWN,0
2007-11-19,18.19,18.287,18.5446,16.1742,13.9372,UP,1
2007-11-20,18.212,18.35,18.4108,16.2741,13.973,DOWN,0
2007-11-21,18.092,17.929,18.2938,16.3623,14.0075,UP,1
2007-11-23,18.11,18.36,18.2182,16.4455,14.0407,UP,1
2007-11-26,18.121,18.375,18.145,16.5322,14.0795,UP,1
2007-11-27,18.386,18.449,18.1842,16.6265,14.1204,UP,1
2007-11-28,19.56,18.669,18.4538,16.726,14.1659,UP,1
2007-11-29,19.774,19.5,18.7902,16.8225,14.2107,UP,1
2007-11-30,20.065,20.466,19.1812,16.9248,14.257,UP,1
2007-12-03,20.188,20.0,19.5946,17.0354,14.3038,DOWN,0
2007-12-04,19.579,20.0,19.8332,17.1425,14.3478,UP,1
2007-12-05,20.007,20.0,19.9226,17.2567,14.3942,UP,1
2007-12-06,20.602,20.099,20.0882,17.383,14.4442,UP,1
2007-12-07,20.96,20.662,20.2672,17.5062,14.4968,UP,1
2007-12-10,21.546,21.1,20.5388,17.6412,14.5525,UP,1
2007-12-11,21.75,21.933,20.973,17.7694,14.6097,DOWN,0
2007-12-12,21.39,22.439,21.2496,17.8913,14.6631,UP,1
2007-12-13,22.32,21.3,21.5932,18.0238,14.7215,DOWN,0
2007-12-14,21.656,22.033,21.7324,18.1338,14.7783,DOWN,0
2007-12-17,20.493,21.657,21.5218,18.2188,14.8303,DOWN,0
2007-12-18,20.177,20.85,21.2072,18.2976,14.8792,UP,1
2007-12-19,21.234,19.977,21.176,18.3969,14.9355,DOWN,0
2007-12-20,20.675,21.556,20.847,18.4807,14.9875,UP,1
2007-12-21,21.235,20.977,20.7628,18.5818,15.0425,DOWN,0
2007-12-24,21.212,21.2,20.9066,18.6796,15.0969,DOWN,0
2007-12-26,20.948,20.89,21.0608,18.7827,15.1497,UP,1
2007-12-27,21.003,20.9,21.0146,18.8916,15.202,DOWN,0
2007-12-28,21.0,21.115,21.0796,19.0024,15.2543,UP,1
2007-12-31,21.52,21.013,21.1366,19.1253,15.3093,DOWN,0
2008-01-02,21.468,21.79,21.1878,19.2515,15.3632,DOWN,0
