ticker,ABBV US Equity,ABBV US Equity,ABBV US Equity,ABBV US Equity,ABBV US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2018-10-15,89.18,90.51,91.644,94.9386,100.2445,UP,1
2018-10-16,91.91,89.78,91.112,94.8356,100.2205,UP,1
2018-10-17,92.27,91.82,90.95,94.7998,100.1898,DOWN,0
2018-10-18,89.9,91.85,90.79,94.7232,100.1396,DOWN,0
2018-10-19,87.97,89.26,90.246,94.5732,100.0825,DOWN,0
2018-10-22,84.27,88.53,89.264,94.3426,99.9983,DOWN,0
2018-10-23,82.96,82.58,87.474,94.0662,99.9157,DOWN,0
2018-10-24,79.41,82.84,84.902,93.736,99.8115,UP,1
2018-10-25,81.73,80.4,83.268,93.4216,99.7217,DOWN,0
2018-10-26,80.79,81.02,81.832,93.073,99.6293,UP,1
2018-10-29,81.36,82.15,81.25,92.724,99.5344,UP,1
2018-10-30,81.59,81.93,80.976,92.4032,99.4299,DOWN,0
2018-10-31,77.85,80.98,80.664,92.0054,99.2974,UP,1
2018-11-01,80.21,77.71,80.36,91.6568,99.1794,DOWN,0
2018-11-02,79.56,84.18,80.114,91.305,99.054,UP,1
2018-11-05,82.58,79.45,80.358,91.0086,98.9344,UP,1
2018-11-06,83.66,82.73,80.772,90.7214,98.8258,UP,1
2018-11-07,86.96,84.15,82.594,90.5154,98.7331,UP,1
2018-11-08,87.73,87.13,84.098,90.3184,98.6302,UP,1
2018-11-09,88.79,87.83,85.944,90.1584,98.4581,UP,1
2018-11-12,89.69,88.75,87.366,90.0326,98.295,DOWN,0
2018-11-13,88.22,90.0,88.278,89.9058,98.1567,UP,1
2018-11-14,88.31,89.05,88.548,89.7682,98.0372,UP,1
2018-11-15,90.14,87.63,89.03,89.6962,97.9062,UP,1
2018-11-16,91.53,89.73,89.578,89.6434,97.788,DOWN,0
2018-11-19,89.48,91.29,89.536,89.5566,97.6878,DOWN,0
2018-11-20,88.09,89.0,89.51,89.4548,97.5723,DOWN,0
2018-11-21,86.15,88.5,89.078,89.313,97.4349,DOWN,0
2018-11-23,85.63,85.6,88.176,89.099,97.3207,UP,1
2018-11-26,86.24,86.39,87.118,88.9102,97.1954,UP,1
2018-11-27,87.68,86.22,86.758,88.7564,97.0741,UP,1
2018-11-28,88.94,88.04,86.928,88.683,96.9595,UP,1
2018-11-29,89.91,89.01,87.68,88.6608,96.8437,UP,1
2018-11-30,94.27,90.26,89.408,88.6926,96.7405,DOWN,0
2018-12-03,93.66,94.3184,90.892,88.7206,96.6158,DOWN,0
2018-12-04,90.55,93.916,91.466,88.6632,96.4787,DOWN,0
2018-12-06,90.33,89.7,91.744,88.5942,96.3408,DOWN,0
2018-12-07,86.96,89.93,91.154,88.4498,96.1878,UP,1
2018-12-10,87.61,86.67,89.822,88.3192,96.0321,UP,1
2018-12-11,88.17,88.62,88.724,88.191,95.8652,UP,1
2018-12-12,88.6,89.32,88.334,88.063,95.7169,DOWN,0
2018-12-13,87.71,89.37,87.81,87.9326,95.5763,DOWN,0
2018-12-14,85.61,86.8,87.54,87.7246,95.4352,DOWN,0
2018-12-17,84.93,85.07,87.004,87.5464,95.2846,DOWN,0
2018-12-18,83.58,85.46,86.086,87.3304,95.1242,DOWN,0
