ticker,ODFL US Equity,ODFL US Equity,ODFL US Equity,ODFL US Equity,ODFL US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2007-02-07,9.52,9.4519,8.9933,9.4341,7.947,DOWN,0
2007-02-08,9.3541,9.5437,8.9966,9.3938,7.9693,DOWN,0
2007-02-09,9.277,9.3689,8.9981,9.3707,7.9936,DOWN,0
2007-02-12,9.1822,9.2385,8.9992,9.3618,8.0151,UP,1
2007-02-13,9.3452,9.1585,8.9995,9.3357,8.047,UP,1
2007-02-14,9.7422,9.3333,9.0005,9.3801,8.083,UP,1
2007-02-15,9.7481,9.7096,9.001,9.459,8.1182,DOWN,0
2007-02-16,9.597,9.7481,9.0015,9.523,8.1483,UP,1
2007-02-20,9.7926,9.5644,9.0023,9.645,8.1847,UP,1
2007-02-21,9.9289,9.7778,9.0017,9.7618,8.2239,DOWN,0
2007-02-22,9.8104,9.9556,9.0002,9.7754,8.2608,UP,1
2007-02-23,9.8756,9.7689,9.0001,9.8009,8.3026,DOWN,0
2007-02-26,9.603,9.8756,8.9989,9.8021,8.3359,DOWN,0
2007-02-27,9.2356,9.4892,8.9955,9.6907,8.3693,DOWN,0
2007-02-28,9.2178,9.203,8.9918,9.5484,8.4031,DOWN,0
2007-03-01,9.1289,9.1852,8.9901,9.4121,8.4306,DOWN,0
2007-03-02,8.9067,9.0667,8.9876,9.2184,8.4583,DOWN,0
2007-03-05,8.6222,8.8741,8.9847,9.0222,8.4831,DOWN,0
2007-03-06,8.6104,8.7289,8.9823,8.8972,8.5057,DOWN,0
2007-03-07,8.5659,8.5867,8.9794,8.7668,8.5288,UP,1
2007-03-08,8.6607,8.6459,8.9762,8.6732,8.5567,UP,1
2007-03-09,8.6963,8.7022,8.9715,8.6311,8.5854,UP,1
2007-03-12,8.7141,8.7111,8.9681,8.6495,8.6122,DOWN,0
2007-03-13,8.3704,8.6667,8.9636,8.6015,8.633,UP,1
2007-03-14,8.4978,8.3644,8.9593,8.5879,8.6587,UP,1
2007-03-15,8.5689,8.5067,8.9548,8.5695,8.6875,DOWN,0
2007-03-16,8.3526,8.5585,8.9517,8.5007,8.7016,DOWN,0
2007-03-19,8.2044,8.3911,8.9471,8.3988,8.7065,UP,1
2007-03-20,8.5215,8.1689,8.9422,8.429,8.7233,UP,1
2007-03-21,8.64,8.5007,8.9375,8.4575,8.7425,DOWN,0
2007-03-22,8.6222,8.6341,8.9348,8.4681,8.7609,UP,1
2007-03-23,8.8296,8.6074,8.9333,8.5636,8.7823,DOWN,0
2007-03-26,8.7556,8.8415,8.9309,8.6738,8.7998,DOWN,0
2007-03-27,8.6607,8.7111,8.9293,8.7016,8.8111,DOWN,0
2007-03-28,8.5156,8.5807,8.926,8.6767,8.8184,DOWN,0
2007-03-29,8.4889,8.5867,8.9247,8.6501,8.8278,UP,1
2007-03-30,8.5363,8.4948,8.9241,8.5914,8.8379,UP,1
2007-04-02,8.5689,8.5363,8.9232,8.5541,8.8495,UP,1
2007-04-03,8.6785,8.5896,8.9213,8.5576,8.8671,DOWN,0
2007-04-04,8.4296,8.6519,8.9178,8.5404,8.8789,UP,1
2007-04-05,8.563,8.4119,8.9145,8.5553,8.8924,UP,1
2007-04-09,8.5719,8.5689,8.9109,8.5624,8.9079,DOWN,0
2007-04-10,8.563,8.557,8.905,8.5612,8.9231,DOWN,0
2007-04-11,8.3496,8.2607,8.8982,8.4954,8.9312,UP,1
2007-04-12,8.6193,8.2963,8.8891,8.5333,8.9385,DOWN,0
2007-04-13,8.5333,8.5867,8.8784,8.5274,8.9445,UP,1
2007-04-16,8.8148,8.5689,8.8716,8.576,8.9297,UP,1
2007-04-17,8.9333,8.8267,8.8645,8.6501,8.9205,DOWN,0
2007-04-18,8.9007,8.8919,8.8548,8.7603,8.914,UP,1
2007-04-19,9.0637,8.7911,8.8445,8.8492,8.9058,UP,1
2007-04-20,9.4489,9.1585,8.8343,9.0323,8.9044,UP,1
2007-04-23,9.4785,9.4578,8.8256,9.165,8.9068,UP,1
2007-04-24,9.5763,9.4578,8.8184,9.2936,8.9128,UP,1
2007-04-25,9.84,9.763,8.8138,9.4815,8.926,DOWN,0
2007-04-26,9.2474,9.4696,8.8066,9.5182,8.924,DOWN,0
2007-04-27,9.0637,9.1585,8.7984,9.4412,8.9105,DOWN,0
2007-04-30,8.7585,9.0667,8.7896,9.2972,8.8907,DOWN,0
2007-05-01,8.5037,8.7437,8.7823,9.0827,8.8688,UP,1
2007-05-02,8.7881,8.5126,8.7775,8.8723,8.8487,UP,1
2007-05-03,8.9541,8.8,8.7736,8.8136,8.8292,UP,1
2007-05-04,8.9748,8.957,8.7677,8.7959,8.8125,DOWN,0
2007-05-07,8.9007,8.9867,8.7597,8.8243,8.793,UP,1
2007-05-08,9.0548,8.8474,8.7567,8.9345,8.782,DOWN,0
2007-05-09,9.0104,9.0104,8.7544,8.979,8.7775,DOWN,0
2007-05-10,8.8,8.9333,8.7489,8.9481,8.7692,UP,1
2007-05-11,8.8593,8.8444,8.7445,8.925,8.7638,DOWN,0
2007-05-14,8.6844,8.8889,8.7423,8.8818,8.7593,UP,1
2007-05-15,8.7615,8.6548,8.7407,8.8231,8.7621,UP,1
2007-05-16,8.9896,8.7822,8.7378,8.819,8.7697,DOWN,0
2007-05-17,8.9807,9.0015,8.7344,8.8551,8.778,UP,1
2007-05-18,9.1733,9.0074,8.7329,8.9179,8.7883,UP,1
2007-05-21,9.2563,9.1704,8.7319,9.0323,8.7995,UP,1
2007-05-22,9.3244,9.283,8.7296,9.1449,8.8117,DOWN,0
2007-05-23,9.3156,9.2889,8.7281,9.2101,8.8306,DOWN,0
2007-05-24,9.0548,9.2919,8.7265,9.2249,8.8417,DOWN,0
2007-05-25,8.9926,9.0756,8.7254,9.1887,8.8502,DOWN,0
2007-05-29,8.9837,8.9956,8.7259,9.1342,8.8628,UP,1
2007-05-30,9.2178,8.9037,8.7263,9.1129,8.8831,UP,1
2007-05-31,9.2533,9.2415,8.7283,9.1004,8.8977,DOWN,0
2007-06-01,9.2533,9.2919,8.7293,9.1401,8.91,DOWN,0
2007-06-04,9.1704,9.2326,8.7271,9.1757,8.9209,DOWN,0
2007-06-05,9.1319,9.1437,8.7231,9.2053,8.927,DOWN,0
2007-06-06,8.963,9.0607,8.7182,9.1544,8.9311,DOWN,0
2007-06-07,8.6578,8.8919,8.7132,9.0353,8.9311,UP,1
2007-06-08,8.8741,8.6341,8.7109,8.9594,8.9383,DOWN,0
