ticker,UNH US Equity,UNH US Equity,UNH US Equity,UNH US Equity,UNH US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2007-03-22,55.69,55.34,49.9429,54.45,53.0408,UP,1
2007-03-23,56.51,55.46,49.9945,55.126,53.1144,UP,1
2007-03-26,56.88,56.47,50.0475,55.642,53.163,DOWN,0
2007-03-27,55.85,56.0,50.0955,55.992,53.178,DOWN,0
2007-03-28,54.81,55.98,50.1407,55.948,53.1592,DOWN,0
2007-03-29,52.84,53.74,50.1791,55.378,53.103,UP,1
2007-03-30,52.97,52.84,50.2168,54.67,53.0864,UP,1
2007-04-02,53.73,53.4,50.2606,54.04,53.097,UP,1
2007-04-03,54.61,54.08,50.3099,53.792,53.1454,UP,1
2007-04-04,55.06,54.61,50.3637,53.842,53.2172,UP,1
2007-04-05,55.33,54.82,50.4229,54.34,53.2878,DOWN,0
2007-04-09,54.88,55.15,50.4787,54.722,53.3434,DOWN,0
2007-04-10,54.24,54.85,50.5296,54.824,53.3974,DOWN,0
2007-04-11,53.14,53.87,50.5731,54.53,53.4256,DOWN,0
2007-04-12,53.12,52.91,50.6126,54.142,53.4438,DOWN,0
2007-04-13,52.95,53.35,50.6526,53.666,53.4576,UP,1
2007-04-16,53.85,52.96,50.7008,53.46,53.4786,UP,1
2007-04-17,54.62,54.8,50.7517,53.536,53.5128,DOWN,0
2007-04-18,54.21,54.22,50.7977,53.75,53.5504,DOWN,0
2007-04-19,52.05,51.5,50.8341,53.536,53.5716,UP,1
2007-04-20,53.2,52.49,50.875,53.586,53.6106,UP,1
2007-04-23,53.95,53.2,50.9192,53.606,53.6648,UP,1
2007-04-24,54.23,53.9,50.9662,53.528,53.7318,DOWN,0
2007-04-25,52.94,53.25,51.004,53.274,53.7582,DOWN,0
2007-04-26,52.71,53.1,51.0334,53.406,53.7802,UP,1
2007-04-27,53.15,52.72,51.0587,53.396,53.8104,DOWN,0
2007-04-30,53.06,53.56,51.0837,53.218,53.7994,DOWN,0
2007-05-01,52.75,52.92,51.1074,52.922,53.7754,UP,1
2007-05-02,53.79,53.1,51.1386,53.092,53.7748,DOWN,0
2007-05-03,53.19,53.95,51.1663,53.188,53.768,UP,1
2007-05-04,53.57,53.15,51.1922,53.272,53.765,DOWN,0
2007-05-07,53.25,53.59,51.2038,53.31,53.7694,DOWN,0
2007-05-08,53.11,53.0,51.2183,53.382,53.7674,DOWN,0
2007-05-09,53.09,52.83,51.2337,53.242,53.795,DOWN,0
2007-05-10,53.02,52.76,51.2448,53.208,53.8118,UP,1
2007-05-11,53.59,53.03,51.2553,53.212,53.8288,DOWN,0
2007-05-14,52.83,53.46,51.2668,53.128,53.8018,DOWN,0
2007-05-15,52.68,53.02,51.2829,53.042,53.7962,UP,1
2007-05-16,53.8,52.85,51.3127,53.184,53.7926,DOWN,0
2007-05-17,53.65,53.57,51.3418,53.31,53.7896,DOWN,0
