ticker,HII US Equity,HII US Equity,HII US Equity,HII US Equity,HII US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2020-11-03,156.9,152.28,147.662,147.2868,182.405,DOWN,0
2020-11-04,150.72,157.89,149.514,147.1224,181.7799,UP,1
2020-11-05,151.81,151.99,151.282,147.0808,181.1535,UP,1
2020-11-06,152.72,151.5,152.33,147.0664,180.5347,UP,1
2020-11-09,155.97,160.0,153.624,147.1366,179.944,UP,1
2020-11-10,161.54,157.2,154.552,147.337,179.3802,DOWN,0
2020-11-11,158.04,161.53,156.016,147.4912,178.8487,UP,1
2020-11-12,158.53,157.16,157.36,147.6348,178.3123,UP,1
2020-11-13,164.01,160.14,159.618,147.9126,177.8274,DOWN,0
2020-11-16,163.26,165.27,161.076,148.2276,177.3369,DOWN,0
2020-11-17,162.82,162.01,161.332,148.6488,176.8257,UP,1
2020-11-18,163.02,164.74,162.328,149.0822,176.293,DOWN,0
2020-11-19,162.21,162.26,163.064,149.5698,175.7632,DOWN,0
2020-11-20,158.74,162.2,162.01,149.7966,175.2112,UP,1
2020-11-23,165.11,160.1,162.38,150.1618,174.6921,UP,1
2020-11-24,170.87,166.82,163.99,150.6738,174.2061,DOWN,0
2020-11-25,165.53,169.13,164.492,151.0256,173.6834,DOWN,0
2020-11-27,164.53,165.63,164.956,151.3044,173.2542,DOWN,0
2020-11-30,160.19,163.2,165.246,151.5246,172.8241,UP,1
2020-12-01,164.42,162.95,165.108,151.935,172.4587,DOWN,0
2020-12-02,163.17,162.69,163.568,152.3262,172.0961,UP,1
2020-12-03,163.73,164.04,163.208,152.8122,171.7276,UP,1
2020-12-04,167.69,164.12,163.84,153.3762,171.386,UP,1
2020-12-07,170.04,167.4,165.81,153.9526,171.062,UP,1
2020-12-08,171.59,169.24,167.244,154.5218,170.8058,UP,1
2020-12-09,173.44,172.84,169.298,155.1664,170.5742,UP,1
2020-12-10,174.46,171.54,171.444,155.8406,170.3703,UP,1
2020-12-11,177.7,173.97,173.446,156.595,170.2311,DOWN,0
2020-12-14,174.98,179.0,174.434,157.212,170.0578,UP,1
2020-12-15,176.07,175.4,175.33,157.807,169.9002,DOWN,0
2020-12-16,174.62,176.45,175.566,158.3568,169.6756,DOWN,0
2020-12-17,170.47,174.63,174.768,158.8074,169.4795,DOWN,0
2020-12-18,169.62,170.56,173.152,159.207,169.3061,DOWN,0
2020-12-21,165.27,166.87,171.21,159.5128,169.1582,DOWN,0
2020-12-22,163.63,164.99,168.722,159.7964,168.9294,UP,1
2020-12-23,166.55,164.56,167.108,160.1582,168.7725,DOWN,0
2020-12-24,165.4,166.6,166.094,160.4356,168.7162,UP,1
2020-12-28,166.89,166.37,165.548,160.8224,168.6576,DOWN,0
2020-12-29,166.58,167.96,165.81,161.194,168.7071,UP,1
2020-12-30,168.54,166.61,166.792,161.6256,168.7443,UP,1
2020-12-31,170.48,168.04,167.578,162.0812,168.7349,DOWN,0
2021-01-04,164.05,169.64,167.308,162.3718,168.7078,UP,1
2021-01-05,165.56,164.18,167.042,162.6384,168.739,UP,1
2021-01-06,170.98,163.22,167.922,163.0016,168.8241,DOWN,0
2021-01-07,169.74,171.65,168.162,163.4022,168.8459,DOWN,0
2021-01-08,169.09,170.96,167.884,163.8538,168.8041,UP,1
2021-01-11,169.2,167.76,168.914,164.4086,168.6737,UP,1
2021-01-12,172.21,169.8,170.244,164.9934,168.6068,DOWN,0
2021-01-13,171.3,171.59,170.308,165.4698,168.5156,UP,1
2021-01-14,172.02,172.61,170.764,165.9202,168.4646,DOWN,0
2021-01-15,171.47,171.25,171.24,166.2116,168.4563,DOWN,0
