ticker,CL US Equity,CL US Equity,CL US Equity,CL US Equity,CL US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2001-06-08,29.435,29.35,27.8562,29.173,27.8474,DOWN,0
2001-06-11,29.41,29.44,27.8706,29.309,27.8936,UP,1
2001-06-12,29.415,29.45,27.8856,29.372,27.9293,DOWN,0
2001-06-13,28.95,29.15,27.8978,29.317,27.9598,DOWN,0
2001-06-14,28.855,28.925,27.9106,29.213,28.0029,UP,1
2001-06-15,28.95,28.86,27.9258,29.116,28.0414,UP,1
2001-06-18,28.955,28.95,27.9421,29.025,28.0655,UP,1
2001-06-19,29.09,28.95,27.9602,28.96,28.1098,UP,1
2001-06-20,29.6,28.975,27.9787,29.09,28.1808,UP,1
2001-06-21,30.5,29.7,28.0009,29.419,28.2753,DOWN,0
2001-06-22,29.675,30.2,28.0127,29.564,28.3562,DOWN,0
2001-06-25,29.45,29.725,28.0267,29.663,28.4132,UP,1
2001-06-26,30.35,29.3,28.0433,29.915,28.4867,DOWN,0
2001-06-27,30.3,30.25,28.0573,30.055,28.564,UP,1
2001-06-28,30.475,30.375,28.0706,30.05,28.656,DOWN,0
