ticker,MCK US Equity,MCK US Equity,MCK US Equity,MCK US Equity,MCK US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-09-26,30.5,30.25,21.6578,30.0375,25.7916,DOWN,0
2000-09-27,30.125,30.5,21.7059,30.0875,25.8916,UP,1
2000-09-28,30.5,30.063,21.7562,30.225,26.0029,UP,1
2000-09-29,30.563,30.0,21.8056,30.4125,26.1066,UP,1
2000-10-02,31.563,30.563,21.8628,30.65,26.2279,UP,1
2000-10-03,32.563,31.813,21.9215,31.0625,26.3416,UP,1
2000-10-04,33.063,32.875,21.9849,31.65,26.4904,UP,1
2000-10-05,33.188,32.875,22.0481,32.1875,26.6641,DOWN,0
2000-10-06,32.25,33.063,22.1059,32.525,26.8154,DOWN,0
2000-10-09,32.0,32.25,22.1612,32.6125,26.9666,DOWN,0
2000-10-10,31.938,32.125,22.2174,32.4875,27.1179,DOWN,0
2000-10-11,31.563,31.75,22.2653,32.1875,27.2566,DOWN,0
2000-10-12,31.063,31.563,22.3087,31.7625,27.3966,DOWN,0
2000-10-13,30.0,30.813,22.3431,31.3125,27.5166,UP,1
2000-10-16,30.5,30.0,22.3831,31.0125,27.6479,DOWN,0
2000-10-17,30.25,30.313,22.4171,30.675,27.7704,UP,1
2000-10-18,30.5,30.125,22.4599,30.4625,27.8879,DOWN,0
2000-10-19,30.0,30.625,22.499,30.25,28.0104,DOWN,0
2000-10-20,30.0,30.0,22.5303,30.25,28.1329,DOWN,0
2000-10-23,29.625,29.875,22.5609,30.075,28.2341,DOWN,0
2000-10-24,25.313,26.5,22.5674,29.0875,28.2379,UP,1
2000-10-25,26.313,26.0,22.564,28.25,28.2679,UP,1
2000-10-26,27.375,26.125,22.5712,27.725,28.3179,UP,1
2000-10-27,28.438,28.0,22.5815,27.4125,28.3841,DOWN,0
2000-10-30,28.25,28.25,22.5909,27.1375,28.4491,DOWN,0
2000-10-31,28.063,28.313,22.5971,27.6875,28.5091,UP,1
2000-11-01,30.375,27.875,22.6181,28.5,28.6066,UP,1
2000-11-02,32.813,32.25,22.6559,29.5875,28.7604,UP,1
2000-11-03,33.313,33.0,22.6968,30.5625,28.9129,DOWN,0
2000-11-06,32.75,33.5,22.7362,31.4625,29.0554,UP,1
2000-11-07,32.813,33.0,22.7903,32.4125,29.2091,UP,1
2000-11-08,34.625,32.938,22.8549,33.2625,29.3991,UP,1
2000-11-09,34.813,34.875,22.9246,33.6625,29.5941,DOWN,0
2000-11-10,34.688,34.563,22.9974,33.9375,29.7888,DOWN,0
2000-11-13,33.813,34.625,23.0637,34.15,29.9688,UP,1
2000-11-14,34.125,33.625,23.1299,34.4125,30.1538,UP,1
2000-11-15,35.188,34.063,23.204,34.525,30.36,DOWN,0
2000-11-16,34.0,35.188,23.2712,34.3625,30.5313,DOWN,0
2000-11-17,31.375,31.75,23.3256,33.7,30.6413,UP,1
2000-11-20,31.5,31.375,23.3815,33.2375,30.7725,UP,1
2000-11-21,32.625,31.75,23.4428,32.9375,30.91,DOWN,0
2000-11-22,32.375,32.375,23.5028,32.375,30.9975,DOWN,0
2000-11-24,32.125,32.125,23.5678,32.0,31.0738,UP,1
2000-11-27,32.938,32.0,23.6381,32.3125,31.1725,UP,1
2000-11-28,33.063,32.938,23.7087,32.625,31.2813,DOWN,0
2000-11-29,32.875,32.5,23.7799,32.675,31.3475,DOWN,0
2000-11-30,32.875,32.938,23.8443,32.775,31.4075,UP,1
2000-12-01,33.5,32.875,23.9118,33.05,31.4813,DOWN,0
2000-12-04,33.5,33.5,23.9796,33.1625,31.5588,DOWN,0
2000-12-05,33.18,33.51,24.0468,33.186,31.6149,DOWN,0
2000-12-06,32.6,33.0,24.1142,33.131,31.6569,UP,1
