ticker,CLX US Equity,CLX US Equity,CLX US Equity,CLX US Equity,CLX US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2001-03-02,35.16,34.85,39.1413,35.642,34.2658,DOWN,0
2001-03-05,34.8,34.75,39.1175,35.424,34.3318,DOWN,0
2001-03-06,34.7,34.55,39.087,35.13,34.4046,DOWN,0
2001-03-07,34.68,34.65,39.0657,34.874,34.4557,UP,1
2001-03-08,35.12,34.68,39.0432,34.892,34.5218,DOWN,0
2001-03-09,33.33,33.75,39.0167,34.526,34.5584,DOWN,0
2001-03-12,32.02,33.3,38.9777,33.97,34.5526,DOWN,0
2001-03-13,31.49,32.02,38.9442,33.328,34.5136,UP,1
2001-03-14,33.03,31.5,38.9194,32.998,34.4642,DOWN,0
2001-03-15,32.44,33.75,38.8875,32.462,34.4243,DOWN,0
2001-03-16,32.31,32.0,38.8509,32.258,34.4005,UP,1
2001-03-19,32.35,32.2,38.8102,32.324,34.4075,DOWN,0
2001-03-20,32.0,32.35,38.7608,32.426,34.4025,DOWN,0
2001-03-21,31.92,31.99,38.7157,32.204,34.3771,DOWN,0
2001-03-22,31.55,31.9,38.6666,32.026,34.3431,DOWN,0
2001-03-23,31.08,31.05,38.6129,31.78,34.2847,UP,1
2001-03-26,31.1,30.95,38.5625,31.53,34.253,UP,1
2001-03-27,32.14,31.2,38.521,31.558,34.2258,DOWN,0
2001-03-28,31.51,31.5,38.4761,31.476,34.1947,DOWN,0
2001-03-29,31.27,31.55,38.4149,31.42,34.1614,UP,1
2001-03-30,31.45,31.59,38.3487,31.494,34.1241,UP,1
2001-04-02,31.48,31.5,38.2721,31.57,34.0837,DOWN,0
2001-04-03,30.75,31.0,38.2018,31.292,34.0212,UP,1
2001-04-04,31.4,30.65,38.1359,31.27,33.9742,UP,1
2001-04-05,31.69,31.3,38.076,31.354,33.9455,DOWN,0
2001-04-06,31.12,31.69,38.0125,31.288,33.9004,DOWN,0
2001-04-09,30.91,31.62,37.9511,31.174,33.8624,UP,1
2001-04-10,31.12,30.66,37.893,31.248,33.8286,UP,1
2001-04-11,32.04,31.02,37.8303,31.376,33.8064,UP,1
2001-04-12,32.2,32.03,37.7629,31.478,33.7754,UP,1
2001-04-16,32.58,32.5,37.6978,31.77,33.712,DOWN,0
2001-04-17,31.95,30.8,37.6407,31.978,33.6556,DOWN,0
2001-04-18,31.78,31.1,37.5755,32.11,33.5874,DOWN,0
2001-04-19,31.53,31.69,37.5038,32.008,33.512,UP,1
2001-04-20,31.88,31.53,37.4366,31.944,33.4206,DOWN,0
2001-04-23,31.75,31.9,37.3719,31.778,33.3144,DOWN,0
2001-04-24,30.9,31.55,37.3021,31.568,33.2084,UP,1
2001-04-25,31.28,31.05,37.2381,31.468,33.1086,UP,1
2001-04-26,31.5,30.97,37.1806,31.462,33.0128,UP,1
