ticker,ROST US Equity,ROST US Equity,ROST US Equity,ROST US Equity,ROST US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2012-11-09,27.61,27.705,30.9373,28.233,31.9661,DOWN,0
2012-11-12,27.595,27.625,30.9462,27.969,31.8182,UP,1
2012-11-13,28.29,27.565,30.9599,27.892,31.6899,DOWN,0
2012-11-14,27.5675,28.395,30.971,27.7795,31.5493,DOWN,0
2012-11-15,27.22,26.915,30.9801,27.6565,31.399,DOWN,0
2012-11-16,26.87,26.985,30.9863,27.5085,31.2537,UP,1
2012-11-19,27.775,27.055,30.9972,27.5445,31.1167,DOWN,0
2012-11-20,27.66,27.76,31.0061,27.4185,30.9886,UP,1
2012-11-21,27.795,27.74,31.0168,27.464,30.8757,UP,1
2012-11-23,27.955,27.99,31.0267,27.611,30.7721,UP,1
2012-11-26,28.42,27.955,31.0397,27.921,30.6736,UP,1
2012-11-27,28.525,28.7,31.0526,28.071,30.5657,UP,1
2012-11-28,28.785,28.535,31.0667,28.296,30.461,DOWN,0
2012-11-29,28.785,28.775,31.0808,28.494,30.3632,DOWN,0
2012-11-30,28.538,28.81,31.0937,28.6106,30.2763,DOWN,0
2012-12-03,28.185,28.705,31.1066,28.5636,30.183,DOWN,0
2012-12-04,27.705,28.24,31.1161,28.3996,30.0665,DOWN,0
2012-12-05,27.6752,27.86,31.1249,28.1776,29.9609,DOWN,0
2012-12-06,27.61,27.58,31.1329,27.9426,29.8546,UP,1
2012-12-07,27.745,27.69,31.1392,27.784,29.7622,DOWN,0
2012-12-10,27.64,27.81,31.1457,27.675,29.6673,DOWN,0
2012-12-11,27.35,27.78,31.1505,27.604,29.5652,DOWN,0
2012-12-12,27.205,27.385,31.1538,27.51,29.4634,DOWN,0
2012-12-13,26.77,27.205,31.1537,27.342,29.3373,DOWN,0
2012-12-14,26.6,26.665,31.1533,27.113,29.2099,UP,1
2012-12-17,27.33,26.645,31.1544,27.051,29.0896,DOWN,0
2012-12-18,27.205,27.43,31.1556,27.022,28.9797,DOWN,0
2012-12-19,26.8974,27.13,31.1528,26.9605,28.8567,DOWN,0
2012-12-20,26.63,27.025,31.1491,26.9325,28.7366,UP,1
2012-12-21,26.965,26.295,31.1466,27.0055,28.6381,DOWN,0
2012-12-24,26.885,26.87,31.1426,26.9165,28.534,DOWN,0
2012-12-26,26.195,26.85,31.1337,26.7145,28.4362,UP,1
2012-12-27,26.57,26.25,31.125,26.649,28.3503,UP,1
2012-12-28,26.605,26.455,31.1156,26.644,28.2596,UP,1
2012-12-31,27.045,26.475,31.1094,26.66,28.1702,UP,1
2013-01-02,27.22,27.135,31.1047,26.727,28.0965,UP,1
2013-01-03,29.39,28.365,31.1121,27.366,28.0581,DOWN,0
