ticker,FTV US Equity,FTV US Equity,FTV US Equity,FTV US Equity,FTV US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2017-03-02,49.0244,49.2585,48.603,46.4365,,UP,1
2017-03-03,49.108,49.0077,48.7602,46.4995,,DOWN,0
2017-03-06,48.7736,48.7652,48.8739,46.5544,,DOWN,0
2017-03-07,48.6649,48.807,48.9659,46.6226,,DOWN,0
2017-03-08,48.6398,48.6732,48.8421,46.6908,,DOWN,0
2017-03-09,48.5144,48.5645,48.7401,46.7495,,UP,1
2017-03-10,48.7568,48.7318,48.6699,46.8139,,UP,1
2017-03-13,49.1415,48.8739,48.7435,46.8979,,DOWN,0
2017-03-14,48.9575,48.899,48.802,46.9738,,UP,1
2017-03-15,49.9191,49.1498,49.0579,47.0753,,DOWN,0
2017-03-16,49.7602,49.9442,49.307,47.172,,UP,1
2017-03-17,49.8188,49.9442,49.5194,47.2611,,DOWN,0
2017-03-20,49.3338,49.8355,49.5579,47.3457,,DOWN,0
2017-03-21,48.9241,49.5679,49.5512,47.4233,,DOWN,0
2017-03-22,48.9073,48.9241,49.3488,47.5029,,UP,1
2017-03-23,48.9408,48.7568,49.185,47.582,,UP,1
2017-03-24,49.593,50.3205,49.1398,47.6765,,DOWN,0
2017-03-27,49.4007,49.0997,49.1532,47.767,,UP,1
2017-03-28,49.8271,49.3672,49.3338,47.8478,,UP,1
2017-03-29,49.8773,50.0529,49.5278,47.9401,,DOWN,0
2017-03-30,49.8522,49.9358,49.7101,48.0317,,UP,1
2017-03-31,50.3539,49.8104,49.8623,48.1312,44.3497,DOWN,0
2017-04-03,50.2787,50.3037,50.0378,48.225,44.4213,DOWN,0
2017-04-04,50.1867,50.2703,50.1098,48.3239,44.476,UP,1
2017-04-05,50.379,50.3874,50.2101,48.4167,44.5314,UP,1
