ticker,ETR US Equity,ETR US Equity,ETR US Equity,ETR US Equity,ETR US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-10-06,35.875,34.5625,27.0382,36.2625,33.2088,UP,1
2000-10-09,35.9375,36.0,27.0889,35.475,33.3213,UP,1
2000-10-10,36.8125,35.875,27.1445,35.6375,33.515,UP,1
2000-10-11,37.625,36.9375,27.2042,36.1125,33.6675,DOWN,0
2000-10-12,37.125,37.375,27.2629,36.675,33.8,UP,1
2000-10-13,37.9375,37.6875,27.3242,37.0875,33.9459,UP,1
2000-10-16,39.1875,37.875,27.3914,37.7375,34.1159,DOWN,0
2000-10-17,38.875,39.1875,27.4595,38.15,34.2681,DOWN,0
2000-10-18,38.125,38.5,27.5236,38.25,34.4069,DOWN,0
2000-10-19,36.5,37.875,27.5742,38.125,34.5272,UP,1
2000-10-20,37.0,36.5,27.6298,37.9375,34.6506,UP,1
2000-10-23,37.0625,36.875,27.6857,37.5125,34.7691,DOWN,0
2000-10-24,36.25,37.3125,27.7382,36.9875,34.8741,DOWN,0
2000-10-25,36.0,37.0,27.7886,36.5625,34.9691,DOWN,0
2000-10-26,34.75,36.1875,27.8332,36.2125,35.0249,UP,1
2000-10-27,37.375,34.875,27.8936,36.2875,35.1374,UP,1
2000-10-30,38.5,37.625,27.9598,36.575,35.2712,DOWN,0
2000-10-31,38.3125,38.3125,28.0286,36.9875,35.3974,UP,1
2000-11-01,38.5625,38.3125,28.1001,37.5,35.5324,DOWN,0
2000-11-02,37.5,38.5625,28.1679,38.05,35.6387,DOWN,0
2000-11-03,36.875,37.4375,28.2314,37.95,35.7462,UP,1
2000-11-06,37.1875,37.0,28.3023,37.6875,35.8699,UP,1
2000-11-07,37.25,37.25,28.3773,37.475,35.9949,DOWN,0
2000-11-08,36.75,37.125,28.4501,37.1125,36.1187,UP,1
2000-11-09,37.75,36.875,28.5239,37.1625,36.2599,UP,1
2000-11-10,38.5625,38.0,28.5986,37.5,36.422,UP,1
2000-11-13,39.6875,38.8125,28.6723,38.0,36.5904,DOWN,0
2000-11-14,39.0625,39.5625,28.7401,38.3625,36.7341,UP,1
2000-11-15,39.8125,39.125,28.8145,38.975,36.8666,UP,1
2000-11-16,40.375,39.9375,28.8892,39.5,37.0016,UP,1
2000-11-17,40.9375,40.375,28.9692,39.975,37.1349,UP,1
2000-11-20,41.5,41.125,29.0536,40.3375,37.2695,DOWN,0
2000-11-21,41.4375,41.625,29.1376,40.8125,37.3883,UP,1
2000-11-22,41.6875,41.625,29.2267,41.1875,37.507,DOWN,0
2000-11-24,41.125,41.75,29.3154,41.3375,37.607,DOWN,0
2000-11-27,40.5625,40.5,29.4026,41.2625,37.6629,UP,1
2000-11-28,41.75,40.5625,29.4939,41.3125,37.7395,DOWN,0
2000-11-29,41.6875,41.6875,29.5882,41.3625,37.8383,DOWN,0
2000-11-30,41.125,41.8125,29.682,41.25,37.9345,DOWN,0
2000-12-01,40.75,40.625,29.7761,41.175,38.0458,DOWN,0
2000-12-04,40.75,40.875,29.8726,41.2125,38.152,DOWN,0
2000-12-05,40.25,40.75,29.9657,40.9125,38.2583,DOWN,0
2000-12-06,40.25,40.875,30.0604,40.625,38.347,DOWN,0
2000-12-07,39.75,40.0625,30.1573,40.35,38.4191,DOWN,0
2000-12-08,39.0625,39.5,30.2514,40.0125,38.4791,DOWN,0
2000-12-11,37.875,38.0,30.3364,39.4375,38.4913,UP,1
2000-12-12,38.8125,37.625,30.4292,39.15,38.47,DOWN,0
2000-12-13,38.6875,38.8125,30.5207,38.8375,38.5238,DOWN,0
2000-12-14,37.4375,39.125,30.6057,38.375,38.5675,UP,1
2000-12-15,38.8125,37.625,30.6979,38.325,38.6575,UP,1
2000-12-18,39.8125,39.625,30.8136,38.7125,38.7363,UP,1
2000-12-19,41.375,39.6875,30.9339,39.225,38.845,UP,1
