ticker,TPR US Equity,TPR US Equity,TPR US Equity,TPR US Equity,TPR US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2001-09-26,2.7375,3.0625,2.9497,4.3663,3.9589,UP,1
2001-09-27,2.9638,2.625,2.98,4.3219,3.9598,UP,1
2001-09-28,3.3138,2.9725,3.0677,4.2881,3.962,DOWN,0
2001-10-01,3.0,3.225,3.0277,4.2457,3.962,DOWN,0
2001-10-02,2.8537,2.9625,2.9738,4.1973,3.9604,UP,1
2001-10-03,3.105,2.825,3.0472,4.1562,3.9598,DOWN,0
2001-10-04,2.9725,3.12,3.049,4.1134,3.959,UP,1
2001-10-05,3.1188,2.9875,3.01,4.0743,3.9596,DOWN,0
2001-10-08,3.0688,3.025,3.0237,4.0376,3.9618,DOWN,0
2001-10-09,3.0,3.0688,3.053,4.0027,3.9636,UP,1
2001-10-10,3.185,3.0125,3.069,3.967,3.9667,UP,1
2001-10-11,3.5275,3.1913,3.18,3.9348,3.9713,DOWN,0
2001-10-12,3.3563,3.3438,3.2275,3.9049,3.9755,DOWN,0
2001-10-15,3.2188,3.3375,3.2575,3.8713,3.9784,UP,1
2001-10-16,3.25,3.25,3.3075,3.8419,3.9807,DOWN,0
2001-10-17,3.1125,3.25,3.293,3.8131,3.9816,UP,1
2001-10-18,3.25,3.1438,3.2375,3.7837,3.9822,UP,1
2001-10-19,3.4,3.2438,3.2462,3.7589,3.9816,UP,1
2001-10-22,3.4938,3.3938,3.3012,3.7396,3.9811,UP,1
2001-10-23,3.7625,3.625,3.4037,3.7247,3.9835,DOWN,0
2001-10-24,3.6613,3.7625,3.5135,3.7073,3.9856,DOWN,0
2001-10-25,3.5625,3.675,3.576,3.6865,3.9877,UP,1
2001-10-26,3.7725,3.5938,3.6505,3.673,3.9914,DOWN,0
2001-10-29,3.5038,3.7725,3.6525,3.6555,3.9949,DOWN,0
2001-10-30,3.375,3.3375,3.575,3.6332,3.9972,UP,1
2001-10-31,3.4875,3.375,3.5402,3.6154,3.9989,DOWN,0
2001-11-01,3.3713,3.5188,3.502,3.595,3.9988,UP,1
2001-11-02,3.5413,3.3713,3.4557,3.5817,3.9998,UP,1
2001-11-05,3.7475,3.6563,3.5045,3.5738,4.0008,UP,1
2001-11-06,3.9888,3.7625,3.6272,3.5685,4.0026,UP,1
2001-11-07,4.0813,3.9688,3.746,3.5626,4.0043,DOWN,0
2001-11-08,4.025,4.0813,3.8767,3.5551,4.0054,DOWN,0
2001-11-09,3.9725,4.025,3.963,3.5462,4.0059,DOWN,0
2001-11-12,3.8688,3.9125,3.9872,3.5316,4.0059,UP,1
2001-11-13,4.0,3.9375,3.9895,3.5216,4.0067,UP,1
2001-11-14,4.1,4.0625,3.9932,3.5135,4.0082,UP,1
2001-11-15,4.25,4.1063,4.0382,3.5088,4.0104,DOWN,0
2001-11-16,4.125,4.3,4.0687,3.5005,4.0117,DOWN,0
2001-11-19,4.0813,4.125,4.1112,3.4919,4.0125,UP,1
2001-11-20,4.1275,4.1125,4.1367,3.482,4.0121,UP,1
2001-11-21,4.15,4.1875,4.1467,3.4767,4.0105,UP,1
2001-11-23,4.1825,4.15,4.1332,3.475,4.0089,DOWN,0
2001-11-26,4.1188,4.1838,4.132,3.4743,4.0076,UP,1
2001-11-27,4.1388,4.1188,4.1435,3.4937,4.0069,DOWN,0
2001-11-28,4.0725,4.1125,4.1325,3.5177,4.0059,UP,1
2001-11-29,4.15,4.0725,4.1325,3.5431,4.0055,DOWN,0
2001-11-30,4.125,4.1438,4.121,3.5694,4.005,DOWN,0
2001-12-03,4.0588,4.1488,4.109,3.5931,4.0048,UP,1
2001-12-04,4.0813,4.0588,4.0975,3.6107,4.0047,UP,1
2001-12-05,4.3988,4.2475,4.1627,3.6362,4.0055,UP,1
2001-12-06,4.4925,4.4813,4.2312,3.6713,4.0066,DOWN,0
2001-12-07,4.375,4.4875,4.2812,3.6995,4.0072,DOWN,0
2001-12-10,4.2225,4.375,4.314,3.7177,4.0071,DOWN,0
2001-12-11,4.1563,4.225,4.329,3.7408,4.0063,DOWN,0
2001-12-12,4.1375,4.2,4.2767,3.7665,4.0057,UP,1
2001-12-13,4.15,4.1875,4.2082,3.7874,4.0058,UP,1
2001-12-14,4.2387,4.1563,4.181,3.8127,4.0064,UP,1
2001-12-17,4.3838,4.2625,4.2132,3.838,4.0081,UP,1
2001-12-18,4.7475,4.4463,4.3315,3.8716,4.013,DOWN,0
2001-12-19,4.7313,4.725,4.4502,3.9062,4.0188,DOWN,0
2001-12-20,4.585,4.7313,4.5372,3.9342,4.0243,UP,1
2001-12-21,4.7813,4.475,4.6457,3.9593,4.0307,DOWN,0
2001-12-24,4.6863,4.7988,4.7062,3.9859,4.0376,UP,1
2001-12-26,4.83,4.6863,4.7227,4.0181,4.0451,DOWN,0
2001-12-27,4.6525,4.8313,4.707,4.0462,4.0508,UP,1
2001-12-28,4.7975,4.6688,4.7495,4.0799,4.0571,UP,1
2001-12-31,4.8725,4.7663,4.7677,4.1123,4.0639,DOWN,0
2002-01-02,4.7438,4.815,4.7792,4.1392,4.0702,UP,1
2002-01-03,4.755,4.7125,4.7642,4.1644,4.077,UP,1
2002-01-04,4.8637,4.7563,4.8065,4.1864,4.0843,UP,1
2002-01-07,5.0313,4.875,4.8532,4.2138,4.0924,UP,1
2002-01-08,5.2625,5.1563,4.9312,4.2478,4.1012,DOWN,0
2002-01-09,5.0813,5.3313,4.9987,4.274,4.1091,UP,1
2002-01-10,5.1888,5.0938,5.0855,4.3077,4.1179,DOWN,0
2002-01-11,5.1175,5.1875,5.1362,4.3426,4.1267,DOWN,0
2002-01-14,5.0375,5.1063,5.1375,4.3736,4.1348,UP,1
2002-01-15,5.1775,5.0475,5.1205,4.4097,4.1438,DOWN,0
2002-01-16,5.1375,5.1775,5.1317,4.4416,4.1526,UP,1
2002-01-17,5.2638,5.1875,5.1467,4.4719,4.1617,UP,1
2002-01-18,5.2813,5.2375,5.1795,4.4978,4.1704,DOWN,0
2002-01-22,5.2787,5.325,5.2277,4.5217,4.1787,UP,1
2002-01-23,5.375,5.3688,5.2672,4.5487,4.1881,UP,1
2002-01-24,5.5538,5.4125,5.3505,4.5804,4.1987,DOWN,0
2002-01-25,5.5363,5.5563,5.405,4.6137,4.2085,UP,1
2002-01-28,5.8325,5.6188,5.5152,4.6504,4.2197,DOWN,0
2002-01-29,5.77,5.825,5.6135,4.6838,4.231,UP,1
2002-01-30,5.8625,5.7563,5.711,4.716,4.2427,DOWN,0
2002-01-31,5.7688,5.8613,5.754,4.7489,4.254,DOWN,0
2002-02-01,5.74,5.7188,5.7947,4.7821,4.2671,DOWN,0
2002-02-04,5.49,5.7488,5.7262,4.8093,4.2786,DOWN,0
2002-02-05,5.475,5.4887,5.6672,4.8358,4.2901,DOWN,0
2002-02-06,5.35,5.4625,5.5647,4.8592,4.3019,DOWN,0
2002-02-07,5.2663,5.1875,5.4642,4.8821,4.3125,UP,1
2002-02-08,5.45,5.2,5.4062,4.9083,4.3249,UP,1
2002-02-11,5.6675,5.5125,5.4417,4.9402,4.3385,DOWN,0
2002-02-12,5.5,5.65,5.4467,4.9672,4.351,UP,1
2002-02-13,5.5675,5.51,5.4902,4.9961,4.3622,DOWN,0
2002-02-14,5.5338,5.5988,5.5437,5.0256,4.3714,DOWN,0
2002-02-15,5.51,5.525,5.5557,5.0542,4.3808,DOWN,0
2002-02-19,5.4413,5.4375,5.5105,5.075,4.3891,UP,1
2002-02-20,5.6038,5.45,5.5312,5.0972,4.3968,DOWN,0
2002-02-21,5.5925,5.6,5.5362,5.1216,4.4034,UP,1
2002-02-22,5.5938,5.5813,5.5482,5.149,4.4096,DOWN,0
2002-02-25,5.525,5.5938,5.5512,5.1764,4.4174,UP,1
2002-02-26,5.6688,5.6,5.5967,5.207,4.4258,UP,1
2002-02-27,6.235,6.0625,5.723,5.2487,4.4373,DOWN,0
2002-02-28,6.2325,6.2975,5.851,5.2886,4.4488,UP,1
2002-03-01,6.2375,6.2063,5.9797,5.3257,4.4601,UP,1
2002-03-04,6.485,6.3,6.1717,5.3604,4.4725,DOWN,0
2002-03-05,6.0,6.485,6.238,5.3858,4.4824,DOWN,0
2002-03-06,5.965,5.9988,6.184,5.4134,4.491,UP,1
