ticker,LH US Equity,LH US Equity,LH US Equity,LH US Equity,LH US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2001-02-16,36.313,35.5,28.679,35.403,36.2655,UP,1
2001-02-20,36.623,36.438,28.7835,35.7675,36.2986,UP,1
2001-02-21,36.875,36.625,28.8892,36.145,36.3261,DOWN,0
2001-02-22,36.813,36.788,28.9934,36.3695,36.3236,DOWN,0
2001-02-23,36.75,36.688,29.0951,36.6745,36.2864,UP,1
2001-02-26,38.663,36.75,29.2059,37.1445,36.3071,UP,1
2001-02-27,39.925,39.0,29.3181,37.805,36.3325,UP,1
2001-02-28,40.125,39.988,29.432,38.455,36.35,DOWN,0
2001-03-01,38.488,40.0,29.5324,38.79,36.3344,UP,1
2001-03-02,39.428,38.0,29.6374,39.3255,36.3042,DOWN,0
2001-03-05,38.805,39.675,29.7405,39.354,36.2641,DOWN,0
2001-03-06,38.0,38.808,29.8415,38.969,36.2203,DOWN,0
2001-03-07,36.325,37.75,29.937,38.209,36.1281,DOWN,0
2001-03-08,35.518,36.5,30.0319,37.615,36.0088,UP,1
2001-03-09,35.6,35.575,30.1268,36.8495,35.8733,DOWN,0
2001-03-12,34.125,35.438,30.2166,35.9135,35.6758,UP,1
2001-03-13,34.25,34.375,30.3073,35.1635,35.4608,DOWN,0
2001-03-14,33.675,33.725,30.3903,34.6335,35.2543,DOWN,0
2001-03-15,31.8,33.925,30.4593,33.89,35.1503,DOWN,0
2001-03-16,31.12,31.25,30.525,32.994,35.0139,UP,1
2001-03-19,31.75,31.013,30.5949,32.519,34.9564,DOWN,0
2001-03-20,31.025,31.813,30.6616,31.874,34.9169,DOWN,0
2001-03-21,28.173,31.125,30.7188,30.7735,34.7991,DOWN,0
2001-03-22,27.955,28.0,30.7756,30.0045,34.6445,UP,1
2001-03-23,29.75,28.5,30.8419,29.7305,34.5045,DOWN,0
2001-03-26,28.965,29.125,30.9051,29.1735,34.3456,UP,1
2001-03-27,29.425,28.95,30.9708,28.8535,34.2594,DOWN,0
2001-03-28,28.75,29.175,31.0362,28.969,34.1632,UP,1
2001-03-29,29.575,28.75,31.1059,29.293,34.105,UP,1
2001-03-30,30.063,29.875,31.1762,29.3555,34.0738,UP,1
2001-04-02,30.163,29.813,31.2458,29.595,34.0711,DOWN,0
2001-04-03,28.663,30.0,31.3043,29.4425,34.0243,UP,1
2001-04-04,28.8,28.633,31.3601,29.4525,33.9428,UP,1
2001-04-05,30.025,29.5,31.4178,29.5425,33.8483,DOWN,0
2001-04-06,29.613,29.875,31.4724,29.4525,33.7556,UP,1
2001-04-09,30.05,30.1,31.5301,29.43,33.6447,UP,1
2001-04-10,31.603,30.075,31.5952,30.018,33.5752,UP,1
2001-04-11,32.7,33.125,31.6648,30.798,33.5207,UP,1
2001-04-12,32.9,32.625,31.7362,31.373,33.4976,UP,1
2001-04-16,33.75,32.863,31.8102,32.2005,33.4943,UP,1
2001-04-17,34.513,33.5,31.8846,33.093,33.5233,DOWN,0
2001-04-18,33.55,34.75,31.9559,33.4825,33.5286,DOWN,0
2001-04-19,33.5,33.625,32.0259,33.6425,33.5251,UP,1
2001-04-20,34.325,33.5,32.0961,33.9275,33.529,DOWN,0
2001-04-23,33.253,34.25,32.1602,33.828,33.5276,UP,1
2001-04-24,36.358,35.125,32.2412,34.197,33.5822,DOWN,0
2001-04-25,36.25,36.25,32.3212,34.737,33.6112,DOWN,0
2001-04-26,36.125,36.375,32.3944,35.262,33.634,DOWN,0
2001-04-27,35.975,36.25,32.4594,35.592,33.6397,DOWN,0
2001-04-30,35.25,36.225,32.5246,35.9915,33.6402,UP,1
2001-05-01,35.75,35.25,32.5907,35.87,33.6289,DOWN,0
2001-05-02,35.75,35.875,32.6521,35.77,33.6115,DOWN,0
