ticker,AMZN US Equity,AMZN US Equity,AMZN US Equity,AMZN US Equity,AMZN US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2001-03-29,0.5,0.529,1.3809,0.5357,0.68,UP,1
2001-03-30,0.512,0.506,1.3719,0.5361,0.6707,DOWN,0
2001-04-02,0.455,0.517,1.3625,0.5177,0.6599,DOWN,0
2001-04-03,0.432,0.436,1.3532,0.4876,0.65,DOWN,0
2001-04-04,0.42,0.429,1.344,0.4636,0.6394,UP,1
2001-04-05,0.456,0.451,1.3347,0.4548,0.6267,DOWN,0
2001-04-06,0.419,0.445,1.3253,0.4362,0.616,UP,1
2001-04-09,0.559,0.592,1.3176,0.457,0.6077,UP,1
2001-04-10,0.601,0.562,1.3121,0.4908,0.5996,UP,1
2001-04-11,0.666,0.655,1.307,0.54,0.594,UP,1
2001-04-12,0.734,0.653,1.3015,0.5955,0.5913,DOWN,0
2001-04-16,0.702,0.725,1.2956,0.6521,0.5891,UP,1
2001-04-17,0.737,0.691,1.29,0.6877,0.5895,UP,1
2001-04-18,0.827,0.783,1.285,0.733,0.5916,DOWN,0
2001-04-19,0.8,0.845,1.2798,0.7597,0.5918,DOWN,0
2001-04-20,0.789,0.781,1.2746,0.7708,0.5926,UP,1
2001-04-23,0.81,0.82,1.2696,0.7925,0.5944,DOWN,0
2001-04-24,0.784,0.822,1.2645,0.8019,0.5967,UP,1
2001-04-25,0.805,0.785,1.2598,0.7974,0.5983,DOWN,0
2001-04-26,0.772,0.813,1.2553,0.7918,0.6,DOWN,0
2001-04-27,0.764,0.786,1.2504,0.7867,0.6008,UP,1
2001-04-30,0.789,0.782,1.2456,0.7825,0.6021,UP,1
2001-05-01,0.845,0.795,1.2392,0.7946,0.6053,UP,1
2001-05-02,0.855,0.857,1.2332,0.8048,0.6099,DOWN,0
2001-05-03,0.838,0.841,1.2269,0.818,0.6147,UP,1
2001-05-04,0.878,0.818,1.2211,0.8409,0.6203,DOWN,0
2001-05-07,0.846,0.868,1.2153,0.8523,0.6254,DOWN,0
2001-05-08,0.809,0.814,1.209,0.8452,0.6297,DOWN,0
2001-05-09,0.751,0.778,1.2031,0.8242,0.6329,DOWN,0
2001-05-10,0.731,0.77,1.1973,0.8029,0.6374,UP,1
2001-05-11,0.734,0.728,1.192,0.7741,0.6416,DOWN,0
2001-05-14,0.667,0.726,1.1875,0.7382,0.6449,UP,1
2001-05-15,0.677,0.668,1.1834,0.7118,0.6458,UP,1
2001-05-16,0.707,0.673,1.1794,0.703,0.6481,UP,1
2001-05-17,0.739,0.705,1.1755,0.7046,0.6506,DOWN,0
2001-05-18,0.736,0.742,1.1715,0.705,0.6537,UP,1
2001-05-21,0.819,0.747,1.1677,0.7355,0.6578,DOWN,0
2001-05-22,0.813,0.839,1.1636,0.7626,0.6634,DOWN,0
2001-05-23,0.78,0.81,1.1591,0.7773,0.668,UP,1
2001-05-24,0.838,0.786,1.155,0.797,0.6741,UP,1
2001-05-25,0.855,0.832,1.1516,0.8207,0.6804,UP,1
2001-05-29,0.861,0.861,1.1483,0.8291,0.6866,DOWN,0
2001-05-30,0.783,0.827,1.1438,0.8232,0.6917,UP,1
2001-05-31,0.835,0.792,1.1392,0.8341,0.6982,UP,1
2001-06-01,0.847,0.861,1.1341,0.8361,0.7051,DOWN,0
