ticker,VNO US Equity,VNO US Equity,VNO US Equity,VNO US Equity,VNO US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2001-05-08,25.53,25.6779,25.9238,25.7751,25.6189,DOWN,0
2001-05-09,25.382,25.4666,25.9164,25.6384,25.6043,UP,1
2001-05-10,25.4031,25.3961,25.9077,25.5398,25.5797,DOWN,0
2001-05-11,25.3327,25.3609,25.8963,25.4581,25.5517,UP,1
2001-05-14,25.3609,25.3468,25.884,25.4017,25.5157,UP,1
2001-05-15,25.4313,25.3609,25.8726,25.382,25.4782,UP,1
2001-05-16,25.7624,25.4313,25.8637,25.4581,25.4505,UP,1
2001-05-17,25.8047,25.7836,25.8492,25.5384,25.4312,DOWN,0
2001-05-18,25.6638,25.7836,25.8341,25.6046,25.4091,DOWN,0
2001-05-21,25.53,25.6074,25.8195,25.6384,25.3892,UP,1
2001-05-22,25.854,25.6004,25.8085,25.723,25.3792,UP,1
2001-05-23,26.1922,25.8822,25.7991,25.8089,25.3719,UP,1
2001-05-24,26.4387,26.1922,25.79,25.9357,25.3793,DOWN,0
2001-05-25,26.2415,26.4176,25.7798,26.0513,25.3892,UP,1
2001-05-29,26.5303,26.3119,25.7711,26.2513,25.4071,DOWN,0
2001-05-30,26.3471,26.5303,25.7607,26.35,25.412,UP,1
2001-05-31,26.4176,26.3471,25.751,26.395,25.4195,DOWN,0
