ticker,GPC US Equity,GPC US Equity,GPC US Equity,GPC US Equity,GPC US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-11-07,20.9375,20.875,22.0866,20.9875,19.945,DOWN,0
2000-11-08,20.875,20.8125,22.0751,20.95,19.95,DOWN,0
2000-11-09,20.5625,20.875,22.0629,20.875,19.95,DOWN,0
2000-11-10,19.375,20.3125,22.046,20.575,19.9263,UP,1
2000-11-13,19.5625,19.5625,22.0232,20.2625,19.91,UP,1
2000-11-14,19.625,19.75,22.006,20.0,19.885,UP,1
2000-11-15,19.75,19.8125,21.9898,19.775,19.86,DOWN,0
2000-11-16,19.5,19.5625,21.9716,19.5625,19.8313,UP,1
2000-11-17,19.6875,19.25,21.9563,19.625,19.8113,DOWN,0
2000-11-20,19.25,19.625,21.9379,19.5625,19.7775,DOWN,0
2000-11-21,19.125,19.3125,21.9198,19.4625,19.7438,DOWN,0
2000-11-22,18.875,19.0,21.9016,19.2875,19.71,UP,1
2000-11-24,19.375,19.0625,21.8879,19.2625,19.6938,UP,1
2000-11-27,19.6875,19.625,21.8782,19.2625,19.6888,DOWN,0
2000-11-28,19.125,19.625,21.8635,19.2375,19.6775,UP,1
2000-11-29,19.375,19.1875,21.8482,19.2875,19.68,DOWN,0
2000-11-30,19.1875,19.5625,21.8326,19.35,19.685,UP,1
2000-12-01,19.5,19.25,21.8185,19.375,19.6938,UP,1
2000-12-04,20.3125,19.6875,21.8082,19.5,19.7213,DOWN,0
2000-12-05,20.1875,20.5,21.7957,19.7125,19.7488,DOWN,0
2000-12-06,19.875,20.0625,21.7848,19.8125,19.7738,UP,1
2000-12-07,20.0625,19.875,21.776,19.9875,19.7925,UP,1
2000-12-08,20.25,20.0,21.7685,20.1375,19.815,UP,1
2000-12-11,20.4375,20.5,21.7604,20.1625,19.8425,UP,1
2000-12-12,21.125,20.4375,21.7532,20.35,19.885,DOWN,0
2000-12-13,21.0625,21.125,21.7488,20.5875,19.9138,DOWN,0
2000-12-14,21.0,21.0,21.7448,20.775,19.9413,DOWN,0
2000-12-15,21.0,21.0,21.7404,20.925,19.965,UP,1
2000-12-18,21.75,21.0,21.7426,21.1875,20.0088,UP,1
2000-12-19,22.5625,21.75,21.7538,21.475,20.0663,DOWN,0
2000-12-20,22.5625,22.625,21.7629,21.775,20.125,UP,1
2000-12-21,23.8125,22.625,21.7791,22.3375,20.2063,UP,1
2000-12-22,24.75,24.25,21.7995,23.0875,20.3088,UP,1
2000-12-26,25.0,24.875,21.8191,23.7375,20.4175,UP,1
2000-12-27,26.1875,25.0,21.8482,24.4625,20.55,DOWN,0
2000-12-28,26.125,26.0,21.8688,25.175,20.685,UP,1
2000-12-29,26.1875,26.0,21.8829,25.65,20.8263,UP,1
2001-01-02,26.375,26.25,21.896,25.975,20.9563,UP,1
2001-01-03,27.0,26.4375,21.9145,26.375,21.1025,UP,1
2001-01-04,27.1875,26.75,21.9329,26.575,21.2563,DOWN,0
2001-01-05,26.625,27.25,21.9491,26.675,21.3925,DOWN,0
2001-01-08,26.5625,26.375,21.9635,26.75,21.5313,UP,1
2001-01-09,26.6875,26.25,21.9807,26.8125,21.6688,DOWN,0
2001-01-10,26.375,26.4375,21.9951,26.6875,21.8013,DOWN,0
2001-01-11,26.125,26.1875,22.0095,26.475,21.9175,UP,1
2001-01-12,26.3125,26.0,22.0248,26.4125,22.0175,DOWN,0
2001-01-16,26.125,26.3125,22.0376,26.325,22.1188,DOWN,0
2001-01-17,26.0625,26.125,22.0485,26.2,22.2213,DOWN,0
2001-01-18,25.5,25.8125,22.0551,26.025,22.3138,UP,1
2001-01-19,25.625,25.625,22.0616,25.925,22.4038,DOWN,0
2001-01-22,25.5,25.3125,22.0676,25.7625,22.495,DOWN,0
2001-01-23,24.875,25.625,22.0695,25.5125,22.575,UP,1
2001-01-24,25.125,24.75,22.0751,25.325,22.6663,DOWN,0
2001-01-25,25.125,25.0,22.0795,25.25,22.7813,DOWN,0
2001-01-26,24.9375,25.1875,22.0785,25.1125,22.8888,DOWN,0
2001-01-29,24.75,24.7,22.0788,24.9625,22.9913,UP,1
2001-01-30,25.0,24.8,22.081,24.9875,23.0963,UP,1
2001-01-31,25.36,25.0,22.0881,25.0345,23.2135,DOWN,0
2001-02-01,25.29,25.61,22.0918,25.0675,23.3255,UP,1
2001-02-02,25.32,25.45,22.0946,25.144,23.4469,UP,1
2001-02-05,25.58,25.5,22.0991,25.31,23.576,UP,1
2001-02-06,25.87,25.58,22.1047,25.484,23.7159,UP,1
2001-02-07,26.25,26.4,22.1097,25.662,23.8534,UP,1
2001-02-08,26.37,26.26,22.1103,25.878,23.987,DOWN,0
2001-02-09,26.21,26.6,22.1098,26.056,24.1287,UP,1
2001-02-12,26.43,26.2,22.1116,26.226,24.2698,UP,1
2001-02-13,26.77,26.5,22.1142,26.406,24.4215,DOWN,0
2001-02-14,26.69,26.65,22.1155,26.494,24.5653,UP,1
2001-02-15,27.16,26.57,22.12,26.652,24.7023,UP,1
2001-02-16,27.3,27.05,22.1262,26.87,24.8445,UP,1
2001-02-20,28.06,27.05,22.1365,27.196,25.0082,UP,1
2001-02-21,28.1,27.86,22.1492,27.462,25.1689,DOWN,0
2001-02-22,27.48,28.1,22.1569,27.62,25.3135,DOWN,0
2001-02-23,26.97,27.68,22.163,27.582,25.4442,UP,1
2001-02-26,27.45,27.1,22.1731,27.612,25.5707,DOWN,0
2001-02-27,27.19,27.45,22.1815,27.438,25.6933,DOWN,0
2001-02-28,26.96,27.29,22.1882,27.21,25.8124,DOWN,0
2001-03-01,26.87,26.71,22.1954,27.088,25.9298,UP,1
2001-03-02,27.0,26.7,22.2007,27.094,26.0348,UP,1
2001-03-05,27.33,27.2,22.2108,27.07,26.1302,UP,1
2001-03-06,27.36,27.58,22.2219,27.104,26.2261,DOWN,0
2001-03-07,27.17,27.2,22.2322,27.146,26.2933,UP,1
2001-03-08,27.3,27.4,22.2433,27.232,26.3443,DOWN,0
2001-03-09,26.93,27.55,22.253,27.218,26.3829,DOWN,0
2001-03-12,26.63,27.0,22.259,27.078,26.3918,DOWN,0
2001-03-13,26.49,26.63,22.2658,26.904,26.3991,DOWN,0
2001-03-14,25.65,26.5,22.2725,26.6,26.3883,UP,1
2001-03-15,26.0,25.8,22.2793,26.34,26.3808,DOWN,0
2001-03-16,25.28,25.45,22.2864,26.01,26.3464,UP,1
2001-03-19,25.69,25.51,22.2936,25.822,26.3165,DOWN,0
2001-03-20,25.65,25.69,22.3006,25.654,26.297,DOWN,0
2001-03-21,24.82,25.65,22.3037,25.488,26.2621,DOWN,0
2001-03-22,24.6,24.2,22.3077,25.208,26.2204,DOWN,0
2001-03-23,24.26,24.81,22.313,25.004,26.1781,UP,1
2001-03-26,25.39,24.99,22.3244,24.944,26.1634,UP,1
2001-03-27,25.56,25.6,22.3372,24.926,26.1483,UP,1
2001-03-28,25.75,25.56,22.3512,25.112,26.1408,DOWN,0
2001-03-29,25.47,25.75,22.3629,25.286,26.129,UP,1
2001-03-30,25.91,25.48,22.3766,25.616,26.1372,UP,1
2001-04-02,26.11,26.35,22.3934,25.76,26.1469,DOWN,0
2001-04-03,25.39,26.3,22.4097,25.726,26.1447,UP,1
2001-04-04,26.13,25.6,22.4322,25.802,26.1698,UP,1
2001-04-05,27.02,26.4,22.4604,26.112,26.2077,DOWN,0
2001-04-06,26.75,27.02,22.4876,26.28,26.2402,UP,1
2001-04-09,27.06,26.9,22.5173,26.47,26.2826,UP,1
2001-04-10,27.61,27.31,22.5494,26.914,26.3398,DOWN,0
2001-04-11,26.96,27.6,22.5792,27.08,26.379,UP,1
2001-04-12,27.27,26.8,22.6096,27.13,26.4172,UP,1
2001-04-16,27.62,27.05,22.6423,27.304,26.4638,DOWN,0
2001-04-17,27.58,27.37,22.6765,27.408,26.509,UP,1
2001-04-18,28.5,27.34,22.719,27.586,26.5674,DOWN,0
2001-04-19,28.0,28.5,22.754,27.794,26.61,DOWN,0
2001-04-20,27.8,27.8,22.7877,27.9,26.641,DOWN,0
2001-04-23,27.75,27.95,22.8211,27.926,26.6686,DOWN,0
2001-04-24,27.17,27.95,22.8498,27.844,26.6878,DOWN,0
2001-04-25,26.96,27.2,22.8764,27.536,26.6984,UP,1
2001-04-26,27.03,26.9,22.9019,27.342,26.7036,DOWN,0
2001-04-27,27.0,27.28,22.9278,27.182,26.7098,DOWN,0
2001-04-30,27.0,27.0,22.9538,27.032,26.7066,DOWN,0
2001-05-01,27.0,27.2,22.9794,26.998,26.7006,UP,1
2001-05-02,27.02,26.95,23.0073,27.01,26.6798,DOWN,0
2001-05-03,26.75,26.95,23.0348,26.954,26.6528,DOWN,0
2001-05-04,26.75,26.68,23.0642,26.904,26.6382,UP,1
2001-05-07,27.01,26.8,23.0952,26.906,26.639,UP,1
2001-05-08,27.24,27.26,23.1283,26.954,26.6348,DOWN,0
2001-05-09,26.98,27.2,23.1578,26.946,26.6306,UP,1
2001-05-10,27.1,26.98,23.1896,27.016,26.6334,DOWN,0
2001-05-11,27.01,27.0,23.2206,27.068,26.6362,UP,1
2001-05-14,27.1,27.0,23.2536,27.086,26.6382,UP,1
2001-05-15,27.31,27.1,23.2895,27.1,26.6378,UP,1
2001-05-16,28.31,27.7,23.3307,27.366,26.6568,DOWN,0
2001-05-17,28.25,28.3,23.3704,27.596,26.6784,DOWN,0
2001-05-18,28.25,28.35,23.4092,27.844,26.6974,DOWN,0
2001-05-21,28.08,28.15,23.448,28.04,26.7204,DOWN,0
2001-05-22,28.03,28.08,23.4857,28.184,26.7484,DOWN,0
2001-05-23,28.0,28.0,23.5229,28.122,26.7786,UP,1
2001-05-24,28.15,28.0,23.5589,28.102,26.8286,DOWN,0
2001-05-25,28.14,28.3,23.5956,28.08,26.8714,UP,1
2001-05-29,28.28,28.05,23.632,28.12,26.9314,UP,1
2001-05-30,28.3,28.35,23.6656,28.174,26.9836,UP,1
2001-05-31,28.57,28.35,23.6994,28.288,27.042,DOWN,0
2001-06-01,28.46,28.68,23.7349,28.35,27.1148,UP,1
2001-06-04,28.65,28.65,23.7712,28.452,27.1958,UP,1
2001-06-05,29.24,28.65,23.8102,28.644,27.2954,DOWN,0
2001-06-06,28.98,28.93,23.8492,28.78,27.3672,UP,1
2001-06-07,29.13,28.98,23.888,28.892,27.4386,DOWN,0
2001-06-08,29.07,29.0,23.9258,29.014,27.505,DOWN,0
2001-06-11,28.92,29.07,23.9661,29.068,27.574,DOWN,0
2001-06-12,28.9,28.98,24.0056,29.0,27.6338,DOWN,0
2001-06-13,28.85,28.8,24.0454,28.974,27.6886,DOWN,0
2001-06-14,28.82,28.86,24.0855,28.912,27.7572,UP,1
2001-06-15,28.84,28.82,24.1265,28.866,27.8114,UP,1
2001-06-18,29.17,28.84,24.1696,28.916,27.8544,UP,1
2001-06-19,29.2,29.25,24.2128,28.976,27.9034,UP,1
2001-06-20,29.47,28.9,24.2582,29.1,27.9516,UP,1
2001-06-21,29.98,29.55,24.3038,29.332,27.999,DOWN,0
2001-06-22,29.9,29.98,24.3483,29.544,28.0578,DOWN,0
2001-06-25,29.9,29.8,24.3931,29.69,28.1104,UP,1
