ticker,IRM US Equity,IRM US Equity,IRM US Equity,IRM US Equity,IRM US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2001-08-03,10.988,11.3433,9.5132,11.0489,10.6787,DOWN,0
2001-08-06,10.9728,11.0134,9.5252,11.1119,10.6945,DOWN,0
2001-08-07,10.7596,11.0007,9.5347,11.0489,10.705,UP,1
2001-08-08,10.8688,10.7977,9.5445,10.989,10.7194,DOWN,0
2001-08-09,10.7825,10.8738,9.5554,10.8743,10.7294,DOWN,0
2001-08-10,10.7647,10.7825,9.5654,10.8297,10.7361,DOWN,0
2001-08-13,10.7343,10.7723,9.5755,10.782,10.7418,DOWN,0
2001-08-14,10.7013,10.7977,9.5859,10.7703,10.7459,UP,1
2001-08-15,10.8104,10.7089,9.5957,10.7586,10.7533,DOWN,0
2001-08-16,10.7977,10.785,9.6053,10.7617,10.7603,DOWN,0
2001-08-17,10.7495,10.8611,9.6162,10.7586,10.7636,DOWN,0
2001-08-20,10.6962,10.7495,9.6279,10.751,10.7649,UP,1
2001-08-21,10.8611,10.6835,9.6402,10.783,10.7723,DOWN,0
2001-08-22,10.5693,10.8485,9.6514,10.7348,10.7731,UP,1
2001-08-23,10.6454,10.5947,9.6633,10.7043,10.7771,UP,1
2001-08-24,10.7596,10.6328,9.6759,10.7063,10.7806,DOWN,0
2001-08-27,10.7343,10.7343,9.6873,10.714,10.7847,UP,1
2001-08-28,10.7596,10.6962,9.6992,10.6937,10.7913,UP,1
2001-08-29,10.7723,10.7596,9.7115,10.7343,10.7981,UP,1
2001-08-30,10.7825,10.7723,9.7238,10.7617,10.8052,UP,1
2001-08-31,10.8231,10.7825,9.7366,10.7744,10.8097,DOWN,0
2001-09-04,10.7216,10.8231,9.7484,10.7718,10.8148,DOWN,0
2001-09-05,10.5059,10.7089,9.7596,10.7211,10.8148,DOWN,0
2001-09-06,10.4678,10.5312,9.7703,10.6602,10.811,DOWN,0
2001-09-07,10.379,10.4424,9.7818,10.5795,10.8017,DOWN,0
2001-09-10,10.3663,10.379,9.792,10.4881,10.7887,UP,1
2001-09-17,10.6657,10.9119,9.8039,10.4769,10.7744,UP,1
2001-09-18,10.7165,10.6581,9.8159,10.5191,10.7699,DOWN,0
2001-09-19,10.5059,10.7343,9.8269,10.5267,10.7605,DOWN,0
2001-09-20,10.4297,10.5059,9.8371,10.5368,10.7519,DOWN,0
2001-09-21,10.3155,10.3663,9.8466,10.5267,10.7443,UP,1
2001-09-24,10.3663,10.3155,9.8563,10.4668,10.7333,UP,1
2001-09-25,10.4069,10.4044,9.8678,10.4049,10.7248,DOWN,0
2001-09-26,10.2927,10.4094,9.881,10.3622,10.7155,UP,1
2001-09-27,10.3029,10.2927,9.8937,10.3369,10.7072,UP,1
