ticker,VMC US Equity,VMC US Equity,VMC US Equity,VMC US Equity,VMC US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2021-02-03,152.35,151.82,130.4851,150.876,148.451,UP,1
2021-02-04,153.15,152.79,130.7208,151.714,148.7262,DOWN,0
2021-02-05,152.94,154.86,130.961,152.474,149.008,UP,1
2021-02-08,154.18,154.25,131.2259,152.91,149.193,UP,1
2021-02-09,155.65,154.36,131.494,153.654,149.4256,UP,1
2021-02-10,159.24,156.68,131.7488,155.032,149.7638,UP,1
2021-02-11,160.06,159.6,131.9953,156.414,150.172,UP,1
2021-02-12,164.5,159.03,132.2345,158.726,150.595,DOWN,0
2021-02-16,162.45,160.82,132.4819,160.38,151.0272,DOWN,0
2021-02-17,161.88,162.0,132.7379,161.626,151.3734,DOWN,0
2021-02-18,160.62,161.35,132.9824,161.902,151.657,UP,1
2021-02-19,164.38,161.85,133.2641,162.766,152.023,DOWN,0
2021-02-22,161.99,163.38,133.5725,162.264,152.3738,UP,1
2021-02-23,165.99,164.18,133.8915,162.972,152.8586,UP,1
2021-02-24,174.15,165.57,134.2567,165.426,153.5864,DOWN,0
2021-02-25,168.28,174.47,134.6126,166.958,154.1744,DOWN,0
2021-02-26,166.99,167.48,134.9539,167.48,154.8054,UP,1
2021-03-01,171.96,169.73,135.3484,169.474,155.4958,DOWN,0
2021-03-02,168.94,172.36,135.7088,170.064,156.1208,UP,1
2021-03-03,170.26,168.94,136.0798,169.286,156.7352,DOWN,0
2021-03-04,166.0,169.73,136.4036,168.83,157.1508,UP,1
2021-03-05,167.42,168.4,136.7454,168.916,157.6084,UP,1
2021-03-08,169.1,167.69,137.0835,168.344,158.125,DOWN,0
2021-03-09,167.82,169.66,137.4195,168.12,158.6272,UP,1
2021-03-10,171.34,168.08,137.777,168.336,159.1896,UP,1
2021-03-11,171.93,173.34,138.113,169.522,159.7048,UP,1
2021-03-12,171.94,172.07,138.4151,170.426,160.2882,UP,1
2021-03-15,172.49,171.96,138.7257,171.104,160.8086,DOWN,0
2021-03-16,168.56,173.0,139.0269,171.252,161.2136,UP,1
2021-03-17,168.63,168.81,139.3334,170.71,161.6556,DOWN,0
2021-03-18,168.05,169.07,139.6207,169.934,162.0652,DOWN,0
2021-03-19,165.27,167.21,139.8554,168.6,162.1554,DOWN,0
2021-03-22,162.04,164.55,140.0624,166.51,162.156,DOWN,0
2021-03-23,158.41,161.39,140.2338,164.48,162.0676,UP,1
2021-03-24,160.55,160.32,140.4162,162.864,162.0186,UP,1
2021-03-25,165.59,160.6,140.654,162.372,162.0064,UP,1
2021-03-26,170.34,168.39,140.9254,163.386,162.1812,UP,1
2021-03-29,170.9,171.56,141.2344,165.158,162.3868,UP,1
2021-03-30,172.23,170.5,141.5351,167.922,162.613,DOWN,0
2021-03-31,168.75,175.0,141.8127,169.562,162.8108,DOWN,0
2021-04-01,166.39,168.0,142.0289,169.722,162.9262,UP,1
2021-04-05,170.29,169.81,142.2854,169.712,163.1548,UP,1
2021-04-06,170.63,170.0,142.5334,169.658,163.4,DOWN,0
2021-04-07,168.91,171.53,142.7777,168.994,163.642,UP,1
2021-04-08,170.35,167.34,143.0309,169.314,164.039,UP,1
2021-04-09,172.53,170.74,143.2954,170.542,164.569,UP,1
2021-04-12,174.35,173.37,143.5768,171.354,165.0768,DOWN,0
2021-04-13,172.64,173.22,143.8555,171.756,165.5468,UP,1
2021-04-14,174.08,172.1,144.1619,172.79,165.9884,UP,1
2021-04-15,174.75,174.88,144.4555,173.67,166.4448,UP,1
2021-04-16,175.67,176.12,144.7546,174.298,166.9112,UP,1
2021-04-19,176.74,175.67,145.0585,174.776,167.383,DOWN,0
