ticker,SGEN US Equity,SGEN US Equity,SGEN US Equity,SGEN US Equity,SGEN US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2015-01-21,31.48,31.64,31.39,34.0099,36.8467,UP,1
2015-01-22,32.32,31.75,31.486,33.9353,36.8061,DOWN,0
2015-01-23,32.3,32.22,31.838,33.8433,36.7621,UP,1
2015-01-26,33.02,32.37,32.168,33.7655,36.7159,UP,1
2015-01-27,33.2,32.67,32.464,33.6735,36.685,DOWN,0
2015-01-28,31.735,33.45,32.515,33.5704,36.6579,DOWN,0
2015-01-29,31.5,31.76,32.351,33.4932,36.6305,DOWN,0
2015-01-30,31.16,31.37,32.123,33.3994,36.6012,DOWN,0
2015-02-02,31.04,31.16,31.727,33.2642,36.5635,UP,1
2015-02-03,31.37,31.16,31.361,33.1668,36.5262,DOWN,0
2015-02-04,31.2,31.3,31.254,33.0588,36.4847,UP,1
2015-02-05,32.57,31.44,31.468,32.9732,36.4432,DOWN,0
2015-02-06,32.55,32.51,31.746,32.8772,36.407,UP,1
2015-02-09,33.05,32.48,32.148,32.8052,36.3756,DOWN,0
2015-02-10,32.45,33.21,32.364,32.7184,36.3506,DOWN,0
2015-02-11,31.04,32.12,32.332,32.6104,36.3195,UP,1
2015-02-12,31.21,31.18,32.06,32.5156,36.2813,UP,1
2015-02-13,31.57,31.3,31.864,32.3998,36.2468,UP,1
2015-02-17,32.51,31.61,31.756,32.3018,36.215,UP,1
2015-02-18,34.14,32.57,32.094,32.2546,36.2132,UP,1
2015-02-19,34.83,34.26,32.852,32.2292,36.2118,UP,1
2015-02-20,34.96,34.69,33.602,32.2578,36.2161,DOWN,0
2015-02-23,34.37,35.05,34.162,32.238,36.2169,DOWN,0
2015-02-24,33.76,34.24,34.412,32.227,36.2172,UP,1
2015-02-25,36.63,33.8,34.91,32.2848,36.2236,DOWN,0
2015-02-26,36.43,36.72,35.23,32.3684,36.2209,DOWN,0
2015-02-27,36.25,36.76,35.488,32.4652,36.2262,DOWN,0
2015-03-02,36.0,36.61,35.814,32.548,36.2264,DOWN,0
2015-03-03,35.15,35.87,36.092,32.6082,36.2263,DOWN,0
2015-03-04,35.12,34.92,35.79,32.6498,36.2307,UP,1
2015-03-05,35.6,35.95,35.624,32.704,36.2369,DOWN,0
2015-03-06,35.32,35.6,35.438,32.7574,36.2465,DOWN,0
2015-03-09,34.93,35.35,35.224,32.8312,36.2571,UP,1
2015-03-10,37.16,34.63,35.626,32.9524,36.2758,DOWN,0
2015-03-11,36.41,37.59,35.884,33.0406,36.292,UP,1
2015-03-12,38.11,36.64,36.386,33.1488,36.3068,UP,1
2015-03-13,38.31,37.95,36.984,33.2694,36.3262,UP,1
2015-03-16,39.125,38.64,37.823,33.4093,36.3491,DOWN,0
2015-03-17,38.9,38.77,38.171,33.5365,36.3768,DOWN,0
2015-03-18,38.89,38.63,38.667,33.6533,36.3994,UP,1
2015-03-19,39.69,39.04,38.983,33.8181,36.4202,DOWN,0
2015-03-20,38.86,39.93,39.093,33.9523,36.4325,DOWN,0
2015-03-23,37.66,38.59,38.8,34.0707,36.4328,UP,1
2015-03-24,37.69,37.82,38.558,34.2136,36.434,DOWN,0
2015-03-25,35.19,37.59,37.818,34.2768,36.4168,UP,1
2015-03-26,35.72,34.85,37.024,34.359,36.395,UP,1
2015-03-27,36.22,35.71,36.496,34.4466,36.3755,DOWN,0
2015-03-30,36.1,36.67,36.184,34.5578,36.3555,DOWN,0
2015-03-31,35.35,36.09,35.716,34.6374,36.3318,DOWN,0
2015-04-01,35.05,35.14,35.688,34.704,36.3048,UP,1
2015-04-02,35.375,35.4,35.619,34.7819,36.2853,UP,1
2015-04-06,35.51,35.25,35.477,34.8457,36.2643,UP,1
2015-04-07,36.01,35.19,35.459,34.9199,36.2398,DOWN,0
