ticker,PRU US Equity,PRU US Equity,PRU US Equity,PRU US Equity,PRU US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2020-05-21,57.67,56.04,55.852,53.3306,80.0273,DOWN,0
2020-05-22,56.28,56.6,56.522,53.53,79.8829,UP,1
2020-05-26,60.46,59.49,57.19,53.6808,79.755,UP,1
2020-05-27,63.2,64.0,58.834,54.0778,79.6469,DOWN,0
2020-05-28,61.85,64.27,59.892,54.3794,79.5426,DOWN,0
2020-05-29,60.96,60.68,60.55,54.675,79.4295,DOWN,0
2020-06-01,60.88,60.78,61.47,55.0052,79.3319,UP,1
2020-06-02,60.96,59.76,61.57,55.3792,79.2362,UP,1
2020-06-03,63.71,62.96,61.672,55.869,79.1446,UP,1
2020-06-04,65.46,63.33,62.394,56.2288,79.0608,UP,1
2020-06-05,69.23,70.98,64.048,56.5812,79.0037,UP,1
2020-06-08,74.73,71.37,66.818,56.9828,78.9704,DOWN,0
2020-06-09,71.76,72.0,68.978,57.3572,78.9188,DOWN,0
2020-06-10,67.88,71.0,69.812,57.6398,78.8625,DOWN,0
2020-06-11,60.35,63.1,68.79,57.804,78.7662,UP,1
2020-06-12,63.16,63.77,67.576,58.1272,78.6906,UP,1
2020-06-15,64.54,60.16,65.538,58.4854,78.6213,UP,1
2020-06-16,65.8,67.92,64.346,58.8796,78.5527,DOWN,0
2020-06-17,63.82,66.23,63.534,59.1732,78.4713,UP,1
2020-06-18,64.04,63.1,64.272,59.4128,78.3983,DOWN,0
2020-06-19,63.09,65.8,64.258,59.5742,78.3155,DOWN,0
2020-06-22,62.54,62.5,63.858,59.651,78.2186,UP,1
2020-06-23,63.18,63.69,63.334,59.7546,78.1237,DOWN,0
2020-06-24,59.7,62.01,62.51,59.7764,78.0012,UP,1
2020-06-25,60.45,59.0,61.792,59.895,77.8699,DOWN,0
2020-06-26,58.1,59.34,60.794,60.0092,77.7203,UP,1
2020-06-29,59.2,58.83,60.126,60.0612,77.5752,UP,1
2020-06-30,60.9,58.74,59.67,60.1942,77.4306,DOWN,0
2020-07-01,58.93,61.02,59.516,60.337,77.2797,UP,1
2020-07-02,59.3,60.71,59.286,60.4508,77.1348,UP,1
2020-07-06,61.31,61.33,59.928,60.6122,76.9954,DOWN,0
2020-07-07,59.39,60.26,59.966,60.6844,76.8473,UP,1
2020-07-08,60.77,59.63,59.94,60.7146,76.7058,DOWN,0
2020-07-09,58.03,60.56,59.76,60.6622,76.5476,UP,1
2020-07-10,60.54,58.15,60.008,60.5832,76.4044,UP,1
2020-07-13,60.97,61.53,59.94,60.5552,76.2604,UP,1
2020-07-14,61.91,60.88,60.444,60.6026,76.1213,UP,1
2020-07-15,63.93,63.4,61.076,60.7036,75.9901,UP,1
2020-07-16,64.25,63.23,62.32,60.8136,75.8616,DOWN,0
2020-07-17,64.14,64.24,63.04,61.014,75.7459,DOWN,0
2020-07-20,63.02,63.73,63.45,61.14,75.6356,UP,1
2020-07-21,64.99,63.64,64.066,61.2602,75.5329,UP,1
2020-07-22,65.47,64.25,64.374,61.4286,75.4235,UP,1
2020-07-23,65.63,65.27,64.65,61.656,75.3167,DOWN,0
2020-07-24,64.91,66.01,64.804,61.9272,75.2165,DOWN,0
2020-07-27,64.22,64.49,65.044,62.144,75.1073,DOWN,0
2020-07-28,64.08,64.02,64.862,62.367,74.9893,UP,1
2020-07-29,65.48,64.07,64.864,62.5342,74.8696,DOWN,0
2020-07-30,63.66,63.62,64.47,62.7078,74.7412,DOWN,0
2020-07-31,63.37,63.6,64.162,62.844,74.6083,UP,1
2020-08-03,64.43,63.69,64.204,62.9792,74.4832,DOWN,0
2020-08-04,63.28,63.95,64.044,63.1192,74.3527,UP,1
2020-08-05,67.2,65.0,64.388,63.254,74.2403,DOWN,0
2020-08-06,64.65,66.35,64.586,63.283,74.1091,UP,1
2020-08-07,67.96,64.25,65.504,63.4052,73.9929,UP,1
2020-08-10,69.54,68.15,66.526,63.5768,73.8827,UP,1
2020-08-11,70.74,71.32,68.018,63.774,73.7801,DOWN,0
2020-08-12,69.91,72.5,68.56,63.953,73.6709,DOWN,0
2020-08-13,69.54,69.0,69.538,64.0696,73.553,UP,1
2020-08-14,70.59,69.0,70.064,64.1722,73.441,DOWN,0
2020-08-17,69.45,70.33,70.046,64.1766,73.3267,DOWN,0
2020-08-18,68.57,69.64,69.612,64.0534,73.2138,UP,1
2020-08-19,69.07,68.43,69.444,63.9996,73.0943,DOWN,0
2020-08-20,68.13,68.25,69.162,64.0046,72.9625,DOWN,0
2020-08-21,67.41,68.04,68.526,64.1458,72.8393,UP,1
2020-08-24,69.09,67.13,68.454,64.2644,72.732,UP,1
2020-08-25,69.1,69.8,68.56,64.3556,72.6183,DOWN,0
2020-08-26,68.29,69.02,68.404,64.4054,72.4953,UP,1
2020-08-27,69.36,68.32,68.65,64.5162,72.3808,UP,1
