ticker,KLAC US Equity,KLAC US Equity,KLAC US Equity,KLAC US Equity,KLAC US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2001-05-18,55.46,53.66,41.7461,52.784,45.6855,UP,1
2001-05-21,60.59,55.5,41.8257,54.956,46.0636,DOWN,0
2001-05-22,59.08,60.2,41.8961,56.946,46.4202,DOWN,0
2001-05-23,55.52,58.08,41.9365,57.076,46.6543,UP,1
2001-05-24,57.07,55.09,41.9931,57.544,46.897,DOWN,0
2001-05-25,56.61,58.05,42.0449,57.774,47.2054,DOWN,0
2001-05-29,53.8,56.3,42.102,56.416,47.5102,DOWN,0
2001-05-30,49.58,52.01,42.1265,54.516,47.6668,UP,1
2001-05-31,51.62,48.5,42.1296,53.736,47.9317,UP,1
2001-06-01,52.73,53.05,42.1295,52.868,48.1875,DOWN,0
2001-06-04,52.2,53.0,42.1242,51.986,48.319,UP,1
2001-06-05,55.97,52.33,42.13,52.42,48.5397,UP,1
2001-06-06,57.0,55.75,42.1397,53.904,48.7809,UP,1
2001-06-07,60.65,56.64,42.1792,55.71,49.0864,DOWN,0
2001-06-08,58.75,60.5,42.1948,56.914,49.4114,DOWN,0
2001-06-11,56.86,58.16,42.1775,57.846,49.7149,UP,1
2001-06-12,57.81,54.5,42.1725,58.214,50.0836,DOWN,0
2001-06-13,57.09,58.0,42.1614,58.232,50.5291,DOWN,0
2001-06-14,53.87,55.8,42.1248,56.876,50.8978,UP,1
2001-06-15,54.64,52.4,42.0849,56.054,51.3356,UP,1
2001-06-18,55.5,55.6,42.0365,55.782,51.7018,DOWN,0
2001-06-19,54.49,57.7,41.9808,55.118,52.0716,UP,1
2001-06-20,54.94,52.79,41.9214,54.688,52.4902,DOWN,0
2001-06-21,54.05,53.7,41.8673,54.724,52.8344,UP,1
