ticker,AVGO US Equity,AVGO US Equity,AVGO US Equity,AVGO US Equity,AVGO US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2014-12-19,100.15,101.74,99.266,88.6188,76.2632,UP,1
2014-12-22,101.41,101.0,99.906,89.2198,76.4563,DOWN,0
2014-12-23,100.78,102.34,100.596,89.8546,76.6501,DOWN,0
2014-12-24,100.72,100.92,100.942,90.4286,76.8378,DOWN,0
2014-12-26,100.62,100.97,100.736,90.99,77.0275,UP,1
2014-12-29,101.29,100.62,100.964,91.5038,77.2205,DOWN,0
2014-12-30,100.85,101.07,100.852,91.9778,77.4077,DOWN,0
2014-12-31,100.59,101.1,100.814,92.4298,77.5916,DOWN,0
2015-01-02,100.09,100.93,100.688,92.784,77.77,DOWN,0
2015-01-05,98.49,100.07,100.262,93.1366,77.9359,DOWN,0
2015-01-06,96.25,98.95,99.254,93.434,78.0976,UP,1
2015-01-07,98.85,97.05,98.854,93.774,78.2761,UP,1
2015-01-08,103.79,100.53,99.494,94.2184,78.475,UP,1
2015-01-09,104.895,104.47,100.455,94.6323,78.6855,DOWN,0
2015-01-12,103.16,105.07,101.389,94.9979,78.8874,DOWN,0
2015-01-13,102.58,103.78,102.655,95.4017,79.0797,UP,1
2015-01-14,103.39,101.11,103.563,95.7445,79.2746,DOWN,0
2015-01-15,101.32,103.56,103.069,96.0441,79.456,UP,1
2015-01-16,103.82,100.69,102.854,96.4133,79.6519,UP,1
2015-01-20,104.87,103.69,103.196,96.7765,79.8566,UP,1
2015-01-21,105.38,104.33,103.756,97.1315,80.0745,DOWN,0
2015-01-22,105.2,105.98,104.118,97.5347,80.2987,UP,1
2015-01-23,106.98,105.03,105.25,97.9561,80.5327,DOWN,0
2015-01-26,106.73,106.74,105.832,98.3675,80.754,DOWN,0
2015-01-27,104.79,105.07,105.816,98.7223,80.9787,UP,1
2015-01-28,105.0,107.12,105.74,99.0734,81.211,UP,1
2015-01-29,106.53,104.63,106.006,99.4237,81.4496,DOWN,0
2015-01-30,102.88,105.29,105.186,99.7109,81.6693,DOWN,0
2015-02-02,102.42,103.25,104.324,99.9311,81.8848,UP,1
2015-02-03,103.2,102.5,104.006,100.2101,82.0964,UP,1
2015-02-04,104.8,102.93,103.966,100.5075,82.3109,UP,1
2015-02-05,106.2,104.74,103.9,100.8273,82.5247,DOWN,0
2015-02-06,104.74,106.27,104.272,101.0993,82.7254,DOWN,0
2015-02-09,102.24,103.95,104.236,101.3211,82.9097,UP,1
2015-02-10,107.04,103.04,105.004,101.5863,83.1332,UP,1
2015-02-11,107.94,106.79,105.632,101.8771,83.369,UP,1
2015-02-12,109.7,108.8,106.332,102.2521,83.6129,UP,1
2015-02-13,110.15,110.0,107.414,102.6111,83.8462,UP,1
2015-02-17,110.87,110.2,109.14,102.9259,84.0831,DOWN,0
2015-02-18,110.0,110.32,109.732,103.0645,84.3117,UP,1
2015-02-19,110.9,110.0,110.324,103.2027,84.545,UP,1
2015-02-20,112.06,111.43,110.796,103.4297,84.7686,UP,1
2015-02-23,112.85,113.0,111.336,103.6339,84.9988,UP,1
2015-02-24,113.18,113.5,111.798,103.9125,85.2249,DOWN,0
2015-02-25,112.68,113.29,112.334,104.1551,85.4513,UP,1
2015-02-26,129.25,123.24,116.004,104.7561,85.7519,DOWN,0
2015-02-27,127.62,128.7,119.116,105.3443,86.0462,UP,1
2015-03-02,129.02,127.21,122.35,105.9781,86.3487,DOWN,0
2015-03-03,128.22,128.24,125.358,106.5627,86.6502,UP,1
2015-03-04,129.4,127.69,128.702,107.1177,86.9548,UP,1
2015-03-05,130.57,129.36,128.966,107.7261,87.266,DOWN,0
2015-03-06,127.89,130.0,129.02,108.2557,87.5679,DOWN,0
2015-03-09,127.12,127.79,128.64,108.7825,87.8614,DOWN,0
2015-03-10,125.12,125.72,128.02,109.2705,88.1436,DOWN,0
2015-03-11,124.66,125.3,127.072,109.7513,88.4142,UP,1
2015-03-12,126.12,122.88,126.182,110.2479,88.6901,DOWN,0
2015-03-13,125.0,125.71,125.604,110.7309,88.9646,UP,1
2015-03-16,129.865,126.87,126.153,111.3164,89.26,DOWN,0
2015-03-17,129.1,128.81,126.949,111.8966,89.5521,UP,1
2015-03-18,130.44,128.66,128.105,112.5356,89.8461,UP,1
2015-03-19,132.04,130.5,129.289,113.2514,90.1491,UP,1
2015-03-20,133.29,133.43,130.947,113.9402,90.4575,UP,1
2015-03-23,134.44,135.0,131.862,114.5532,90.7703,DOWN,0
2015-03-24,133.12,134.97,132.666,115.1177,91.0778,DOWN,0
2015-03-25,124.43,132.62,131.464,115.5431,91.341,UP,1
2015-03-26,124.71,120.26,129.998,115.9857,91.6052,UP,1
2015-03-27,128.21,124.99,128.982,116.4821,91.8875,UP,1
2015-03-30,130.55,129.83,128.204,117.0667,92.1815,DOWN,0
2015-03-31,126.98,129.31,126.976,117.5299,92.4593,DOWN,0
2015-04-01,125.63,126.66,127.216,117.9451,92.733,DOWN,0
2015-04-02,125.02,126.11,127.278,118.3379,93.0007,UP,1
2015-04-06,125.825,123.37,126.801,118.7504,93.2738,DOWN,0
2015-04-07,125.65,126.51,125.821,119.1238,93.5474,UP,1
2015-04-08,126.79,125.47,125.783,119.525,93.8235,UP,1
2015-04-09,127.22,125.84,126.101,119.9736,94.1034,DOWN,0
2015-04-10,126.82,127.56,126.461,120.41,94.3841,DOWN,0
2015-04-13,125.345,127.25,126.365,120.7863,94.6527,DOWN,0
2015-04-14,123.98,125.06,126.031,121.2083,94.9178,UP,1
2015-04-15,125.9,124.77,125.853,121.6779,95.1926,DOWN,0
2015-04-16,125.33,125.07,125.475,122.1205,95.4589,DOWN,0
