ticker,ZBH US Equity,ZBH US Equity,ZBH US Equity,ZBH US Equity,ZBH US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2002-11-26,37.0102,36.3796,38.1142,38.6846,34.8863,UP,1
2002-11-27,37.2527,37.0296,37.4564,38.6996,34.9054,DOWN,0
2002-11-29,36.5154,37.2042,36.9869,38.6856,34.9197,DOWN,0
2002-12-02,36.3408,36.5445,36.6998,38.6557,34.9326,UP,1
2002-12-03,38.0288,36.2341,37.0296,38.6577,34.9529,UP,1
2002-12-04,38.3199,38.0288,37.2915,38.7079,34.9724,DOWN,0
2002-12-05,38.0579,38.3199,37.4526,38.713,34.9918,UP,1
2002-12-06,38.1258,37.4953,37.7746,38.7211,35.0122,UP,1
2002-12-09,38.2325,38.1258,38.153,38.7324,35.0332,UP,1
2002-12-10,38.8631,38.4654,38.3199,38.7657,35.0545,UP,1
2002-12-11,39.387,38.8728,38.5333,38.8038,35.0773,DOWN,0
2002-12-12,38.7176,39.0475,38.6652,38.8263,35.0974,DOWN,0
2002-12-13,38.0773,38.7079,38.6555,38.8327,35.1141,UP,1
2002-12-16,38.2131,37.7863,38.6516,38.8523,35.1288,DOWN,0
2002-12-17,37.6408,37.8348,38.4072,38.8598,35.1478,UP,1
2002-12-18,38.4169,37.6408,38.2131,38.8821,35.1739,UP,1
2002-12-19,38.5333,38.2228,38.1763,38.9035,35.2053,UP,1
2002-12-20,38.8437,38.5333,38.3296,38.9285,35.2359,UP,1
2002-12-23,39.5713,38.7661,38.6012,38.9656,35.2664,DOWN,0
2002-12-24,39.3288,39.5325,38.9388,38.9605,35.2961,DOWN,0
2002-12-26,39.096,39.3288,39.0746,38.9695,35.3247,DOWN,0
2002-12-27,38.7564,39.0863,39.1192,38.9685,35.3512,UP,1
2002-12-30,39.4064,38.4654,39.2318,38.9407,35.3758,UP,1
2002-12-31,40.2795,39.4064,39.3734,38.9421,35.4082,DOWN,0
2003-01-02,39.096,40.4541,39.3268,38.9223,35.433,UP,1
2003-01-03,39.193,39.29,39.3462,38.9046,35.4571,UP,1
2003-01-06,39.4452,39.2415,39.484,38.892,35.4813,DOWN,0
2003-01-07,39.0572,39.2027,39.4142,38.8979,35.5109,DOWN,0
2003-01-08,38.8049,39.0572,39.1192,38.8788,35.5451,UP,1
