ticker,LHX US Equity,LHX US Equity,LHX US Equity,LHX US Equity,LHX US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-12-13,14.9393,14.9983,14.6595,14.9275,13.6945,DOWN,0
2000-12-14,14.4374,14.8802,14.6511,14.9098,13.7258,DOWN,0
2000-12-15,14.0536,14.2307,14.6413,14.7031,13.7536,DOWN,0
2000-12-18,14.024,14.0831,14.6297,14.4846,13.7949,DOWN,0
2000-12-19,13.4631,14.024,14.6181,14.1835,13.8209,DOWN,0
2000-12-20,13.0202,13.1088,14.6046,13.7996,13.8487,DOWN,0
2000-12-21,12.9907,12.9907,14.5845,13.5103,13.8912,UP,1
2000-12-22,13.6697,12.9907,14.5663,13.4335,13.9502,UP,1
2000-12-26,14.0536,13.6402,14.5471,13.4395,14.0146,UP,1
2000-12-27,14.3783,14.1126,14.5347,13.6225,14.0849,UP,1
2000-12-28,14.4964,14.1717,14.5176,13.9177,14.1646,DOWN,0
2000-12-29,14.4669,14.4964,14.4978,14.213,14.2508,DOWN,0
2001-01-02,13.5221,14.3783,14.4779,14.1835,14.3045,UP,1
2001-01-03,14.5259,13.404,14.4646,14.2779,14.3695,UP,1
2001-01-04,14.8212,14.6736,14.454,14.3665,14.4391,DOWN,0
2001-01-05,14.024,14.644,14.4357,14.272,14.4911,DOWN,0
2001-01-08,13.9059,14.024,14.4131,14.1598,14.52,DOWN,0
2001-01-09,13.1383,13.9059,14.3895,14.0831,14.5106,UP,1
2001-01-10,13.2564,12.5183,14.3712,13.8292,14.4899,UP,1
2001-01-11,13.6402,13.3745,14.357,13.593,14.4805,DOWN,0
2001-01-12,13.345,13.6402,14.345,13.4572,14.448,DOWN,0
2001-01-16,13.0497,13.345,14.331,13.2859,14.412,UP,1
2001-01-17,13.0793,13.1088,14.3148,13.2741,14.3712,UP,1
2001-01-18,13.345,13.2269,14.3059,13.2918,14.3299,DOWN,0
2001-01-19,12.4002,13.345,14.2965,13.0438,14.2821,UP,1
2001-01-22,12.9907,12.5183,14.2881,12.973,14.2496,UP,1
2001-01-23,13.1974,12.9907,14.2808,13.0025,14.2242,DOWN,0
2001-01-24,13.1383,13.1678,14.2714,13.0143,14.1941,UP,1
2001-01-25,13.1974,13.1974,14.2652,12.9848,14.1687,DOWN,0
