ticker,WRB US Equity,WRB US Equity,WRB US Equity,WRB US Equity,WRB US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2018-07-26,33.8222,33.1467,31.9278,33.248,33.3617,DOWN,0
2018-07-27,33.5156,33.8978,31.9457,33.3164,33.3524,DOWN,0
2018-07-30,33.5067,33.4667,31.9637,33.3796,33.3407,UP,1
2018-07-31,33.6933,33.56,31.9828,33.5156,33.3343,UP,1
2018-08-01,33.7067,33.6933,32.0015,33.6489,33.3208,DOWN,0
2018-08-02,33.68,33.5111,32.0183,33.6204,33.31,UP,1
2018-08-03,33.7733,33.6711,32.0351,33.672,33.3028,DOWN,0
2018-08-06,33.7467,33.7511,32.051,33.72,33.2949,DOWN,0
2018-08-07,33.5289,33.7644,32.0643,33.6871,33.2836,UP,1
2018-08-08,33.5956,33.5156,32.0764,33.6649,33.2862,UP,1
2018-08-09,33.8578,33.5822,32.0901,33.7004,33.2793,DOWN,0
2018-08-10,33.7644,33.6267,32.1031,33.6987,33.2748,UP,1
2018-08-13,33.7689,33.7911,32.1157,33.7031,33.2655,UP,1
2018-08-14,33.96,33.8089,32.1287,33.7893,33.2549,UP,1
2018-08-15,34.0,33.88,32.1441,33.8702,33.2497,UP,1
2018-08-16,34.3244,34.0978,32.163,33.9636,33.2446,UP,1
2018-08-17,34.4178,34.3156,32.1827,34.0942,33.2379,UP,1
2018-08-20,34.6844,34.4267,32.2038,34.2773,33.2355,UP,1
2018-08-21,34.7111,34.6889,32.2236,34.4276,33.2366,DOWN,0
2018-08-22,34.2711,34.7022,32.2411,34.4818,33.2376,UP,1
2018-08-23,34.5111,34.3111,32.2594,34.5191,33.2474,UP,1
2018-08-24,34.7156,34.5511,32.2795,34.5787,33.2725,UP,1
2018-08-27,34.8089,34.8178,32.3009,34.6036,33.2988,UP,1
2018-08-28,35.0311,34.8978,32.3234,34.6676,33.3392,DOWN,0
2018-08-29,34.92,35.0578,32.3453,34.7973,33.3729,DOWN,0
2018-08-30,34.7289,34.8933,32.3675,34.8409,33.4077,UP,1
2018-08-31,34.7822,34.6489,32.3908,34.8542,33.4506,UP,1
2018-09-04,35.0044,34.7822,32.4145,34.8933,33.4953,DOWN,0
2018-09-05,34.96,35.0089,32.4402,34.8791,33.5396,UP,1
2018-09-06,35.0089,34.9778,32.4663,34.8969,33.5899,DOWN,0
2018-09-07,34.9111,34.9822,32.4921,34.9333,33.6493,DOWN,0
2018-09-10,34.7822,35.0222,32.5171,34.9333,33.7039,UP,1
2018-09-11,34.9644,34.6756,32.5444,34.9253,33.7596,DOWN,0
2018-09-12,34.9156,34.9067,32.5718,34.9164,33.8188,UP,1
2018-09-13,35.4178,34.9778,32.6014,34.9982,33.8857,UP,1
2018-09-14,35.7467,35.4667,32.6308,35.1653,33.9575,DOWN,0
2018-09-17,35.3778,35.68,32.6555,35.2844,34.0211,DOWN,0
2018-09-18,35.1067,35.08,32.6774,35.3129,34.0688,DOWN,0
2018-09-19,34.7733,35.1333,32.6968,35.2844,34.1081,UP,1
2018-09-20,35.0444,34.8933,32.717,35.2098,34.1519,DOWN,0
2018-09-21,35.0267,34.4044,32.7378,35.0658,34.2001,DOWN,0
2018-09-24,34.7333,35.0267,32.7565,34.9369,34.2426,UP,1
2018-09-25,35.2533,34.8089,32.7775,34.9662,34.2861,DOWN,0
2018-09-26,35.08,35.3689,32.7965,35.0276,34.3317,UP,1
2018-09-27,35.1689,35.0756,32.8157,35.0524,34.3718,UP,1
2018-09-28,35.5244,35.1067,32.8355,35.152,34.4209,DOWN,0
2018-10-01,34.88,35.56,32.8532,35.1813,34.455,UP,1
2018-10-02,35.0844,34.8889,32.8725,35.1476,34.4929,UP,1
2018-10-03,35.1822,35.2133,32.8901,35.168,34.5363,UP,1
2018-10-04,35.24,35.1378,32.9095,35.1822,34.5803,DOWN,0
2018-10-05,35.0044,35.2178,32.9288,35.0782,34.6039,UP,1
2018-10-08,35.1333,34.8844,32.9472,35.1289,34.6363,UP,1
2018-10-09,35.2667,35.0933,32.9664,35.1653,34.6715,DOWN,0
2018-10-10,34.2444,35.1244,32.9801,34.9778,34.6825,DOWN,0
2018-10-11,33.0711,34.1556,32.9879,34.544,34.6698,DOWN,0
2018-10-12,32.7111,33.6044,32.9935,34.0853,34.6504,DOWN,0
2018-10-15,32.64,32.7156,32.9972,33.5867,34.6277,UP,1
2018-10-16,33.2089,32.8178,33.004,33.1751,34.617,DOWN,0
2018-10-17,33.1556,33.1867,33.0142,32.9573,34.6095,DOWN,0
2018-10-18,32.92,33.1067,33.0244,32.9271,34.596,DOWN,0
2018-10-19,32.8578,32.8667,33.0337,32.9564,34.576,DOWN,0
2018-10-22,32.6267,32.9422,33.0425,32.9538,34.5532,DOWN,0
2018-10-23,32.0889,32.24,33.0494,32.7298,34.5196,UP,1
2018-10-24,32.4578,32.7556,33.0588,32.5902,34.4896,UP,1
2018-10-25,32.9378,32.6711,33.0725,32.5938,34.4684,DOWN,0
2018-10-26,32.88,32.7822,33.0845,32.5982,34.4395,UP,1
2018-10-29,33.16,33.2622,33.096,32.7049,34.4143,UP,1
2018-10-30,33.4667,33.3111,33.109,32.9804,34.39,UP,1
2018-10-31,33.7333,33.68,33.1219,33.2356,34.3704,DOWN,0
2018-11-01,33.6711,33.7911,33.1346,33.3822,34.3584,DOWN,0
2018-11-02,33.6178,33.9022,33.1456,33.5298,34.3405,UP,1
2018-11-05,33.9778,33.7467,33.1562,33.6933,34.3258,UP,1
2018-11-06,34.3289,33.92,33.1678,33.8658,34.3162,UP,1
2018-11-07,34.8978,34.4222,33.1828,34.0987,34.3135,UP,1
2018-11-08,35.0133,34.8089,33.1971,34.3671,34.3154,DOWN,0
2018-11-09,34.8489,34.9911,33.2112,34.6133,34.3178,DOWN,0
2018-11-12,34.4089,34.8267,33.2239,34.6996,34.3103,DOWN,0
2018-11-13,34.3067,34.4267,33.2364,34.6951,34.2964,DOWN,0
2018-11-14,33.6533,34.4089,33.2425,34.4462,34.2702,UP,1
2018-11-15,34.3022,33.5422,33.2508,34.304,34.2561,UP,1
2018-11-16,34.8667,34.1778,33.2622,34.3076,34.2552,UP,1
2018-11-19,34.9067,34.8667,33.2788,34.4071,34.2577,DOWN,0
2018-11-20,34.7733,34.7378,33.2953,34.5004,34.2539,DOWN,0
2018-11-21,34.6578,34.8044,33.3127,34.7013,34.2487,DOWN,0
2018-11-23,34.5067,34.4,33.3347,34.7422,34.2305,UP,1
2018-11-26,34.8267,34.7956,33.3576,34.7342,34.2121,DOWN,0
2018-11-27,34.4533,34.4622,33.3788,34.6436,34.1936,UP,1
2018-11-28,34.9556,34.4356,33.4019,34.68,34.1906,DOWN,0
2018-11-29,34.8667,34.8044,33.422,34.7218,34.1924,UP,1
2018-11-30,35.0133,34.8711,33.4421,34.8231,34.1918,DOWN,0
2018-12-03,34.7644,35.1733,33.4607,34.8107,34.1866,DOWN,0
2018-12-04,34.0578,34.7956,33.4783,34.7316,34.1731,DOWN,0
2018-12-06,33.9467,33.6933,33.4944,34.5298,34.1469,DOWN,0
2018-12-07,33.6578,33.8267,33.5098,34.288,34.1185,DOWN,0
2018-12-10,33.4267,33.6533,33.5235,33.9707,34.0836,DOWN,0
2018-12-11,33.2889,33.7289,33.5342,33.6756,34.0389,UP,1
