ticker,MRK US Equity,MRK US Equity,MRK US Equity,MRK US Equity,MRK US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-08-30,64.1883,63.6806,63.0796,65.0174,65.1006,DOWN,0
2000-08-31,63.0778,64.0755,63.052,64.5472,65.0547,DOWN,0
2000-09-01,62.4397,62.3269,63.0156,63.8703,65.0175,DOWN,0
2000-09-05,60.596,60.4656,62.9635,62.9093,64.9186,DOWN,0
2000-09-06,59.5631,61.0296,62.9032,61.973,64.7697,UP,1
2000-09-07,60.6912,58.8863,62.8514,61.2736,64.6433,UP,1
2000-09-08,60.938,60.6912,62.8032,60.8456,64.5264,UP,1
2000-09-11,61.3116,60.9168,62.7502,60.62,64.415,DOWN,0
2000-09-12,61.1037,61.0296,62.6953,60.7215,64.2541,UP,1
2000-09-13,61.6677,61.4809,62.6427,61.1424,64.1072,DOWN,0
2000-09-14,60.9732,61.4245,62.5925,61.1989,63.9335,DOWN,0
2000-09-15,60.6348,60.6912,62.551,61.1382,63.7857,DOWN,0
2000-09-18,60.5784,60.6348,62.5137,60.9916,63.6548,UP,1
2000-09-19,61.6501,60.8604,62.4728,61.1008,63.5364,DOWN,0
2000-09-20,61.2729,62.1013,62.4377,61.0219,63.4138,UP,1
2000-09-21,63.2858,61.3681,62.4239,61.4844,63.3548,UP,1
2000-09-22,66.0496,64.6395,62.4234,62.5674,63.4282,DOWN,0
2000-09-25,65.2036,65.542,62.4282,63.4924,63.5184,DOWN,0
2000-09-26,63.3986,64.4139,62.4229,63.8421,63.5703,UP,1
2000-09-27,65.7676,63.9627,62.4437,64.741,63.6876,UP,1
2000-09-28,65.9932,65.542,62.4592,65.2825,63.8298,UP,1
2000-09-29,67.1777,66.7829,62.4716,65.5081,64.017,DOWN,0
2000-10-02,66.7829,67.0649,62.4922,65.824,64.202,DOWN,0
2000-10-03,66.4445,67.1777,62.5241,66.4332,64.2754,DOWN,0
2000-10-04,66.388,67.5725,62.5554,66.5573,64.3233,UP,1
2000-10-05,67.7982,66.8957,62.5963,66.9183,64.4158,UP,1
2000-10-06,68.6442,67.6854,62.6363,67.2116,64.4829,DOWN,0
2000-10-09,67.9674,68.8134,62.6614,67.4485,64.5286,UP,1
2000-10-10,69.3775,68.1366,62.6902,68.0351,64.6228,DOWN,0
2000-10-11,69.0391,69.4903,62.7207,68.5653,64.6662,UP,1
2000-10-12,69.6595,69.0391,62.761,68.9375,64.7057,DOWN,0
2000-10-13,68.757,69.6031,62.7988,68.9601,64.7232,UP,1
2000-10-16,69.3775,68.1366,62.8425,69.2421,64.7785,UP,1
2000-10-17,70.562,68.5314,62.8902,69.479,64.8715,DOWN,0
2000-10-18,70.562,70.2236,62.9485,69.7836,64.9767,DOWN,0
2000-10-19,69.9979,69.6595,62.9925,69.8513,65.1031,UP,1
2000-10-20,73.8898,71.8029,63.0535,70.8778,65.2909,UP,1
2000-10-23,76.4844,75.1307,63.0977,72.2992,65.5137,UP,1
2000-10-24,77.1049,75.864,63.155,73.6078,65.741,UP,1
2000-10-25,78.797,76.7101,63.2196,75.2548,65.9948,DOWN,0
2000-10-26,78.233,78.0074,63.2748,76.9018,66.2306,UP,1
2000-10-27,79.4175,77.5561,63.3346,78.0074,66.4844,UP,1
2000-10-30,80.0379,79.0791,63.4003,78.7181,66.7856,UP,1
2000-10-31,81.166,80.0379,63.4866,79.5303,67.1117,DOWN,0
2000-11-01,80.9968,81.2224,63.569,79.9702,67.423,DOWN,0
2000-11-02,80.4328,80.4892,63.642,80.4102,67.7276,DOWN,0
2000-11-03,79.3047,79.4175,63.7117,80.3876,68.0051,UP,1
2000-11-06,81.2224,78.2894,63.8008,80.6245,68.3131,DOWN,0
2000-11-07,78.4022,80.7712,63.873,80.0718,68.5731,UP,1
2000-11-08,81.9557,80.32,63.9542,80.2635,68.9273,DOWN,0
2000-11-09,81.6173,81.6737,64.0278,80.5004,69.2759,UP,1
2000-11-10,82.5761,81.166,64.0961,81.1547,69.6659,DOWN,0
2000-11-13,80.6584,81.448,64.1446,81.0419,70.0302,UP,1
2000-11-14,82.1813,80.0379,64.2089,81.7977,70.4619,UP,1
2000-11-15,82.6889,81.8993,64.2755,81.9444,70.9245,DOWN,0
2000-11-16,81.3916,82.6325,64.3383,81.8993,71.3385,DOWN,0
2000-11-17,79.8687,80.884,64.399,81.3578,71.7171,UP,1
2000-11-20,81.5608,79.4739,64.4672,81.5383,72.1221,UP,1
2000-11-21,83.0274,82.0685,64.542,81.7075,72.5605,DOWN,0
2000-11-22,81.8429,81.7865,64.6291,81.5383,72.964,DOWN,0
2000-11-24,80.7148,81.1096,64.7213,81.4029,73.3589,UP,1
2000-11-27,82.6889,81.0532,64.8403,81.967,73.7999,UP,1
2000-11-28,83.5914,82.971,64.9602,82.3731,74.2602,UP,1
2000-11-29,85.622,83.9298,65.0922,82.892,74.7396,DOWN,0
2000-11-30,83.6478,86.4116,65.2149,83.253,75.1871,DOWN,0
2000-12-01,81.7865,82.5761,65.3384,83.4673,75.5572,UP,1
2000-12-04,82.971,79.8687,65.4735,83.5237,75.8956,DOWN,0
2000-12-05,81.2224,83.4786,65.584,83.0499,76.216,DOWN,0
2000-12-06,80.8276,80.4328,65.7033,82.0911,76.5645,UP,1
2000-12-07,82.1813,81.6737,65.8345,81.7977,76.8928,DOWN,0
2000-12-08,80.8276,81.2224,65.967,81.606,77.1895,UP,1
2000-12-11,81.7865,81.2224,66.0982,81.3691,77.4817,UP,1
2000-12-12,82.4633,81.8429,66.2327,81.6173,77.7953,UP,1
2000-12-13,83.0274,82.0121,66.3771,82.0572,78.1269,DOWN,0
2000-12-14,82.1249,82.4069,66.5204,82.0459,78.4417,DOWN,0
2000-12-15,81.5608,82.1249,66.6687,82.1926,78.7169,DOWN,0
2000-12-18,80.602,81.2224,66.8168,81.9557,78.9561,UP,1
2000-12-19,82.5761,79.5303,66.9863,81.9782,79.2483,UP,1
2000-12-20,84.2683,83.9298,67.1512,82.2264,79.5461,DOWN,0
2000-12-21,83.4786,83.9298,67.2928,82.4972,79.8349,DOWN,0
2000-12-22,81.6737,83.817,67.4324,82.5197,80.0752,UP,1
2000-12-26,83.6478,82.0121,67.5934,83.1289,80.373,DOWN,0
2000-12-27,83.6478,83.7042,67.7567,83.3432,80.6584,UP,1
2000-12-28,85.5092,84.4939,67.9144,83.5914,80.9573,DOWN,0
2000-12-29,84.4939,85.7348,68.0436,83.7945,81.236,DOWN,0
2001-01-02,83.9298,84.2683,68.1801,84.2457,81.5146,DOWN,0
2001-01-03,80.4328,83.7606,68.3041,83.6027,81.6455,DOWN,0
2001-01-04,76.7101,79.8123,68.3992,82.2151,81.65,DOWN,0
2001-01-05,75.1871,76.7101,68.4844,80.1507,81.6116,UP,1
2001-01-08,75.3564,75.8076,68.5774,78.3232,81.5428,UP,1
2001-01-09,75.8076,75.7512,68.6778,76.6988,81.4943,DOWN,0
2001-01-10,75.0743,75.864,68.7774,75.6271,81.4074,DOWN,0
2001-01-11,73.6642,75.3564,68.8679,75.0179,81.28,DOWN,0
2001-01-12,73.495,73.8898,68.9466,74.6795,81.1265,UP,1
2001-01-16,75.1871,73.4386,69.0335,74.6457,81.0103,DOWN,0
2001-01-17,73.3258,74.9051,69.1198,74.1493,80.8682,UP,1
2001-01-18,74.7923,73.5514,69.1925,74.0929,80.778,DOWN,0
2001-01-19,74.3975,74.1155,69.2591,74.2396,80.6415,DOWN,0
2001-01-22,74.2847,75.4692,69.3225,74.3975,80.5591,DOWN,0
2001-01-23,71.8029,72.9874,69.3857,73.7206,80.356,DOWN,0
2001-01-24,71.2388,71.9721,69.4464,73.3032,80.1485,UP,1
2001-01-25,73.8898,71.8029,69.5163,73.1227,79.9748,UP,1
2001-01-26,74.2283,74.6795,69.5837,73.0889,79.8462,DOWN,0
2001-01-29,72.4775,74.2734,69.6533,72.7275,79.6521,UP,1
2001-01-30,73.1002,73.0009,69.7219,72.9869,79.4603,UP,1
2001-01-31,74.1651,72.9197,69.8059,73.5722,79.3158,UP,1
2001-02-01,76.2408,74.6795,69.8963,74.0424,79.2432,DOWN,0
2001-02-02,75.7805,76.2588,69.9763,74.3528,79.1276,UP,1
2001-02-05,76.2408,75.7805,70.0461,75.1055,78.9919,DOWN,0
2001-02-06,76.1325,76.2498,70.1121,75.7119,78.8777,DOWN,0
2001-02-07,73.8673,76.1415,70.1568,75.6524,78.7407,UP,1
2001-02-08,74.878,72.9648,70.204,75.3798,78.5845,DOWN,0
2001-02-09,74.6524,74.8149,70.2527,75.1542,78.4057,UP,1
2001-02-12,74.8871,74.878,70.3045,74.8835,78.191,DOWN,0
