ticker,LYB US Equity,LYB US Equity,LYB US Equity,LYB US Equity,LYB US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2011-11-15,34.92,35.5,35.132,30.7944,36.4677,UP,1
2011-11-16,35.02,34.67,35.324,30.816,36.4601,UP,1
2011-11-17,35.19,34.79,35.348,30.8528,36.4555,DOWN,0
2011-11-18,34.53,35.47,35.038,30.9196,36.4472,DOWN,0
2011-11-21,34.51,34.1,34.834,30.9814,36.4422,DOWN,0
2011-11-22,29.77,29.51,33.804,30.9266,36.4136,DOWN,0
2011-11-23,28.33,29.45,32.466,30.8274,36.3761,UP,1
2011-11-25,28.65,28.36,31.158,30.7266,36.3356,UP,1
2011-11-28,29.91,29.77,30.234,30.6448,36.2998,UP,1
2011-11-29,30.36,29.98,29.404,30.5936,36.2646,UP,1
2011-11-30,32.67,31.32,29.984,30.6118,36.2406,DOWN,0
2011-12-01,32.41,32.45,30.8,30.6822,36.2149,UP,1
2011-12-02,32.8,33.0,31.63,30.782,36.186,UP,1
2011-12-05,33.72,33.44,32.392,30.887,36.1648,DOWN,0
2011-12-06,33.7,33.75,33.06,30.981,36.1541,DOWN,0
2011-12-07,32.94,33.2,33.114,31.048,36.1356,DOWN,0
2011-12-08,32.62,32.58,33.156,31.145,36.1152,UP,1
2011-12-09,33.18,32.6,33.232,31.2756,36.0903,DOWN,0
2011-12-12,32.28,32.62,32.944,31.4326,36.0612,DOWN,0
2011-12-13,31.89,32.49,32.582,31.5884,36.0354,DOWN,0
2011-12-14,30.7,31.27,32.134,31.6848,35.9985,UP,1
2011-12-15,30.8,31.15,31.77,31.779,35.9548,UP,1
