ticker,WDC US Equity,WDC US Equity,WDC US Equity,WDC US Equity,WDC US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-11-09,5.75,5.875,5.4428,5.8875,5.7038,DOWN,0
2000-11-10,5.5625,5.625,5.4456,5.8125,5.6975,DOWN,0
2000-11-13,5.1875,5.4375,5.4478,5.6625,5.6863,UP,1
2000-11-14,5.375,5.3125,5.4513,5.575,5.6738,UP,1
2000-11-15,5.625,5.4375,5.4556,5.5,5.6688,DOWN,0
2000-11-16,5.5625,5.5,5.4581,5.4625,5.6638,DOWN,0
2000-11-17,5.5625,5.5,5.4606,5.4625,5.6588,UP,1
2000-11-20,5.6875,5.5,5.4628,5.5625,5.6588,DOWN,0
2000-11-21,5.5625,5.5625,5.465,5.6,5.6638,DOWN,0
2000-11-22,5.375,5.5,5.4669,5.55,5.67,DOWN,0
2000-11-24,5.375,5.375,5.4697,5.5125,5.6725,DOWN,0
2000-11-27,5.0625,5.375,5.4703,5.4125,5.6663,DOWN,0
2000-11-28,4.25,4.9375,5.4681,5.125,5.6413,DOWN,0
2000-11-29,3.5,4.125,5.4631,4.7125,5.6,DOWN,0
2000-11-30,3.25,3.4375,5.4569,4.2875,5.545,UP,1
2000-12-01,3.3125,3.3125,5.4509,3.875,5.4913,DOWN,0
2000-12-04,2.25,3.375,5.4406,3.3125,5.4238,UP,1
2000-12-05,2.5,2.375,5.4319,2.9625,5.3625,DOWN,0
2000-12-06,2.4375,2.5,5.4225,2.75,5.3088,DOWN,0
2000-12-07,2.4375,2.5,5.4134,2.5875,5.2563,UP,1
2000-12-08,2.5625,2.625,5.4066,2.4375,5.1988,UP,1
2000-12-11,3.25,2.625,5.4031,2.6375,5.1463,UP,1
2000-12-12,3.4375,3.25,5.3978,2.825,5.0988,DOWN,0
2000-12-13,2.9375,3.375,5.3891,2.925,5.0463,DOWN,0
2000-12-14,2.8125,2.9375,5.3794,3.0,4.98,DOWN,0
2000-12-15,2.75,2.8125,5.3706,3.0375,4.9025,DOWN,0
2000-12-18,2.625,2.8125,5.3597,2.9125,4.8325,DOWN,0
2000-12-19,2.4375,2.5,5.3491,2.7125,4.7575,DOWN,0
2000-12-20,2.3125,2.375,5.3378,2.5875,4.6838,UP,1
2000-12-21,2.625,2.4375,5.3209,2.55,4.6263,UP,1
2000-12-22,2.8125,2.6875,5.3091,2.5625,4.5775,DOWN,0
2000-12-26,2.5,2.75,5.2853,2.5375,4.5163,DOWN,0
2000-12-27,2.375,2.5,5.2647,2.525,4.4513,UP,1
2000-12-28,2.5,2.375,5.2447,2.5625,4.395,DOWN,0
2000-12-29,2.4375,2.5,5.2188,2.525,4.3438,DOWN,0
2001-01-02,2.3125,2.5625,5.1928,2.425,4.2863,UP,1
2001-01-03,2.8125,2.375,5.1722,2.4875,4.2375,UP,1
2001-01-04,3.25,3.0625,5.1528,2.6625,4.1913,DOWN,0
2001-01-05,3.25,3.25,5.1291,2.8125,4.1425,DOWN,0
2001-01-08,3.25,3.25,5.1016,2.975,4.085,UP,1
2001-01-09,3.5625,3.25,5.0763,3.225,4.0363,UP,1
2001-01-10,3.8125,3.5625,5.0541,3.425,3.9925,UP,1
2001-01-11,3.9375,3.6875,5.0353,3.5625,3.9538,DOWN,0
2001-01-12,3.8125,3.8125,5.0156,3.675,3.91,DOWN,0
2001-01-16,3.8125,3.6875,5.0003,3.7875,3.8713,DOWN,0
2001-01-17,3.8125,3.8125,4.9822,3.8375,3.8263,UP,1
2001-01-18,3.875,3.875,4.9659,3.85,3.785,DOWN,0
2001-01-19,3.6875,4.0625,4.9522,3.8,3.74,UP,1
2001-01-22,4.375,3.6875,4.9356,3.9125,3.7113,UP,1
2001-01-23,4.875,4.3125,4.9213,4.125,3.6888,UP,1
2001-01-24,5.1875,4.875,4.9094,4.4,3.6775,DOWN,0
2001-01-25,4.8125,5.1875,4.8981,4.5875,3.6625,DOWN,0
2001-01-26,4.125,4.75,4.8853,4.675,3.6413,UP,1
2001-01-29,4.5,4.12,4.8766,4.7,3.6238,UP,1
2001-01-30,4.78,4.6,4.8667,4.681,3.6069,UP,1
2001-01-31,5.28,4.88,4.8631,4.6995,3.6012,DOWN,0
2001-02-01,5.09,5.18,4.8604,4.755,3.5918,DOWN,0
2001-02-02,4.7,5.0,4.853,4.87,3.572,UP,1
2001-02-05,4.8,4.58,4.842,4.93,3.5568,DOWN,0
2001-02-06,4.58,4.89,4.834,4.89,3.5409,DOWN,0
2001-02-07,4.36,4.58,4.8255,4.706,3.5206,DOWN,0
2001-02-08,4.29,4.36,4.8119,4.546,3.5051,DOWN,0
2001-02-09,4.2,4.24,4.7988,4.446,3.5041,UP,1
2001-02-12,4.86,4.15,4.7844,4.458,3.5313,UP,1
2001-02-13,5.02,5.05,4.7751,4.546,3.5667,DOWN,0
2001-02-14,4.9,5.0,4.7637,4.654,3.5985,UP,1
2001-02-15,5.23,4.85,4.7564,4.842,3.6581,DOWN,0
2001-02-16,4.98,4.95,4.7479,4.998,3.7077,DOWN,0
2001-02-20,4.5,4.75,4.7375,4.926,3.7489,DOWN,0
2001-02-21,4.31,4.4,4.7263,4.784,3.7864,UP,1
2001-02-22,4.35,4.21,4.7155,4.674,3.8221,DOWN,0
2001-02-23,4.3,4.25,4.7077,4.488,3.8431,UP,1
2001-02-26,4.48,4.36,4.6957,4.388,3.864,DOWN,0
2001-02-27,4.29,4.4,4.6877,4.346,3.891,DOWN,0
