ticker,REG US Equity,REG US Equity,REG US Equity,REG US Equity,REG US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-07-11,22.8125,22.5625,20.3982,22.875,21.8522,DOWN,0
2000-07-12,22.375,22.6875,20.4088,22.825,21.8347,UP,1
2000-07-13,22.4375,22.5,20.4195,22.6875,21.8247,DOWN,0
2000-07-14,22.3125,22.4375,20.4295,22.525,21.8297,DOWN,0
2000-07-17,22.125,22.1875,20.4351,22.4125,21.8322,DOWN,0
2000-07-18,22.0625,22.25,20.4423,22.2625,21.8284,DOWN,0
2000-07-19,21.9375,21.9375,20.4491,22.175,21.8359,UP,1
2000-07-20,22.75,22.0,20.4604,22.2375,21.8572,UP,1
2000-07-21,23.25,22.625,20.4741,22.425,21.8934,UP,1
2000-07-24,23.375,23.25,20.4898,22.675,21.9309,DOWN,0
2000-07-25,23.1875,23.25,20.5066,22.9,21.9597,UP,1
2000-07-26,23.3125,23.1875,20.5226,23.175,21.9959,DOWN,0
2000-07-27,23.3125,23.4375,20.5404,23.2875,22.0297,UP,1
2000-07-28,23.4375,23.375,20.5604,23.325,22.0697,UP,1
2000-07-31,24.0,23.5,20.5841,23.45,22.1272,DOWN,0
2000-08-01,23.3125,23.875,20.6038,23.475,22.1709,UP,1
2000-08-02,23.9375,23.375,20.626,23.6,22.2222,DOWN,0
2000-08-03,23.625,24.0,20.6498,23.6625,22.2722,DOWN,0
2000-08-04,23.5625,23.5625,20.672,23.6875,22.3284,DOWN,0
2000-08-07,23.5625,23.6875,20.6932,23.6,22.3884,UP,1
2000-08-08,23.75,23.75,20.7163,23.6875,22.4484,DOWN,0
2000-08-09,23.4375,23.25,20.7385,23.5875,22.4922,DOWN,0
2000-08-10,23.1875,23.3125,20.7607,23.5,22.5347,DOWN,0
2000-08-11,23.0,23.1875,20.777,23.3875,22.5747,UP,1
2000-08-14,23.25,22.9375,20.7941,23.325,22.6147,DOWN,0
2000-08-15,23.125,23.125,20.8107,23.2,22.6572,UP,1
2000-08-16,23.1875,23.125,20.8291,23.15,22.7009,UP,1
2000-08-17,23.25,23.125,20.8448,23.1625,22.7384,UP,1
2000-08-18,23.3125,23.25,20.8613,23.225,22.7772,DOWN,0
2000-08-21,23.1875,23.25,20.8776,23.2125,22.8109,DOWN,0
2000-08-22,23.0,23.25,20.8929,23.1875,22.8409,DOWN,0
