ticker,CRM US Equity,CRM US Equity,CRM US Equity,CRM US Equity,CRM US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2005-08-24,4.95,4.95,5.036,5.4099,4.3955,DOWN,0
2005-08-25,4.9275,4.95,5.0055,5.408,4.3957,DOWN,0
2005-08-26,4.8125,4.8375,4.944,5.4051,4.3954,DOWN,0
2005-08-29,4.8125,4.7875,4.898,5.3989,4.3944,DOWN,0
2005-08-30,4.775,4.8125,4.8555,5.3901,4.3933,UP,1
2005-08-31,4.83,4.7675,4.8315,5.3866,4.3914,DOWN,0
2005-09-01,4.805,4.83,4.807,5.3829,4.3897,UP,1
2005-09-02,4.8425,4.8,4.813,5.3803,4.3879,UP,1
2005-09-06,5.0925,4.8975,4.869,5.3782,4.3911,UP,1
2005-09-07,5.2125,5.125,4.9565,5.3812,4.3949,UP,1
2005-09-08,5.425,5.25,5.0755,5.3864,4.4,UP,1
2005-09-09,5.4875,5.41,5.212,5.392,4.405,DOWN,0
2005-09-12,5.415,5.5,5.3265,5.3979,4.4096,UP,1
2005-09-13,5.905,5.625,5.489,5.4184,4.4169,DOWN,0
2005-09-14,5.8775,5.8425,5.622,5.4385,4.4245,DOWN,0
2005-09-15,5.775,5.8975,5.692,5.4564,4.4315,UP,1
2005-09-16,5.9,5.82,5.7745,5.4771,4.4398,DOWN,0
2005-09-19,5.78,5.9,5.8475,5.4952,4.4475,UP,1
2005-09-20,5.9025,5.8,5.847,5.5143,4.4562,DOWN,0
2005-09-21,5.75,5.8425,5.8215,5.5298,4.4643,DOWN,0
2005-09-22,5.635,5.7525,5.7935,5.5387,4.4724,UP,1
2005-09-23,5.7825,5.575,5.77,5.541,4.4814,UP,1
2005-09-26,5.9,5.7825,5.794,5.545,4.4906,DOWN,0
2005-09-27,5.8925,5.8725,5.792,5.5518,4.5001,DOWN,0
2005-09-28,5.8475,5.9125,5.8115,5.5541,4.5093,DOWN,0
2005-09-29,5.7325,5.85,5.831,5.5537,4.5175,UP,1
2005-09-30,5.78,5.6375,5.8305,5.5553,4.526,UP,1
2005-10-03,6.0,5.975,5.8505,5.5623,4.5356,DOWN,0
2005-10-04,5.95,6.02,5.862,5.569,4.5452,DOWN,0
2005-10-05,5.8375,5.6875,5.86,5.5726,4.5554,DOWN,0
2005-10-06,5.7625,5.84,5.866,5.5749,4.5641,DOWN,0
2005-10-07,5.7025,5.7775,5.8505,5.5699,4.5723,DOWN,0
2005-10-10,5.5625,5.695,5.763,5.5634,4.5793,DOWN,0
2005-10-11,5.44,5.5625,5.661,5.5518,4.5848,DOWN,0
2005-10-12,5.295,5.4225,5.5525,5.5395,4.5898,UP,1
2005-10-13,5.4575,5.205,5.4915,5.5294,4.5956,UP,1
2005-10-14,5.555,5.47,5.462,5.5224,4.6023,UP,1
2005-10-17,5.715,5.555,5.4925,5.5183,4.6097,DOWN,0
2005-10-18,5.6575,5.74,5.536,5.5131,4.6173,UP,1
2005-10-19,5.73,5.66,5.623,5.5065,4.6255,UP,1
2005-10-20,5.9275,5.75,5.717,5.5024,4.6327,UP,1
2005-10-21,6.135,5.8875,5.833,5.5054,4.6412,UP,1
2005-10-24,6.315,6.1075,5.953,5.514,4.6508,DOWN,0
2005-10-25,6.2975,6.32,6.081,5.5293,4.6611,UP,1
2005-10-26,6.3625,6.2575,6.2075,5.5466,4.6724,DOWN,0
2005-10-27,6.055,6.3,6.233,5.5567,4.6838,UP,1
2005-10-28,6.1475,6.0625,6.2355,5.578,4.6955,UP,1
2005-10-31,6.2475,6.2625,6.222,5.6006,4.7079,UP,1
2005-11-01,6.415,6.25,6.2455,5.628,4.7212,UP,1
2005-11-02,6.7275,6.25,6.3185,5.6628,4.7361,DOWN,0
2005-11-03,6.63,6.75,6.4335,5.6964,4.751,UP,1
2005-11-04,6.675,6.7,6.539,5.7314,4.7663,DOWN,0
2005-11-07,6.61,6.65,6.6115,5.7673,4.782,DOWN,0
2005-11-08,6.5575,6.6125,6.64,5.8022,4.7976,UP,1
2005-11-09,6.63,6.525,6.6205,5.8393,4.8135,UP,1
2005-11-10,6.725,6.65,6.6395,5.8773,4.8301,UP,1
2005-11-11,6.865,6.765,6.6775,5.9185,4.8476,UP,1
2005-11-14,7.0925,7.0875,6.774,5.9635,4.8659,DOWN,0
2005-11-15,6.8725,7.035,6.837,5.9991,4.8832,DOWN,0
2005-11-16,6.7325,6.875,6.8575,6.0295,4.9002,UP,1
2005-11-17,7.3075,6.6,6.974,6.0671,4.92,DOWN,0
2005-11-18,7.1875,7.3025,7.0385,6.1011,4.9384,UP,1
2005-11-21,7.3125,7.1375,7.0825,6.1391,4.9579,UP,1
2005-11-22,7.6,7.325,7.228,6.173,4.9785,UP,1
2005-11-23,7.855,7.625,7.4525,6.2125,5.0012,UP,1
2005-11-25,7.8575,7.8,7.5625,6.2542,5.0241,DOWN,0
2005-11-28,7.8075,7.92,7.6865,6.2923,5.0463,DOWN,0
2005-11-29,7.6425,7.8,7.7525,6.3296,5.0675,UP,1
2005-11-30,7.9625,7.64,7.825,6.3708,5.0895,UP,1
2005-12-01,8.235,8.0,7.901,6.4205,5.1131,DOWN,0
2005-12-02,7.895,7.9375,7.9085,6.4657,5.135,UP,1
2005-12-05,8.0,7.9375,7.947,6.51,5.1551,UP,1
2005-12-06,8.3475,8.0,8.088,6.559,5.1769,UP,1
2005-12-07,8.3525,8.41,8.166,6.6082,5.1991,UP,1
2005-12-08,8.365,8.3875,8.192,6.6585,5.2207,UP,1
2005-12-09,8.875,8.675,8.388,6.7214,5.2445,DOWN,0
2005-12-12,8.78,8.7825,8.544,6.7814,5.2683,UP,1
2005-12-13,8.9075,8.725,8.656,6.8395,5.2922,DOWN,0
2005-12-14,8.6125,8.93,8.708,6.8928,5.3141,UP,1
2005-12-15,8.8,8.6125,8.795,6.952,5.3371,DOWN,0
2005-12-16,8.755,8.8,8.771,7.0119,5.3601,DOWN,0
2005-12-19,8.6325,8.55,8.7415,7.0705,5.3827,DOWN,0
2005-12-20,8.28,8.575,8.616,7.1248,5.4031,DOWN,0
2005-12-21,8.205,8.2625,8.5345,7.1801,5.4238,UP,1
2005-12-22,8.285,8.2625,8.4315,7.2399,5.4458,UP,1
2005-12-23,8.4525,8.3025,8.371,7.2998,5.4687,DOWN,0
2005-12-27,8.15,8.475,8.2745,7.3517,5.49,UP,1
