ticker,FBHS US Equity,FBHS US Equity,FBHS US Equity,FBHS US Equity,FBHS US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2012-08-16,24.27,23.65,23.282,22.16,19.9251,UP,1
2012-08-17,24.62,24.27,23.726,22.2184,19.9749,DOWN,0
2012-08-20,24.27,24.49,24.05,22.257,20.0209,DOWN,0
2012-08-21,24.21,24.26,24.21,22.3052,20.0669,DOWN,0
2012-08-22,24.19,24.22,24.312,22.3486,20.1129,UP,1
2012-08-23,24.5,24.2,24.358,22.4104,20.1614,UP,1
2012-08-24,24.65,24.37,24.364,22.4716,20.2092,UP,1
2012-08-27,24.92,24.85,24.494,22.5306,20.2593,UP,1
2012-08-28,25.09,24.88,24.67,22.5748,20.3063,UP,1
2012-08-29,25.5,25.19,24.932,22.6206,20.3575,DOWN,0
2012-08-30,25.37,25.29,25.106,22.6726,20.4092,UP,1
2012-08-31,25.5,25.35,25.276,22.7716,20.4593,UP,1
2012-09-04,25.57,25.46,25.406,22.8736,20.5119,DOWN,0
2012-09-05,25.3,25.6,25.448,22.9766,20.5608,UP,1
2012-09-06,26.9,25.4,25.728,23.1016,20.6177,DOWN,0
2012-09-07,26.64,27.09,25.982,23.2112,20.6746,DOWN,0
2012-09-10,26.0,26.29,26.082,23.2956,20.7278,DOWN,0
2012-09-11,26.0,26.13,26.168,23.3702,20.7812,UP,1
2012-09-12,26.52,26.15,26.412,23.4332,20.8366,UP,1
2012-09-13,27.5,26.62,26.532,23.5146,20.8942,UP,1
2012-09-14,28.19,27.5,26.842,23.6064,20.9551,DOWN,0
2012-09-17,27.76,28.09,27.194,23.7022,21.0105,DOWN,0
2012-09-18,27.28,27.63,27.45,23.7956,21.067,UP,1
2012-09-19,27.44,27.35,27.634,23.9126,21.1216,UP,1
2012-09-20,27.55,27.4,27.644,24.0274,21.1771,UP,1
2012-09-21,28.65,27.72,27.736,24.1642,21.238,DOWN,0
2012-09-24,28.32,28.33,27.848,24.2886,21.2973,DOWN,0
2012-09-25,27.57,28.44,27.906,24.4098,21.3531,DOWN,0
2012-09-26,27.04,27.6,27.826,24.5224,21.4033,UP,1
2012-09-27,27.49,27.13,27.814,24.6238,21.4591,DOWN,0
2012-09-28,27.01,27.4,27.486,24.706,21.5153,DOWN,0
2012-10-01,26.78,27.02,27.178,24.793,21.5693,UP,1
2012-10-02,27.1,26.98,27.084,24.896,21.6252,UP,1
2012-10-03,27.76,27.2,27.228,25.0208,21.6861,UP,1
2012-10-04,27.98,27.76,27.326,25.1658,21.7493,UP,1
2012-10-05,28.05,28.1,27.534,25.3002,21.8108,DOWN,0
2012-10-08,27.79,27.84,27.736,25.4134,21.8688,DOWN,0
2012-10-09,26.9,27.82,27.696,25.5036,21.921,DOWN,0
2012-10-10,26.9,26.86,27.524,25.5992,21.972,UP,1
2012-10-11,26.99,27.1,27.326,25.7014,22.0237,UP,1
2012-10-12,27.03,26.98,27.122,25.8138,22.0769,UP,1
2012-10-15,27.24,27.13,27.012,25.9084,22.1299,UP,1
2012-10-16,27.88,27.49,27.208,26.0118,22.1842,UP,1
2012-10-17,28.72,28.04,27.572,26.128,22.2437,UP,1
2012-10-18,29.27,28.6,28.028,26.2584,22.3049,UP,1
2012-10-19,29.31,29.2,28.484,26.3932,22.3648,DOWN,0
2012-10-22,28.14,29.24,28.664,26.508,22.4172,DOWN,0
2012-10-23,26.97,27.77,28.482,26.5944,22.4632,UP,1
2012-10-24,29.2,28.23,28.578,26.7102,22.5191,DOWN,0
2012-10-25,28.44,29.43,28.412,26.8054,22.5714,DOWN,0
2012-10-26,27.71,28.53,28.092,26.8742,22.6185,UP,1
2012-10-31,28.44,27.87,28.152,26.9506,22.6696,UP,1
2012-11-01,29.99,29.06,28.756,27.065,22.7299,DOWN,0
2012-11-02,29.42,30.15,28.8,27.1692,22.788,UP,1
2012-11-05,29.61,29.37,29.034,27.2776,22.8455,DOWN,0
2012-11-06,29.33,29.84,29.358,27.3742,22.9027,DOWN,0
2012-11-07,29.03,28.91,29.476,27.4618,22.959,DOWN,0
2012-11-08,27.97,28.92,29.072,27.5228,23.0095,UP,1
2012-11-09,27.99,27.8,28.786,27.5808,23.06,DOWN,0
2012-11-12,27.93,28.13,28.45,27.6294,23.1101,UP,1
