ticker,RL US Equity,RL US Equity,RL US Equity,RL US Equity,RL US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-10-02,16.5,16.25,16.6241,16.3625,18.2263,DOWN,0
2000-10-03,16.25,16.5,16.6231,16.3,18.215,DOWN,0
2000-10-04,16.125,16.25,16.6194,16.3,18.19,UP,1
2000-10-05,19.0,16.375,16.6313,16.8,18.23,DOWN,0
2000-10-06,18.25,18.625,16.6381,17.225,18.2513,UP,1
2000-10-09,18.875,18.4375,16.6462,17.7,18.3038,UP,1
2000-10-10,19.125,19.125,16.6559,18.275,18.3625,DOWN,0
2000-10-11,18.875,19.0,16.6653,18.825,18.415,DOWN,0
2000-10-12,18.0625,18.75,16.6706,18.6375,18.4413,UP,1
2000-10-13,18.125,18.0,16.6747,18.6125,18.475,UP,1
2000-10-16,18.8125,18.1875,16.6834,18.6,18.5088,DOWN,0
2000-10-17,18.6875,18.625,16.6897,18.5125,18.5388,UP,1
2000-10-18,19.0,18.5,16.7009,18.5375,18.5425,UP,1
2000-10-19,19.4375,19.125,16.7128,18.8125,18.5713,DOWN,0
2000-10-20,19.1875,19.4375,16.7234,19.025,18.5675,DOWN,0
2000-10-23,18.8125,19.0,16.73,19.025,18.545,UP,1
2000-10-24,18.9375,18.9375,16.7334,19.075,18.5263,DOWN,0
2000-10-25,18.8125,19.0,16.7394,19.0375,18.5063,DOWN,0
2000-10-26,18.6875,18.9375,16.7491,18.8875,18.4975,UP,1
2000-10-27,19.1875,18.75,16.7628,18.8875,18.4838,UP,1
2000-10-30,19.25,19.0,16.7775,18.975,18.4875,UP,1
2000-10-31,19.625,19.375,16.7956,19.1125,18.485,UP,1
2000-11-01,21.0625,19.625,16.8197,19.5625,18.5212,UP,1
2000-11-02,23.1875,21.125,16.8569,20.4625,18.6112,DOWN,0
2000-11-03,22.5,22.9375,16.8919,21.125,18.6737,UP,1
2000-11-06,22.625,22.5,16.9297,21.8,18.735,DOWN,0
2000-11-07,22.5625,22.6875,16.9688,22.3875,18.8038,UP,1
2000-11-08,22.8125,22.3125,17.0072,22.7375,18.875,DOWN,0
2000-11-09,22.1875,22.6875,17.0406,22.5375,18.9275,DOWN,0
2000-11-10,21.25,21.9375,17.07,22.2875,18.965,DOWN,0
2000-11-13,21.0,21.375,17.1006,21.9625,18.9975,UP,1
2000-11-14,21.6875,21.1875,17.1359,21.7875,19.0513,DOWN,0
2000-11-15,21.1875,21.6875,17.1691,21.4625,19.0988,UP,1
2000-11-16,21.625,21.1875,17.2053,21.35,19.1475,UP,1
2000-11-17,21.6875,21.75,17.2431,21.4375,19.1975,UP,1
2000-11-20,21.9375,21.625,17.2716,21.625,19.2513,DOWN,0
2000-11-21,21.5625,21.5625,17.2972,21.6,19.3025,DOWN,0
2000-11-22,21.1875,21.4375,17.3231,21.6,19.3463,UP,1
2000-11-24,22.375,21.25,17.3597,21.75,19.4063,UP,1
2000-11-27,23.0,22.375,17.3991,22.0125,19.4862,DOWN,0
2000-11-28,22.875,23.0,17.4359,22.2,19.5813,DOWN,0
2000-11-29,21.625,22.75,17.4663,22.2125,19.6575,DOWN,0
2000-11-30,20.9375,21.6875,17.4931,22.1625,19.7188,UP,1
2000-12-01,21.625,20.9375,17.5253,22.0125,19.7963,UP,1
2000-12-04,21.9375,21.875,17.56,21.8,19.885,DOWN,0
2000-12-05,21.625,22.0,17.5934,21.55,19.98,DOWN,0
2000-12-06,21.25,21.6875,17.6253,21.475,20.0738,DOWN,0
2000-12-07,21.0,21.125,17.6569,21.4875,20.1713,UP,1
2000-12-08,21.75,21.125,17.6913,21.5125,20.2763,DOWN,0
2000-12-11,21.5625,21.9375,17.7206,21.4375,20.385,DOWN,0
2000-12-12,21.4375,21.5,17.7441,21.4,20.4838,DOWN,0
2000-12-13,21.375,21.625,17.7659,21.425,20.5863,UP,1
2000-12-14,21.4375,21.375,17.7869,21.5125,20.6925,DOWN,0
2000-12-15,21.4375,21.3125,17.8119,21.45,20.7413,UP,1
2000-12-18,23.0,21.5625,17.8472,21.7375,20.8363,DOWN,0
2000-12-19,22.0625,23.0,17.8781,21.8625,20.9,DOWN,0
2000-12-20,21.1875,22.0,17.9063,21.825,20.9413,UP,1
2000-12-21,21.5,21.25,17.9347,21.8375,20.9938,UP,1
2000-12-22,21.75,21.5,17.9653,21.9,21.0675,UP,1
2000-12-26,22.1875,21.8125,17.9984,21.7375,21.1488,UP,1
2000-12-27,22.6875,22.1875,18.0322,21.8625,21.2263,UP,1
2000-12-28,23.0,22.75,18.0641,22.225,21.3125,DOWN,0
2000-12-29,22.3125,22.9375,18.0891,22.3875,21.3788,UP,1
2001-01-02,22.4375,22.5625,18.1106,22.525,21.4388,UP,1
2001-01-03,23.0,22.3125,18.1369,22.6875,21.515,UP,1
2001-01-04,24.75,23.0,18.1716,23.1,21.6338,DOWN,0
2001-01-05,24.4375,25.0,18.205,23.3875,21.7438,DOWN,0
2001-01-08,24.4375,25.0,18.2391,23.8125,21.8563,UP,1
2001-01-09,24.875,24.0,18.2753,24.3,21.98,DOWN,0
2001-01-10,24.6875,24.625,18.3113,24.6375,22.09,UP,1
2001-01-11,24.8125,24.1875,18.3431,24.65,22.2013,UP,1
2001-01-12,25.125,24.8125,18.3684,24.7875,22.3113,DOWN,0
2001-01-16,24.9375,25.125,18.3919,24.8875,22.3888,UP,1
2001-01-17,25.4375,25.1875,18.4256,25.0,22.4338,UP,1
2001-01-18,25.75,25.375,18.4528,25.2125,22.4988,DOWN,0
2001-01-19,23.9375,25.75,18.4756,25.0375,22.525,UP,1
2001-01-22,25.5,24.5,18.5134,25.1125,22.5837,UP,1
2001-01-23,26.0,25.5,18.5538,25.325,22.6475,UP,1
2001-01-24,26.5,26.0625,18.6013,25.5375,22.7338,UP,1
2001-01-25,26.5625,26.25,18.6494,25.7,22.84,DOWN,0
2001-01-26,25.6875,26.8125,18.6934,26.05,22.9338,UP,1
2001-01-29,25.73,25.85,18.7387,26.096,23.0146,DOWN,0
2001-01-30,25.65,25.63,18.7822,26.026,23.1039,DOWN,0
2001-01-31,25.39,25.5,18.8292,25.804,23.1792,UP,1
2001-02-01,25.57,25.6,18.8786,25.6055,23.2568,DOWN,0
2001-02-02,24.3,25.63,18.9176,25.328,23.3041,UP,1
2001-02-05,24.86,24.85,18.9625,25.154,23.37,DOWN,0
2001-02-06,24.48,25.0,19.0046,24.92,23.4359,UP,1
2001-02-07,25.24,24.73,19.0495,24.89,23.4932,UP,1
2001-02-08,26.58,25.75,19.1009,25.092,23.5648,UP,1
2001-02-09,26.98,26.59,19.1561,25.628,23.6469,UP,1
2001-02-12,28.02,26.3,19.2165,26.26,23.7747,UP,1
2001-02-13,29.05,28.02,19.2805,27.174,23.937,UP,1
2001-02-14,29.3,28.95,19.342,27.986,24.0905,UP,1
2001-02-15,29.82,29.31,19.407,28.634,24.2481,DOWN,0
2001-02-16,29.67,29.6,19.4726,29.172,24.409,DOWN,0
2001-02-20,29.5,30.2,19.5376,29.468,24.574,DOWN,0
2001-02-21,27.87,26.9,19.5951,29.232,24.7114,UP,1
2001-02-22,30.0,27.87,19.6651,29.372,24.8764,DOWN,0
2001-02-23,29.18,29.95,19.7281,29.244,25.0288,UP,1
2001-02-26,30.45,29.3,19.7991,29.4,25.209,DOWN,0
2001-02-27,29.25,29.75,19.8632,29.35,25.3665,UP,1
2001-02-28,29.3,29.2,19.9281,29.636,25.5238,DOWN,0
2001-03-01,29.2,29.05,19.9932,29.476,25.679,DOWN,0
2001-03-02,28.7,29.3,20.0526,29.38,25.793,DOWN,0
2001-03-05,28.35,28.7,20.1116,28.96,25.9188,UP,1
2001-03-06,29.63,29.1,20.1788,29.036,26.0877,DOWN,0
2001-03-07,29.62,29.5,20.2469,29.1,26.2501,DOWN,0
2001-03-08,29.6,29.37,20.3152,29.18,26.407,DOWN,0
2001-03-09,28.96,29.59,20.3813,29.232,26.5425,DOWN,0
2001-03-12,28.19,28.96,20.4494,29.2,26.6526,DOWN,0
2001-03-13,27.14,27.94,20.5176,28.702,26.7353,DOWN,0
2001-03-14,25.91,26.14,20.5803,27.96,26.8073,UP,1
2001-03-15,26.4,26.05,20.646,27.32,26.8866,UP,1
2001-03-16,26.53,26.65,20.7087,26.834,26.9572,UP,1
2001-03-19,27.74,26.53,20.7758,26.744,27.017,DOWN,0
2001-03-20,27.01,27.74,20.8387,26.718,27.0684,DOWN,0
2001-03-21,26.36,26.8,20.8989,26.808,27.1069,DOWN,0
