ticker,CZR US Equity,CZR US Equity,CZR US Equity,CZR US Equity,CZR US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2021-03-10,98.39,94.05,94.274,81.0414,58.0233,UP,1
2021-03-11,100.75,99.99,96.26,81.5836,58.3512,DOWN,0
2021-03-12,100.62,99.69,97.722,82.1286,58.6722,UP,1
2021-03-15,101.2,104.17,98.948,82.6788,59.0044,DOWN,0
2021-03-16,95.8,101.4,99.352,83.1094,59.3061,UP,1
2021-03-17,96.04,94.42,98.882,83.5982,59.6059,DOWN,0
2021-03-18,90.6,95.07,96.852,83.9148,59.8814,DOWN,0
2021-03-19,89.32,91.5,94.592,84.1764,60.1336,DOWN,0
2021-03-22,88.47,89.0,92.046,84.3846,60.3613,DOWN,0
2021-03-23,84.59,86.825,89.804,84.5004,60.5654,DOWN,0
2021-03-24,82.9,85.88,87.176,84.593,60.7558,UP,1
2021-03-25,86.94,80.25,86.444,84.7502,60.9779,UP,1
2021-03-26,87.53,88.01,86.086,84.9704,61.2162,DOWN,0
2021-03-29,82.44,86.0,84.88,85.056,61.4622,UP,1
2021-03-30,87.13,82.21,85.388,85.1986,61.7139,UP,1
2021-03-31,87.45,87.52,86.298,85.3342,61.959,UP,1
2021-04-01,88.94,88.54,86.698,85.512,62.1997,UP,1
2021-04-05,90.18,92.6704,87.228,85.7012,62.435,UP,1
2021-04-06,92.5,90.86,89.24,85.9606,62.6936,UP,1
2021-04-07,92.59,93.35,90.332,86.2444,62.9465,UP,1
2021-04-08,96.15,92.79,92.072,86.6802,63.221,UP,1
2021-04-09,96.33,94.86,93.55,87.2694,63.4827,DOWN,0
2021-04-12,94.33,96.1,94.38,87.6812,63.7485,UP,1
2021-04-13,95.73,94.284,95.026,88.188,64.0342,DOWN,0
2021-04-14,93.27,95.84,95.162,88.6374,64.3198,DOWN,0
2021-04-15,93.16,93.5,94.564,88.9806,64.5876,UP,1
2021-04-16,93.64,93.55,94.026,89.3184,64.8555,DOWN,0
2021-04-19,88.75,92.61,92.91,89.5038,65.095,UP,1
2021-04-20,89.88,90.75,91.74,89.6438,65.3384,UP,1
2021-04-21,94.28,88.4,91.942,89.8724,65.6121,DOWN,0
2021-04-22,94.12,93.9,92.134,90.1234,65.8926,UP,1
2021-04-23,95.74,94.83,92.554,90.446,66.1725,UP,1
2021-04-26,96.98,96.43,94.2,90.8162,66.4527,UP,1
