ticker,BKNG US Equity,BKNG US Equity,BKNG US Equity,BKNG US Equity,BKNG US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2012-07-19,672.67,659.88,651.28,655.5733,592.8231,UP,1
2012-07-20,673.2,670.47,657.33,654.6583,593.9691,DOWN,0
2012-07-23,669.11,659.36,663.606,654.4183,595.0863,DOWN,0
2012-07-24,665.58,670.73,667.248,654.2221,596.0664,DOWN,0
2012-07-25,631.04,654.44,662.32,653.5793,596.8829,DOWN,0
2012-07-26,628.32,638.91,653.45,652.8991,597.6053,UP,1
2012-07-27,683.99,650.05,655.608,653.3341,598.5589,DOWN,0
2012-07-30,682.54,687.04,658.294,654.0767,599.5439,DOWN,0
2012-07-31,661.74,680.0,657.526,654.6714,600.3838,DOWN,0
2012-08-01,642.98,666.94,659.914,654.3774,601.103,UP,1
2012-08-02,649.01,636.76,664.052,654.156,601.8838,UP,1
2012-08-03,663.99,667.76,660.052,653.9734,602.7377,UP,1
2012-08-06,665.12,663.0,656.568,653.8964,603.6683,UP,1
2012-08-07,679.8,673.0,660.18,654.4348,604.6982,DOWN,0
2012-08-08,562.32,575.1,644.048,652.5204,605.0325,DOWN,0
2012-08-09,562.26,563.01,626.698,651.0104,605.2447,UP,1
2012-08-10,563.162,562.39,606.5324,649.7638,605.5352,DOWN,0
2012-08-13,562.0,564.6,585.9084,648.7938,605.8671,UP,1
2012-08-14,564.66,563.6,562.8804,647.7562,606.0876,UP,1
2012-08-15,575.31,564.82,565.4784,646.8658,606.3458,UP,1
2012-08-16,586.79,577.12,570.3844,645.7514,606.7411,UP,1
2012-08-17,588.78,588.5,575.508,644.804,607.2399,DOWN,0
2012-08-20,586.61,585.0,580.43,643.649,607.7048,DOWN,0
2012-08-21,585.76,588.92,584.65,642.53,608.075,UP,1
2012-08-22,591.04,585.16,587.796,641.4112,608.4634,UP,1
2012-08-23,593.53,590.87,589.144,640.3518,608.886,DOWN,0
2012-08-24,593.18,591.2,590.024,639.409,609.0877,DOWN,0
2012-08-27,588.4,593.81,590.382,637.9888,609.3469,UP,1
2012-08-28,590.12,588.0,591.254,636.3212,609.6557,UP,1
2012-08-29,603.206,591.82,593.6872,634.7832,610.0052,UP,1
2012-08-30,603.6,599.72,595.7012,633.4388,610.3512,UP,1
2012-08-31,604.57,606.47,597.9792,632.3786,610.64,DOWN,0
2012-09-04,596.89,604.25,599.6772,630.9768,610.9328,DOWN,0
2012-09-05,595.18,597.5,600.6892,629.8474,611.3417,UP,1
2012-09-06,604.0,599.57,600.848,628.8002,611.8771,UP,1
2012-09-07,621.55,612.5,604.438,628.1544,612.5966,DOWN,0
2012-09-10,608.32,620.97,605.188,627.4512,613.2328,UP,1
2012-09-11,617.76,608.6,609.362,626.516,613.999,UP,1
2012-09-12,619.95,620.0,614.316,625.2978,614.8028,UP,1
2012-09-13,626.93,619.95,618.902,624.0254,615.575,UP,1
2012-09-14,637.48,628.15,622.088,623.142,616.4474,UP,1
2012-09-17,643.35,636.85,629.094,622.5758,617.2347,DOWN,0
2012-09-18,640.73,640.35,633.688,622.093,617.9962,DOWN,0
2012-09-19,639.03,641.01,637.504,621.9006,618.7589,DOWN,0
2012-09-20,633.77,635.69,638.872,621.6428,619.5077,UP,1
2012-09-21,636.15,640.17,638.606,621.5842,620.2929,DOWN,0
2012-09-24,631.18,631.81,636.172,621.3488,621.0274,UP,1
2012-09-25,631.755,631.76,634.3769,621.2293,621.7888,DOWN,0
