ticker,COST US Equity,COST US Equity,COST US Equity,COST US Equity,COST US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2001-06-08,40.39,40.93,37.1388,39.826,36.5538,DOWN,0
2001-06-11,39.77,40.34,37.1764,40.082,36.5904,UP,1
2001-06-12,40.43,39.63,37.2167,40.218,36.614,UP,1
2001-06-13,40.49,40.38,37.2545,40.416,36.7001,DOWN,0
2001-06-14,40.42,40.4,37.2913,40.3,36.8272,UP,1
2001-06-15,40.5,40.43,37.32,40.322,36.9372,UP,1
2001-06-18,42.08,40.68,37.3523,40.784,37.0588,UP,1
2001-06-19,42.45,42.37,37.3924,41.188,37.1966,UP,1
2001-06-20,42.61,42.45,37.4288,41.612,37.353,UP,1
2001-06-21,43.62,42.61,37.466,42.252,37.5108,DOWN,0
2001-06-22,41.92,43.32,37.4928,42.536,37.6238,UP,1
2001-06-25,41.95,42.02,37.52,42.51,37.7366,DOWN,0
2001-06-26,40.34,41.41,37.5333,42.088,37.844,DOWN,0
2001-06-27,39.73,40.4,37.5438,41.512,37.913,UP,1
2001-06-28,42.11,39.95,37.5662,41.21,37.988,DOWN,0
2001-06-29,41.08,41.8,37.5797,41.042,38.07,UP,1
2001-07-02,42.34,41.26,37.6055,41.12,38.1858,DOWN,0
2001-07-03,42.14,42.17,37.6396,41.48,38.3038,DOWN,0
2001-07-05,41.3,41.7,37.6758,41.794,38.4442,DOWN,0
2001-07-06,40.41,41.29,37.7106,41.454,38.553,UP,1
