ticker,NCLH US Equity,NCLH US Equity,NCLH US Equity,NCLH US Equity,NCLH US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2016-11-01,37.7,39.11,37.698,36.9804,43.56,DOWN,0
2016-11-02,37.49,37.79,37.602,36.9766,43.5111,DOWN,0
2016-11-03,37.21,37.6,37.902,36.9836,43.4576,DOWN,0
2016-11-04,37.0,36.87,37.654,37.0,43.4027,UP,1
2016-11-07,37.83,37.69,37.446,37.0406,43.3553,UP,1
2016-11-08,39.13,37.84,37.732,37.1128,43.3079,DOWN,0
2016-11-09,35.53,36.82,37.34,37.1064,43.2594,UP,1
2016-11-10,37.97,35.8,37.492,37.148,43.2369,UP,1
2016-11-11,38.42,37.68,37.776,37.1754,43.2022,UP,1
2016-11-14,41.34,38.5,38.478,37.29,43.1736,DOWN,0
2016-11-15,40.17,41.49,38.686,37.3872,43.1593,DOWN,0
2016-11-16,39.57,40.13,39.494,37.4792,43.1474,UP,1
2016-11-17,39.83,39.6,39.866,37.5878,43.134,DOWN,0
2016-11-18,39.68,39.68,40.118,37.6914,43.1351,DOWN,0
2016-11-21,39.59,39.79,39.768,37.7782,43.1421,UP,1
2016-11-22,40.25,39.85,39.784,37.8774,43.1474,DOWN,0
2016-11-23,39.98,39.31,39.866,37.9578,43.1536,UP,1
2016-11-25,40.58,39.96,40.016,38.0446,43.1615,DOWN,0
2016-11-28,40.1,40.51,40.1,38.1316,43.1654,UP,1
2016-11-29,40.71,40.31,40.324,38.239,43.1661,DOWN,0
2016-11-30,39.81,40.48,40.236,38.309,43.151,DOWN,0
2016-12-01,38.85,39.87,40.01,38.36,43.136,UP,1
2016-12-02,39.28,38.71,39.75,38.4022,43.12,UP,1
2016-12-05,40.64,39.7,39.858,38.4666,43.1028,UP,1
2016-12-06,41.25,40.88,39.966,38.5572,43.0748,UP,1
2016-12-07,42.66,41.27,40.536,38.6566,43.0486,UP,1
2016-12-08,44.02,42.77,41.57,38.7882,43.0254,UP,1
2016-12-09,44.5,44.19,42.614,38.935,42.9997,DOWN,0
2016-12-12,43.99,44.21,43.284,39.0608,42.974,DOWN,0
2016-12-13,43.9,44.04,43.814,39.1832,42.942,UP,1
2016-12-14,44.03,43.92,44.088,39.3028,42.9095,UP,1
2016-12-15,45.14,44.17,44.312,39.4404,42.8852,DOWN,0
2016-12-16,44.13,45.2,44.238,39.5502,42.858,DOWN,0
2016-12-19,43.06,43.97,44.052,39.6422,42.8249,UP,1
2016-12-20,44.92,43.52,44.256,39.771,42.813,UP,1
2016-12-21,44.93,45.02,44.436,39.9106,42.7997,DOWN,0
2016-12-22,43.38,44.83,44.084,40.0166,42.7803,UP,1
2016-12-23,43.51,43.51,43.96,40.131,42.7535,UP,1
2016-12-27,43.69,43.62,44.086,40.2582,42.7235,DOWN,0
2016-12-28,42.93,43.68,43.688,40.3674,42.6961,DOWN,0
2016-12-29,42.66,42.93,43.234,40.4556,42.6608,DOWN,0
2016-12-30,42.53,42.62,43.064,40.544,42.6164,UP,1
2017-01-03,42.79,43.13,42.92,40.625,42.5681,UP,1
2017-01-04,44.77,43.1,43.136,40.7606,42.5284,DOWN,0
2017-01-05,44.55,44.51,43.46,40.8904,42.4929,DOWN,0
2017-01-06,44.25,44.75,43.778,41.0208,42.4653,UP,1
2017-01-09,44.39,44.14,44.15,41.1492,42.4319,UP,1
2017-01-10,45.22,44.33,44.636,41.3394,42.4012,UP,1
2017-01-11,45.75,45.01,44.832,41.4896,42.3737,DOWN,0
