ticker,WAT US Equity,WAT US Equity,WAT US Equity,WAT US Equity,WAT US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2014-01-08,100.48,100.49,99.5983,99.302,99.4888,UP,1
2014-01-09,100.62,100.8,99.6351,99.582,99.4564,UP,1
2014-01-10,101.46,100.62,99.6766,100.266,99.4426,DOWN,0
2014-01-13,100.51,101.29,99.7096,100.69,99.4332,UP,1
2014-01-14,103.0,100.56,99.7561,101.214,99.4748,UP,1
2014-01-15,103.95,103.03,99.7983,101.908,99.5422,UP,1
2014-01-16,105.25,103.9,99.8531,102.834,99.6312,DOWN,0
2014-01-17,104.4,104.82,99.9023,103.422,99.7298,UP,1
2014-01-21,105.05,104.84,99.9656,104.33,99.837,DOWN,0
2014-01-22,104.96,105.3,100.0252,104.722,99.9672,DOWN,0
2014-01-23,104.58,104.07,100.0824,104.848,100.0564,DOWN,0
2014-01-24,103.02,104.09,100.1219,104.402,100.1236,DOWN,0
2014-01-27,102.9,103.645,100.1591,104.102,100.1912,UP,1
2014-01-28,110.41,109.0,100.2395,105.174,100.3984,DOWN,0
2014-01-29,108.81,110.01,100.327,105.944,100.5622,UP,1
2014-01-30,109.81,109.42,100.4176,106.99,100.716,DOWN,0
2014-01-31,108.27,108.61,100.5097,108.04,100.8564,DOWN,0
2014-02-03,105.11,108.45,100.594,108.482,100.9486,UP,1
2014-02-04,105.22,105.47,100.6779,107.444,101.045,UP,1
2014-02-05,105.31,105.04,100.7583,106.744,101.1236,UP,1
2014-02-06,106.9,105.64,100.8323,106.162,101.2398,UP,1
2014-02-07,108.72,107.21,100.9135,106.252,101.401,UP,1
2014-02-10,109.19,108.5,100.995,107.068,101.5914,UP,1
2014-02-11,109.85,109.25,101.0828,107.994,101.7904,UP,1
2014-02-12,110.79,109.79,101.1745,109.09,102.0156,UP,1
2014-02-13,112.05,110.34,101.2727,110.12,102.265,UP,1
2014-02-14,112.48,111.05,101.3732,110.872,102.5278,DOWN,0
2014-02-18,111.89,112.74,101.4695,111.412,102.7816,UP,1
2014-02-19,112.12,111.39,101.5651,111.866,103.0542,UP,1
2014-02-20,114.94,112.0,101.6722,112.696,103.3888,DOWN,0
2014-02-21,113.31,115.02,101.7664,112.948,103.6852,UP,1
2014-02-24,113.59,113.4,101.8553,113.17,104.0164,DOWN,0
2014-02-25,112.59,113.63,101.9362,113.31,104.3632,DOWN,0
2014-02-26,111.87,112.68,102.011,113.26,104.6804,UP,1
2014-02-27,112.21,111.92,102.0895,112.714,105.004,DOWN,0
2014-02-28,111.4,112.18,102.1578,112.332,105.2976,DOWN,0
2014-03-03,110.54,110.7,102.218,111.722,105.5864,UP,1
2014-03-04,112.59,111.54,102.2956,111.722,105.8622,UP,1
2014-03-05,112.89,112.78,102.3701,111.926,106.1396,DOWN,0
2014-03-06,112.78,113.36,102.4463,112.04,106.4036,DOWN,0
2014-03-07,112.72,113.23,102.5195,112.304,106.6686,UP,1
2014-03-10,113.07,112.7,102.6014,112.81,106.938,UP,1
2014-03-11,113.36,113.09,102.6823,112.964,107.2132,DOWN,0
2014-03-12,113.24,113.0,102.7596,113.034,107.4908,DOWN,0
2014-03-13,112.7,113.5,102.8267,113.018,107.7388,UP,1
2014-03-14,113.04,112.53,102.9041,113.082,107.9996,UP,1
2014-03-17,113.65,113.38,102.9837,113.198,108.2882,UP,1
2014-03-18,114.23,113.73,103.0713,113.372,108.612,DOWN,0
2014-03-19,112.8,114.12,103.1503,113.284,108.9002,DOWN,0
2014-03-20,112.49,112.12,103.2298,113.242,109.1424,DOWN,0
2014-03-21,110.74,113.67,103.3024,112.782,109.3476,DOWN,0
2014-03-24,108.48,111.41,103.3581,111.748,109.5048,UP,1
2014-03-25,108.62,108.96,103.4093,110.626,109.648,DOWN,0
2014-03-26,107.36,109.05,103.4545,109.538,109.785,UP,1
2014-03-27,107.81,107.4,103.5076,108.602,109.8812,DOWN,0
2014-03-28,107.68,108.15,103.5601,107.99,109.9558,UP,1
2014-03-31,108.41,108.45,103.6071,107.976,110.019,UP,1
2014-04-01,108.88,108.86,103.6585,108.028,110.1086,UP,1
2014-04-02,110.65,108.75,103.7107,108.686,110.2206,UP,1
2014-04-03,110.85,110.75,103.7554,109.294,110.3384,UP,1
2014-04-04,111.03,111.5,103.8095,109.964,110.4674,DOWN,0
2014-04-07,109.41,110.95,103.8697,110.164,110.5952,UP,1
2014-04-08,111.45,109.41,103.9307,110.678,110.7662,UP,1
2014-04-09,114.29,111.66,104.014,111.406,110.8438,DOWN,0
2014-04-10,109.92,114.36,104.0649,111.22,110.866,DOWN,0
2014-04-11,108.0,109.13,104.1078,110.614,110.8298,UP,1
2014-04-14,109.14,109.03,104.1516,110.56,110.8472,UP,1
2014-04-15,109.65,109.79,104.1996,110.2,110.938,UP,1
2014-04-16,109.82,110.26,104.2369,109.306,111.03,UP,1
2014-04-17,111.15,109.46,104.2908,109.552,111.1468,DOWN,0
2014-04-21,111.09,111.24,104.3439,110.17,111.2306,UP,1
2014-04-22,111.6,111.07,104.3919,110.662,111.2882,DOWN,0
2014-04-23,110.4,112.1,104.4354,110.812,111.3124,DOWN,0
2014-04-24,110.29,111.19,104.4759,110.906,111.3212,DOWN,0
2014-04-25,108.7,110.3,104.498,110.416,111.2794,DOWN,0
2014-04-28,108.24,109.71,104.5167,109.846,111.2032,DOWN,0
2014-04-29,99.03,103.91,104.4892,107.332,110.9342,DOWN,0
2014-04-30,98.54,98.66,104.4587,104.96,110.6672,UP,1
