ticker,LEN US Equity,LEN US Equity,LEN US Equity,LEN US Equity,LEN US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2013-07-31,33.809,33.0504,38.9389,33.3878,36.8346,UP,1
2013-08-01,33.9388,34.2582,38.9303,33.5136,36.6655,UP,1
2013-08-02,34.6475,34.2482,38.9251,33.7432,36.5142,DOWN,0
2013-08-05,33.9388,34.4678,38.9098,33.8789,36.3265,DOWN,0
2013-08-06,33.2401,33.7092,38.8898,33.9148,36.137,DOWN,0
2013-08-07,32.192,33.1003,38.8604,33.5914,35.9382,UP,1
2013-08-08,32.2818,32.4415,38.8288,33.26,35.7781,UP,1
2013-08-09,32.8707,32.172,38.7998,32.9047,35.6341,UP,1
2013-08-12,32.9705,32.6611,38.7741,32.711,35.5086,DOWN,0
2013-08-13,32.1021,33.0404,38.7462,32.4834,35.3674,DOWN,0
2013-08-14,31.603,31.9624,38.7136,32.3656,35.2401,UP,1
2013-08-15,33.2201,31.2237,38.6925,32.5533,35.1568,UP,1
2013-08-16,33.819,33.2401,38.6768,32.743,35.0636,DOWN,0
2013-08-19,32.3317,33.6693,38.6515,32.6152,34.9396,UP,1
2013-08-20,33.3499,32.5214,38.6271,32.8647,34.8617,DOWN,0
2013-08-21,32.9506,33.1203,38.6056,33.1343,34.7897,UP,1
2013-08-22,33.4996,32.9905,38.5804,33.1901,34.7266,DOWN,0
2013-08-23,32.5413,33.5894,38.549,32.9346,34.6042,UP,1
2013-08-26,32.741,32.5413,38.5178,33.0165,34.4798,DOWN,0
2013-08-27,32.2119,32.2618,38.4871,32.7889,34.3391,DOWN,0
2013-08-28,31.5631,32.0921,38.4548,32.5114,34.1854,UP,1
2013-08-29,32.5613,31.5032,38.436,32.3237,34.0809,DOWN,0
2013-08-30,31.7527,32.5713,38.414,32.166,34.0185,DOWN,0
2013-09-03,31.5331,32.0821,38.397,31.9244,33.9454,UP,1
2013-09-04,31.7627,31.5232,38.3816,31.8346,33.8821,DOWN,0
2013-09-05,31.4732,31.7328,38.3586,31.8166,33.8082,UP,1
2013-09-06,32.192,32.0722,38.3359,31.7428,33.7332,UP,1
2013-09-09,33.9288,32.2019,38.3154,32.178,33.6655,DOWN,0
2013-09-10,33.4197,34.0885,38.2912,32.5553,33.6144,UP,1
2013-09-11,34.5477,33.3898,38.2709,33.1123,33.5972,UP,1
2013-09-12,34.8372,34.5178,38.2527,33.7851,33.5954,DOWN,0
2013-09-13,34.4179,34.917,38.2316,34.2303,33.5781,UP,1
2013-09-16,34.7074,35.5359,38.2135,34.386,33.5948,UP,1
2013-09-17,34.9769,34.6575,38.1976,34.6974,33.6345,UP,1
2013-09-18,37.2628,34.927,38.1941,35.2405,33.6809,DOWN,0
2013-09-19,36.2047,37.5523,38.1864,35.514,33.715,DOWN,0
2013-09-20,35.0867,36.2347,38.1733,35.6477,33.6693,DOWN,0
2013-09-23,34.4778,34.937,38.1639,35.6018,33.6192,UP,1
2013-09-24,35.9452,35.4561,38.1625,35.7955,33.6284,UP,1
2013-09-25,36.3245,36.2347,38.161,35.6078,33.6465,UP,1
2013-09-26,36.4243,36.5541,38.1604,35.6517,33.6633,DOWN,0
2013-09-27,35.7955,36.2248,38.1577,35.7935,33.6771,DOWN,0
2013-09-30,35.3363,35.1766,38.1454,35.9651,33.6745,UP,1
2013-10-01,35.6557,35.2764,38.138,35.9073,33.6928,UP,1
2013-10-02,36.035,35.4361,38.1319,35.8494,33.7094,DOWN,0
2013-10-03,35.6557,36.0051,38.1166,35.6956,33.7453,DOWN,0
2013-10-04,34.6276,35.6058,38.0915,35.4621,33.7717,UP,1
2013-10-07,34.6375,34.2582,38.0687,35.3223,33.7945,DOWN,0
2013-10-08,33.6693,34.6176,38.041,34.925,33.8026,DOWN,0
2013-10-09,33.3199,33.7591,38.0156,34.382,33.8078,UP,1
2013-10-10,33.7392,33.7791,37.9932,33.9987,33.8064,UP,1
2013-10-11,34.7573,33.819,37.9773,34.0246,33.8228,DOWN,0
2013-10-14,34.2482,34.2682,37.9585,33.9468,33.8148,DOWN,0
2013-10-15,33.28,33.829,37.9371,33.8689,33.8016,UP,1
2013-10-16,33.7991,33.4597,37.9131,33.9648,33.8128,UP,1
2013-10-17,35.2964,33.5894,37.8906,34.2762,33.8749,DOWN,0
2013-10-18,34.9769,35.496,37.8663,34.3201,33.9288,DOWN,0
2013-10-21,34.6475,35.0867,37.8387,34.4,33.9644,UP,1
2013-10-22,36.1049,34.7673,37.8135,34.9649,34.027,UP,1
2013-10-23,36.4842,35.7955,37.7905,35.502,34.1147,UP,1
2013-10-24,37.143,36.614,37.768,35.8713,34.2255,DOWN,0
2013-10-25,36.9234,37.2329,37.7479,36.2606,34.2995,DOWN,0
2013-10-28,36.7637,36.9334,37.7273,36.6838,34.3584,UP,1
2013-10-29,37.3127,36.8635,37.7092,36.9254,34.4581,DOWN,0
2013-10-30,36.574,37.2828,37.689,36.9434,34.5225,DOWN,0
2013-10-31,35.486,36.574,37.6642,36.612,34.5733,DOWN,0
2013-11-01,34.917,35.5958,37.6294,36.2107,34.6016,UP,1
2013-11-04,35.0668,34.8871,37.5948,35.8713,34.6521,DOWN,0
2013-11-05,34.2482,34.927,37.556,35.2584,34.6823,UP,1
2013-11-06,34.4579,34.378,37.5157,34.8352,34.7272,DOWN,0
2013-11-07,34.1784,34.8571,37.4754,34.5737,34.7795,DOWN,0
2013-11-08,32.731,33.839,37.4241,34.1364,34.7829,DOWN,0
2013-11-11,32.5214,32.6012,37.3775,33.6274,34.7983,UP,1
2013-11-12,32.8508,32.5114,37.3288,33.3479,34.8246,UP,1
2013-11-13,33.27,32.5812,37.2875,33.1103,34.8547,UP,1
2013-11-14,34.1584,33.3099,37.251,33.1063,34.9085,DOWN,0
2013-11-15,34.1085,34.2782,37.2165,33.3818,34.9468,UP,1
2013-11-18,34.4579,34.378,37.1864,33.7691,34.9574,DOWN,0
2013-11-19,34.1484,34.3081,37.1527,34.0286,34.9719,UP,1
2013-11-20,34.4878,35.1267,37.122,34.2722,34.9707,UP,1
2013-11-21,34.8571,34.6775,37.0961,34.4119,34.9711,DOWN,0
2013-11-22,34.4878,34.927,37.0691,34.4878,34.9725,DOWN,0
2013-11-25,34.2482,34.4978,37.0443,34.4459,34.9634,UP,1
2013-11-26,35.9851,34.4678,37.0202,34.8132,34.9835,DOWN,0
2013-11-27,35.8853,36.025,36.9959,35.0927,34.956,DOWN,0
2013-11-29,35.6956,35.9352,36.9715,35.2604,34.9458,DOWN,0
2013-12-02,35.1167,35.7555,36.9465,35.3862,34.9464,UP,1
2013-12-03,35.2464,34.8871,36.9235,35.5858,34.9618,DOWN,0
2013-12-04,34.4579,35.0468,36.9102,35.2804,34.932,DOWN,0
2013-12-05,34.1584,34.4379,36.8929,34.935,34.8887,UP,1
2013-12-06,34.4778,34.6974,36.8763,34.6914,34.8498,UP,1
2013-12-09,35.1766,34.5776,36.8692,34.7034,34.8374,UP,1
2013-12-10,35.6857,35.3762,36.8579,34.7913,34.8444,DOWN,0
2013-12-11,34.9669,35.5858,36.8384,34.8931,34.8306,DOWN,0
2013-12-12,34.8272,34.937,36.8199,35.0268,34.8064,UP,1
2013-12-13,34.937,34.8971,36.8007,35.1187,34.7921,DOWN,0
2013-12-16,34.937,35.1167,36.7765,35.0708,34.7983,UP,1
2013-12-17,35.1366,34.917,36.7491,34.961,34.8082,UP,1
2013-12-18,37.3626,36.624,36.73,35.4401,34.8821,DOWN,0
2013-12-19,36.9733,37.0931,36.7082,35.8693,34.9552,UP,1
2013-12-20,37.3127,36.9234,36.6865,36.3445,35.0266,UP,1
2013-12-23,38.6803,37.682,36.6712,37.0931,35.1051,UP,1
2013-12-24,38.8999,38.5704,36.6611,37.8458,35.1981,UP,1
2013-12-26,39.1893,38.84,36.6516,38.2111,35.3163,UP,1
2013-12-27,39.4788,39.1694,36.6396,38.7122,35.4299,UP,1
2013-12-30,39.6785,39.4888,36.6295,39.1853,35.5176,DOWN,0
2013-12-31,39.4888,39.6685,36.6195,39.347,35.6078,DOWN,0
2014-01-02,39.349,39.0895,36.6095,39.4369,35.7018,DOWN,0
2014-01-03,38.7801,39.4089,36.5868,39.355,35.7553,DOWN,0
2014-01-06,38.1213,38.9997,36.5658,39.0835,35.7881,UP,1
