ticker,GE US Equity,GE US Equity,GE US Equity,GE US Equity,GE US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2018-05-03,107.1218,109.1212,146.9952,108.5983,107.1372,UP,1
2018-05-04,108.4291,106.6604,146.5015,108.1677,107.0572,DOWN,0
2018-05-07,108.1984,108.3522,146.0163,108.1677,106.9926,UP,1
2018-05-08,109.7364,109.0443,145.5687,108.506,106.9342,UP,1
2018-05-09,112.4279,110.3516,145.1531,109.1827,106.9526,UP,1
2018-05-10,112.9662,113.5045,144.7398,110.3516,107.0418,DOWN,0
2018-05-11,112.2741,113.3507,144.3172,111.1206,107.131,UP,1
2018-05-14,113.12,113.0431,143.8912,112.1049,107.2218,DOWN,0
2018-05-15,113.12,113.0431,143.4751,112.7817,107.2664,UP,1
2018-05-16,115.5808,113.12,143.0683,113.4122,107.3264,DOWN,0
2018-05-17,115.5808,116.2729,142.6681,113.9352,107.4063,DOWN,0
2018-05-18,115.1194,115.9653,142.2624,114.5042,107.4756,UP,1
2018-05-21,117.3495,118.1185,141.8587,115.3501,107.5248,UP,1
2018-05-22,117.5802,118.3492,141.4554,116.2422,107.554,DOWN,0
2018-05-23,109.0443,116.8881,141.0151,114.9349,107.5155,UP,1
2018-05-24,112.2741,110.2747,140.5937,114.2735,107.5663,UP,1
2018-05-25,112.5048,112.351,140.1677,113.7506,107.6078,DOWN,0
2018-05-29,109.0443,111.3513,139.7401,112.0896,107.5878,DOWN,0
2018-05-30,108.9674,108.7367,139.316,110.367,107.6032,DOWN,0
2018-05-31,108.2753,108.4291,138.8823,110.2132,107.6709,UP,1
2018-06-01,108.4291,108.4291,138.4578,109.4442,107.7047,DOWN,0
2018-06-04,105.43,108.6598,138.0198,108.0292,107.7601,UP,1
2018-06-05,106.1221,105.43,137.5988,107.4448,107.8724,DOWN,0
2018-06-06,104.8917,106.2759,137.1793,106.6297,107.9877,UP,1
2018-06-07,105.9683,104.8148,136.7675,106.1683,108.04,UP,1
2018-06-08,107.1218,105.9683,136.3573,105.9068,108.0784,UP,1
2018-06-11,107.5063,107.5832,135.957,106.3221,108.1553,DOWN,0
2018-06-12,107.5063,107.8908,135.5602,106.5989,108.2876,DOWN,0
2018-06-13,106.8142,107.8139,135.1526,106.9834,108.4045,DOWN,0
2018-06-14,104.8917,106.6604,134.7362,106.7681,108.4599,DOWN,0
2018-06-15,102.2771,103.892,134.3079,105.7991,108.4399,DOWN,0
2018-06-18,101.5081,101.585,133.8818,104.5995,108.4614,DOWN,0
2018-06-19,99.5856,100.4315,133.4358,103.0153,108.4799,DOWN,0
2018-06-20,99.0473,98.1245,132.9644,101.462,108.4537,DOWN,0
2018-06-21,98.1245,98.509,132.503,100.1085,108.4214,UP,1
2018-06-22,100.3546,98.1245,132.0466,99.724,108.4014,DOWN,0
2018-06-25,98.0476,100.2008,131.6133,99.0319,108.2876,UP,1
2018-06-26,105.6607,103.5075,131.2257,100.2469,108.3507,UP,1
2018-06-27,107.3525,106.5835,130.8504,101.908,108.3768,DOWN,0
