ticker,ALLE US Equity,ALLE US Equity,ALLE US Equity,ALLE US Equity,ALLE US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2015-02-05,57.0,55.75,55.236,54.662,52.6373,UP,1
2015-02-06,57.55,57.22,55.944,54.734,52.673,DOWN,0
2015-02-09,56.91,57.54,56.428,54.8008,52.7064,DOWN,0
2015-02-10,56.88,57.22,56.794,54.8772,52.7431,DOWN,0
2015-02-11,56.72,56.94,57.012,54.9346,52.7826,UP,1
2015-02-12,57.76,57.14,57.164,55.0158,52.8269,UP,1
2015-02-13,58.66,57.72,57.386,55.1018,52.8734,DOWN,0
2015-02-17,58.56,58.79,57.716,55.1792,52.91,DOWN,0
2015-02-18,56.0,56.88,57.54,55.2074,52.9365,UP,1
2015-02-19,57.62,55.94,57.72,55.2488,52.9743,UP,1
2015-02-20,58.6,57.44,57.888,55.3226,53.0178,DOWN,0
2015-02-23,58.34,58.36,57.824,55.3894,53.0599,UP,1
2015-02-24,58.4,58.11,57.792,55.4744,53.1051,UP,1
2015-02-25,58.55,58.48,58.302,55.5616,53.1478,DOWN,0
2015-02-26,58.29,58.74,58.436,55.6512,53.1869,DOWN,0
2015-02-27,57.73,58.21,58.262,55.7318,53.2231,UP,1
2015-03-02,58.82,57.77,58.358,55.8396,53.2683,DOWN,0
2015-03-03,58.5,58.44,58.378,55.9274,53.3193,DOWN,0
2015-03-04,58.45,58.65,58.358,55.9974,53.3652,DOWN,0
2015-03-05,58.11,58.48,58.322,56.0598,53.4047,DOWN,0
2015-03-06,57.45,57.69,58.266,56.0966,53.4394,UP,1
2015-03-09,57.99,57.41,58.1,56.1428,53.4758,DOWN,0
2015-03-10,57.61,57.69,57.922,56.1804,53.5064,UP,1
2015-03-11,57.91,57.7,57.814,56.2256,53.5337,UP,1
2015-03-12,58.4,57.93,57.872,56.2754,53.5633,DOWN,0
2015-03-13,58.16,58.09,58.014,56.3254,53.5894,UP,1
2015-03-16,58.74,58.51,58.164,56.391,53.6155,DOWN,0
2015-03-17,58.34,58.21,58.31,56.4568,53.6453,UP,1
2015-03-18,59.84,58.29,58.696,56.5548,53.6841,UP,1
2015-03-19,60.01,59.86,59.018,56.658,53.7221,UP,1
2015-03-20,61.14,60.41,59.614,56.7688,53.7621,DOWN,0
2015-03-23,60.9,61.24,60.046,56.8598,53.795,DOWN,0
2015-03-24,60.9,60.74,60.558,56.9602,53.8204,DOWN,0
2015-03-25,60.31,60.84,60.652,57.0666,53.8402,UP,1
2015-03-26,60.51,60.3,60.752,57.1748,53.8591,UP,1
2015-03-27,61.23,60.49,60.77,57.2928,53.8835,UP,1
2015-03-30,61.91,61.4,60.972,57.455,53.9125,DOWN,0
2015-03-31,61.17,61.5,61.026,57.611,53.9379,DOWN,0
2015-04-01,61.08,60.98,61.18,57.7768,53.9576,UP,1
2015-04-02,61.45,61.15,61.368,57.9474,53.9786,UP,1
