ticker,LNC US Equity,LNC US Equity,LNC US Equity,LNC US Equity,LNC US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-12-26,47.4375,47.1875,42.0799,46.75,46.7038,UP,1
2000-12-27,48.0,47.5625,42.2039,46.9625,46.7713,DOWN,0
2000-12-28,47.75,48.4375,42.3174,47.325,46.8588,DOWN,0
2000-12-29,47.3125,47.6875,42.4127,47.5375,46.9575,DOWN,0
2001-01-02,45.4375,47.3125,42.4999,47.1875,46.9813,UP,1
2001-01-03,46.5625,45.0,42.5914,47.0125,47.0225,DOWN,0
2001-01-04,42.9375,45.75,42.6596,46.0,46.9963,DOWN,0
2001-01-05,42.1875,43.75,42.7249,44.8875,46.9125,DOWN,0
2001-01-08,41.6875,42.25,42.7777,43.7625,46.8063,UP,1
2001-01-09,42.9375,41.9375,42.8321,43.2625,46.7525,DOWN,0
2001-01-10,42.6875,41.375,42.893,42.4875,46.6775,DOWN,0
2001-01-11,41.625,42.9375,42.9502,42.225,46.545,DOWN,0
2001-01-12,40.4375,42.1875,42.9958,41.875,46.3862,UP,1
2001-01-16,42.5,40.0625,43.0333,42.0375,46.2763,DOWN,0
2001-01-17,42.4375,43.25,43.078,41.9375,46.1525,DOWN,0
2001-01-18,41.75,42.5,43.1214,41.75,46.0613,DOWN,0
2001-01-19,41.0625,41.8125,43.1611,41.6375,45.96,UP,1
2001-01-22,43.0625,41.3125,43.2121,42.1625,45.8588,UP,1
2001-01-23,43.625,43.3125,43.273,42.3875,45.7675,UP,1
2001-01-24,44.75,43.875,43.3427,42.85,45.705,DOWN,0
2001-01-25,44.25,43.75,43.4092,43.35,45.6238,UP,1
2001-01-26,44.6875,44.625,43.4742,44.075,45.59,UP,1
2001-01-29,44.88,44.7,43.5343,44.4385,45.5214,UP,1
2001-01-30,45.02,44.95,43.5859,44.7175,45.4768,DOWN,0
2001-01-31,44.85,45.0,43.653,44.7375,45.4188,UP,1
2001-02-01,45.29,44.8,43.7223,44.9455,45.3883,UP,1
2001-02-02,45.45,45.27,43.7904,45.098,45.3735,UP,1
2001-02-05,46.69,45.2,43.863,45.46,45.4099,DOWN,0
2001-02-06,46.25,48.25,43.928,45.706,45.4811,DOWN,0
2001-02-07,46.03,46.0,43.9853,45.942,45.528,DOWN,0
2001-02-08,45.6,46.3,44.0461,46.004,45.5425,UP,1
2001-02-09,45.76,45.75,44.1158,46.066,45.5514,UP,1
