ticker,BIIB US Equity,BIIB US Equity,BIIB US Equity,BIIB US Equity,BIIB US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-12-08,65.494,63.94,40.0472,60.0021,56.2798,UP,1
2000-12-11,66.933,66.876,40.1769,62.7423,56.5416,DOWN,0
2000-12-12,63.709,67.164,40.2792,63.886,56.8517,DOWN,0
2000-12-13,62.443,64.515,40.3661,64.1854,57.1238,UP,1
2000-12-14,63.921,61.1,40.4722,64.5001,57.4132,UP,1
2000-12-15,64.304,64.573,40.5634,64.2621,57.7091,UP,1
2000-12-18,69.159,65.744,40.6462,64.7073,58.1029,DOWN,0
2000-12-19,61.522,68.66,40.7104,64.2698,58.3216,DOWN,0
2000-12-20,56.513,59.066,40.7587,63.0839,58.4141,UP,1
2000-12-21,57.473,56.801,40.8267,61.7944,58.5549,UP,1
2000-12-22,60.159,59.123,40.929,60.9654,58.7763,UP,1
2000-12-26,62.136,59.526,41.062,59.5607,59.0212,DOWN,0
2000-12-27,61.388,61.119,41.2077,59.5338,59.2196,DOWN,0
2000-12-28,60.409,60.313,41.3431,60.3129,59.3098,DOWN,0
2000-12-29,58.202,60.351,41.4501,60.4588,59.3202,DOWN,0
2001-01-02,54.575,58.106,41.5404,59.3419,59.2534,UP,1
2001-01-03,57.204,54.211,41.6629,58.3556,59.2292,DOWN,0
2001-01-04,50.968,55.516,41.7403,56.2716,59.0395,DOWN,0
2001-01-05,47.609,51.025,41.7768,53.7117,58.759,DOWN,0
2001-01-08,45.806,46.803,41.8122,51.2324,58.5268,DOWN,0
2001-01-09,44.059,46.727,41.8498,49.1292,58.2401,UP,1
2001-01-10,48.55,43.676,41.9123,47.3983,58.0758,UP,1
2001-01-11,50.661,49.202,41.9914,47.3369,57.9545,UP,1
2001-01-12,51.774,51.332,42.1019,48.1697,57.7857,UP,1
2001-01-16,52.81,51.409,42.2328,49.5706,57.5761,DOWN,0
2001-01-17,50.142,53.424,42.3327,50.7872,57.2399,UP,1
2001-01-18,52.388,51.006,42.4501,51.5548,56.9751,UP,1
2001-01-19,52.402,56.82,42.564,51.9031,56.7393,UP,1
2001-01-22,55.381,54.921,42.672,52.6246,56.5567,UP,1
2001-01-23,58.145,55.957,42.7984,53.6916,56.3671,UP,1
2001-01-24,59.008,58.663,42.9379,55.4647,56.2611,DOWN,0
2001-01-25,56.892,58.087,43.0736,56.3656,56.1728,UP,1
2001-01-26,58.317,55.266,43.2294,57.5487,56.2983,UP,1
2001-01-29,61.541,59.123,43.4136,58.7806,56.4798,DOWN,0
2001-01-30,57.684,61.829,43.5831,58.6885,56.517,DOWN,0
2001-01-31,54.172,58.432,43.7434,57.7214,56.5232,DOWN,0
2001-02-01,52.56,54.115,43.9069,56.855,56.5274,UP,1
2001-02-02,52.719,54.806,44.0596,55.7352,56.6457,UP,1
2001-02-05,52.963,51.524,44.2056,54.0197,56.7136,UP,1
2001-02-06,54.345,53.597,44.3804,53.3519,56.7677,DOWN,0
2001-02-07,53.539,53.481,44.5601,53.2252,56.7516,UP,1
2001-02-08,54.806,53.884,44.7424,53.6743,56.653,DOWN,0
2001-02-09,54.633,54.057,44.9231,54.0571,56.5874,UP,1
2001-02-12,56.878,54.633,45.1185,54.8401,56.5843,DOWN,0
2001-02-13,54.921,57.554,45.2948,54.9552,56.6138,UP,1
2001-02-14,55.669,55.381,45.4625,55.3812,56.628,DOWN,0
2001-02-15,54.806,55.439,45.6337,55.3812,56.6595,DOWN,0
2001-02-16,50.661,52.388,45.7873,54.5867,56.5129,UP,1
2001-02-20,51.121,51.697,45.933,53.4354,56.3164,DOWN,0
2001-02-21,49.049,50.661,46.0628,52.261,56.0504,DOWN,0
2001-02-22,48.415,49.351,46.1902,50.8102,55.7089,UP,1
2001-02-23,49.739,47.782,46.3268,49.797,55.365,UP,1
2001-02-26,53.424,50.848,46.4829,50.3497,55.1593,DOWN,0
2001-02-27,50.142,54.057,46.6205,50.1539,54.9133,UP,1
2001-02-28,51.927,51.092,46.7597,50.7296,54.6734,DOWN,0
2001-03-01,50.243,51.121,46.8956,51.0952,54.3922,DOWN,0
2001-03-02,50.027,48.646,47.0306,51.1528,54.0095,UP,1
2001-03-05,50.603,50.027,47.1737,50.5886,53.7911,UP,1
2001-03-06,52.503,51.754,47.3261,51.0607,53.7109,DOWN,0
2001-03-07,51.639,52.215,47.477,51.0031,53.5943,DOWN,0
2001-03-08,51.236,50.2,47.6381,51.2017,53.4158,DOWN,0
2001-03-09,47.091,49.682,47.7766,50.6145,53.1149,DOWN,0
2001-03-12,42.083,45.537,47.8889,48.9105,52.7288,UP,1
2001-03-13,44.213,43.004,48.0179,47.2525,52.4049,UP,1
2001-03-14,47.091,42.371,48.1564,46.3429,52.1827,DOWN,0
2001-03-15,46.919,48.358,48.2906,45.4794,52.0295,DOWN,0
2001-03-16,44.328,46.746,48.4143,44.9267,51.772,UP,1
2001-03-19,48.358,45.134,48.5408,46.1817,51.7198,DOWN,0
2001-03-20,45.249,48.876,48.6343,46.3889,51.6726,DOWN,0
2001-03-21,38.744,45.364,48.6918,44.7195,51.5314,DOWN,0
2001-03-22,35.52,38.226,48.7217,42.4397,51.3606,UP,1
2001-03-23,36.556,35.865,48.7585,40.8854,51.1207,DOWN,0
2001-03-26,35.981,37.477,48.795,38.4099,50.8271,DOWN,0
2001-03-27,35.405,36.326,48.8182,36.4411,50.4997,UP,1
2001-03-28,36.268,34.599,48.8538,35.946,50.1689,UP,1
2001-03-29,37.765,36.383,48.8838,36.395,49.9214,DOWN,0
2001-03-30,36.844,38.456,48.9182,36.4526,49.6105,DOWN,0
2001-04-02,35.635,36.153,48.9462,36.3835,49.2752,DOWN,0
2001-04-03,32.872,34.887,48.95,35.8769,48.825,UP,1
2001-04-04,32.929,32.814,48.93,35.2091,48.3207,UP,1
2001-04-05,38.801,35.002,48.9445,35.4163,47.9165,DOWN,0
2001-04-06,38.111,37.305,48.9468,35.6696,47.5409,UP,1
2001-04-09,39.967,39.239,48.9801,36.5359,47.1739,UP,1
2001-04-10,43.577,41.026,49.0237,38.677,46.8146,DOWN,0
2001-04-11,41.79,44.766,49.0516,40.4492,46.4967,UP,1
2001-04-12,45.346,41.422,49.1013,41.7581,46.3202,DOWN,0
2001-04-16,44.931,45.834,49.1316,43.1223,46.1676,UP,1
2001-04-17,46.525,44.213,49.1738,44.4339,46.0438,UP,1
