ticker,ASMLF US Equity,ASMLF US Equity,ASMLF US Equity,ASMLF US Equity,ASMLF US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2004-01-07,20.8476,20.8476,20.5089,18.1267,14.6568,UP,1
2004-01-08,21.4392,21.4392,20.8304,18.2362,14.6898,UP,1
2004-01-09,22.2634,22.2634,21.1759,18.3695,14.7326,DOWN,0
2004-01-13,21.8,21.8,21.4166,18.4906,14.7583,UP,1
2004-01-14,21.8982,21.8982,21.6497,18.6154,14.7709,DOWN,0
2004-01-15,21.35,21.35,21.7502,18.7219,14.7925,UP,1
2004-01-20,21.4549,21.4549,21.7533,18.8335,14.8061,DOWN,0
2004-01-21,21.1587,21.1587,21.5324,18.9472,14.8223,DOWN,0
2004-01-23,20.8768,20.8768,21.3477,19.0529,14.8403,DOWN,0
2004-01-26,20.2324,20.2324,21.0146,19.1466,14.8459,DOWN,0
2004-01-27,19.9693,19.9693,20.7384,19.2098,14.8464,UP,1
2004-01-28,20.4549,20.4549,20.5384,19.2753,14.8561,DOWN,0
2004-01-29,19.4477,19.4477,20.1962,19.3189,14.8627,DOWN,0
2004-01-30,19.1789,19.1789,19.8566,19.3566,14.8642,DOWN,0
2004-02-03,19.1618,19.1618,19.6425,19.3729,14.8662,DOWN,0
2004-02-04,18.6921,18.6921,19.3871,19.386,14.8653,UP,1
2004-02-05,18.888,18.888,19.0737,19.408,14.8624,UP,1
2004-02-06,19.6047,19.6047,19.1051,19.4272,14.8683,UP,1
2004-02-09,19.9101,19.9101,19.2514,19.4594,14.8747,DOWN,0
2004-02-10,19.6918,19.6918,19.3574,19.5012,14.8735,DOWN,0
2004-02-11,19.665,19.665,19.5519,19.5277,14.878,UP,1
2004-02-12,19.8819,19.8819,19.7507,19.5559,14.8624,DOWN,0
2004-02-13,19.5975,19.5975,19.7493,19.5863,14.8459,UP,1
2004-02-17,20.7456,20.7456,19.9164,19.6562,14.8271,UP,1
2004-02-18,20.7714,20.7714,20.1323,19.7212,14.8118,UP,1
2004-02-19,21.0696,21.0696,20.4132,19.7928,14.7917,DOWN,0
2004-02-20,19.8206,19.8206,20.401,19.8368,14.7802,DOWN,0
2004-02-23,19.2872,19.2872,20.3389,19.8701,14.7604,DOWN,0
2004-02-24,18.5872,18.5872,19.9072,19.8704,14.7433,UP,1
2004-02-25,18.9283,18.9283,19.5386,19.8657,14.7259,DOWN,0
2004-02-26,18.7727,18.7727,19.0792,19.8703,14.7194,DOWN,0
2004-02-27,18.4712,18.4712,18.8093,19.8518,14.7163,DOWN,0
2004-03-01,18.4567,18.4567,18.6432,19.8327,14.7063,UP,1
2004-03-02,18.8,18.8,18.6858,19.8098,14.6933,DOWN,0
2004-03-03,18.5882,18.5882,18.6178,19.7793,14.6824,UP,1
2004-03-04,18.8755,18.8755,18.6383,19.7744,14.6865,DOWN,0
2004-03-05,18.8584,18.8584,18.7158,19.7731,14.6912,UP,1
2004-03-08,19.3059,19.3059,18.8856,19.778,14.7078,DOWN,0
2004-03-09,18.4457,18.4457,18.8147,19.7862,14.7233,DOWN,0
2004-03-10,18.4284,18.4284,18.7828,19.7841,14.764,DOWN,0
2004-03-11,17.5357,17.5357,18.5148,19.7458,14.8217,UP,1
2004-03-12,17.9336,17.9336,18.3299,19.7359,14.8861,DOWN,0
2004-03-15,17.0653,17.0653,17.8817,19.7152,14.9312,UP,1
