ticker,DOV US Equity,DOV US Equity,DOV US Equity,DOV US Equity,DOV US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-09-22,30.5078,30.7171,30.9347,31.1774,31.9477,UP,1
2000-09-25,31.554,30.5078,30.9383,31.0686,31.951,DOWN,0
2000-09-26,31.2611,31.7214,30.942,31.0267,31.9602,UP,1
2000-09-27,31.554,31.1355,30.9479,31.1188,31.9644,UP,1
2000-09-28,32.8513,31.6796,30.9598,31.5457,32.0071,DOWN,0
2000-09-29,31.4285,32.7258,30.9655,31.7298,32.0071,DOWN,0
2000-10-02,31.2611,31.5959,30.9651,31.6712,32.0088,UP,1
2000-10-03,31.5959,31.3029,30.9674,31.7382,32.0079,DOWN,0
2000-10-04,30.7589,31.2192,30.9676,31.5791,31.987,DOWN,0
2000-10-05,29.9219,30.7589,30.9653,30.9933,31.9627,DOWN,0
2000-10-06,28.5828,29.9638,30.9579,30.4241,31.9033,UP,1
2000-10-09,29.1686,28.7502,30.9531,30.0056,31.869,DOWN,0
2000-10-10,28.4154,29.2523,30.9464,29.3695,31.8238,UP,1
2000-10-11,28.6246,28.4572,30.9404,28.9427,31.7811,DOWN,0
2000-10-12,27.6621,28.9594,30.9293,28.4907,31.7183,UP,1
2000-10-13,29.0013,27.8295,30.9241,28.5744,31.6941,DOWN,0
2000-10-16,28.792,29.4616,30.9161,28.4991,31.6673,DOWN,0
2000-10-17,24.1049,28.6246,30.8897,27.637,31.5359,UP,1
2000-10-18,25.0256,24.2723,30.8707,26.9172,31.4045,UP,1
2000-10-19,25.193,25.2767,30.8519,26.4234,31.2873,DOWN,0
2000-10-20,24.7745,24.8582,30.8303,25.578,31.1576,UP,1
2000-10-23,25.2349,24.8582,30.8071,24.8666,31.0186,UP,1
2000-10-24,25.5696,25.2767,30.7824,25.1595,30.8822,DOWN,0
2000-10-25,25.2349,25.486,30.7554,25.2014,30.7433,UP,1
2000-10-26,25.8207,25.3186,30.7299,25.3269,30.616,UP,1
2000-10-27,26.6996,25.737,30.7104,25.7119,30.4972,UP,1
2000-10-30,27.411,26.7833,30.6958,26.1472,30.3934,UP,1
2000-10-31,28.4154,27.5784,30.6847,26.7163,30.3147,UP,1
2000-11-01,28.6246,29.2105,30.6744,27.3943,30.2444,UP,1
2000-11-02,28.9594,28.6246,30.6694,28.022,30.1875,DOWN,0
2000-11-03,28.8757,29.1268,30.6652,28.4572,30.118,DOWN,0
2000-11-06,28.8757,28.8757,30.6646,28.7502,30.0402,DOWN,0
2000-11-07,28.8339,28.8757,30.6638,28.8339,29.9573,DOWN,0
2000-11-08,28.792,28.8757,30.6642,28.8673,29.8611,DOWN,0
2000-11-09,28.5828,28.6665,30.6663,28.792,29.7715,DOWN,0
2000-11-10,27.6202,28.4572,30.6671,28.5409,29.6692,DOWN,0
2000-11-13,27.4947,27.3691,30.6696,28.2647,29.5721,DOWN,0
2000-11-14,27.411,27.7458,30.6707,27.9801,29.4683,UP,1
2000-11-15,28.3317,27.3273,30.6761,27.8881,29.3712,UP,1
2000-11-16,28.5409,28.7083,30.6826,27.8797,29.285,UP,1
2000-11-17,28.6246,28.7083,30.6895,28.0806,29.2013,DOWN,0
2000-11-20,28.4572,28.7502,30.6951,28.2731,29.1059,UP,1
2000-11-21,28.7502,28.5409,30.7048,28.5409,29.0105,DOWN,0
2000-11-22,28.6246,28.8757,30.7161,28.5995,28.8966,UP,1
2000-11-24,29.629,29.629,30.733,28.8171,28.8021,DOWN,0
2000-11-27,29.2942,29.5453,30.7508,28.951,28.7225,DOWN,0
2000-11-28,28.6246,29.4197,30.7646,28.9845,28.6531,UP,1
2000-11-29,28.7502,28.792,30.778,28.9845,28.5987,DOWN,0
2000-11-30,27.411,28.7502,30.7847,28.7418,28.525,DOWN,0
2000-12-01,27.2018,27.3691,30.791,28.2563,28.4547,UP,1
2000-12-04,27.7458,27.2018,30.8027,27.9467,28.3995,UP,1
2000-12-05,28.5409,27.955,30.8165,27.9299,28.3392,DOWN,0
2000-12-06,27.9132,28.3735,30.8274,27.7625,28.2722,DOWN,0
2000-12-07,27.2855,28.0806,30.8366,27.7374,28.1869,DOWN,0
2000-12-08,27.1599,27.3273,30.8481,27.729,28.073,DOWN,0
2000-12-11,27.0344,27.2855,30.8583,27.5868,27.9852,UP,1
2000-12-12,27.4528,27.1599,30.8665,27.3691,27.909,UP,1
2000-12-13,27.7039,27.3691,30.877,27.3273,27.8312,DOWN,0
2000-12-14,27.5365,27.6202,30.8841,27.3775,27.7667,DOWN,0
2000-12-15,26.5322,27.2018,30.877,27.252,27.6989,UP,1
2000-12-18,26.7833,26.6159,30.8711,27.2018,27.6629,DOWN,0
2000-12-19,26.1974,26.6996,30.8657,26.9507,27.6035,DOWN,0
2000-12-20,24.6908,26.1137,30.854,26.348,27.529,UP,1
2000-12-21,24.9001,24.8582,30.8399,25.8207,27.4545,UP,1
2000-12-22,25.6115,24.9419,30.8282,25.6366,27.4135,UP,1
2000-12-26,25.8626,25.9044,30.8203,25.4525,27.3507,UP,1
2000-12-27,26.3648,25.8207,30.8171,25.486,27.3022,DOWN,0
2000-12-28,26.0718,26.3648,30.8058,25.7622,27.3415,UP,1
2000-12-29,27.1599,26.3229,30.7933,26.2141,27.3842,DOWN,0
2001-01-02,25.8626,27.1599,30.7723,26.2643,27.3976,UP,1
2001-01-03,27.7876,26.1137,30.7583,26.6493,27.4579,UP,1
2001-01-04,27.8713,27.6621,30.7426,26.9507,27.5106,DOWN,0
2001-01-05,27.1181,27.955,30.7211,27.1599,27.5416,UP,1
2001-01-08,27.2436,27.3691,30.701,27.1766,27.5817,DOWN,0
2001-01-09,26.5322,27.2018,30.6797,27.3106,27.596,UP,1
2001-01-10,26.6159,26.5322,30.6585,27.0762,27.5943,UP,1
2001-01-11,26.7414,26.9925,30.6376,26.8502,27.5809,UP,1
2001-01-12,27.3273,27.2436,30.6165,26.8921,27.5591,UP,1
2001-01-16,28.1224,27.3691,30.5966,27.0678,27.5491,DOWN,0
2001-01-17,27.9969,28.1224,30.5763,27.3608,27.5298,UP,1
2001-01-18,28.1224,27.9969,30.5564,27.6621,27.5148,UP,1
2001-01-19,28.3317,28.2061,30.5309,27.9801,27.5039,DOWN,0
2001-01-22,27.4947,28.2061,30.5024,28.0136,27.4771,DOWN,0
2001-01-23,27.3273,24.5234,30.4708,27.8546,27.4478,UP,1
