ticker,RJF US Equity,RJF US Equity,RJF US Equity,RJF US Equity,RJF US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2007-08-06,20.4867,19.7867,20.8214,20.3467,21.3011,UP,1
2007-08-07,20.6467,20.34,20.8216,20.3867,21.3121,UP,1
2007-08-08,21.4467,20.6267,20.8264,20.5827,21.3337,DOWN,0
2007-08-09,21.2333,20.6333,20.8311,20.7013,21.3444,DOWN,0
2007-08-10,21.0867,20.8333,20.8339,20.98,21.322,DOWN,0
2007-08-13,21.04,21.4133,20.8353,21.0907,21.2961,DOWN,0
2007-08-14,20.6667,21.0133,20.8327,21.0947,21.2675,DOWN,0
2007-08-15,19.9267,20.6667,20.8255,20.7907,21.2324,UP,1
2007-08-16,20.6667,19.7267,20.8243,20.6773,21.218,UP,1
2007-08-17,21.4467,21.2,20.8254,20.7493,21.2296,DOWN,0
2007-08-20,21.3667,21.5067,20.826,20.8147,21.2296,UP,1
2007-08-21,21.7333,21.16,20.8316,21.028,21.2336,UP,1
2007-08-22,21.9933,21.9733,20.8371,21.4413,21.2499,DOWN,0
2007-08-23,21.7467,22.0267,20.8424,21.6573,21.2583,UP,1
2007-08-24,22.2533,21.72,20.8471,21.8187,21.2721,DOWN,0
2007-08-27,21.6733,22.14,20.8478,21.88,21.2715,DOWN,0
2007-08-28,21.04,21.46,20.8453,21.7413,21.2613,UP,1
2007-08-29,21.9867,21.2067,20.8501,21.74,21.2717,DOWN,0
2007-08-30,21.48,21.7067,20.8495,21.6867,21.2775,UP,1
2007-08-31,21.86,21.4667,20.8501,21.608,21.294,UP,1
2007-09-04,22.6,21.96,20.8529,21.7933,21.3288,DOWN,0
2007-09-05,22.12,22.1067,20.8527,22.0093,21.36,UP,1
2007-09-06,22.32,22.1933,20.8534,22.076,21.3951,DOWN,0
2007-09-07,21.7533,21.88,20.8521,22.1307,21.4129,UP,1
2007-09-10,22.0333,21.9467,20.8529,22.1653,21.4333,UP,1
2007-09-11,22.2867,22.36,20.8545,22.1027,21.4671,UP,1
2007-09-12,22.3867,22.04,20.8558,22.156,21.4977,UP,1
2007-09-13,22.72,22.6333,20.8592,22.236,21.5323,DOWN,0
2007-09-14,22.64,22.62,20.867,22.4133,21.5649,DOWN,0
2007-09-17,22.4267,22.5333,20.8732,22.492,21.5623,UP,1
2007-09-18,23.3,22.7267,20.8836,22.6947,21.576,UP,1
2007-09-19,23.4133,23.54,20.8957,22.9,21.6093,DOWN,0
2007-09-20,23.1333,23.56,20.9081,22.9827,21.6313,UP,1
2007-09-21,23.14,23.64,20.9169,23.0827,21.6431,DOWN,0
